Theorem,Statement,Proof,References
11.33,"Let $K$ be the set of all positive functionals $F$ on a commutative Banach algebra $A$ with an involution that satisfy $F(e) \leq 1$. If $F \in K$, then each of the following three properties implies the other two:

(a) $F(x y)=F(x) F(y)$ for all $x$ and $y \in A$.
(b) $F\left(x x^{*}\right)=F(x) F\left(x^{*}\right)$ for every $x \in A$.

(c) $F$ is an extreme point of $K$.","It is trivial that $(a)$ implies $(b)$. Suppose (b) holds. With $x=e$, (b) shows that $F(e)=F(e)^{2}$, and so $F(e)=0$ or $F(e)=1$. When $F(e)=0$, then $F=0$, by $(c)$ of Theorem 11.31, and so $F$ is an extreme point of $K$. Assume $F(e)=1$, and $2 F=F_{1}+F_{2}, F_{1} \in K, F_{2} \in K$. We have to show that $F_{1}=F$. Clearly, $F_{1}(e)=1=F(e)$. If $x \in A$ is such that $F(x)=0$, then  $$ \left|F_{1}(x)\right|^{2} \leq F_{1}\left(x x^{*}\right) \leq 2 F\left(x x^{*}\right)=2 F(x) F\left(x^{*}\right)=0 $$  by $(b)$ and Theorem 11.31. Thus $F_{1}$ coincides with $F$ on the null space of $F$ and at $e$. It follows that $F_{1}=F$. Hence $(b)$ implies $(c)$.  To show that $(c)$ implies $(a)$, let $F$ be an extreme point of $K$. Either $F(e)=0$, in which case there is nothing to prove, or $F(e)=1$. We shall first prove a special case of $(a)$, namely,  $$ F\left(x x^{*} y\right)=F\left(x x^{*}\right) F(y) \quad(x \in A, y \in A) . $$  Choose $x$ so that $\left\|x x^{*}\right\|<1$. By Theorem 11.20, there exists $z \in A$, $z=z^{*}$, such that $z^{2}=e-x x^{*}$. Define  $$ \Phi(y)=F\left(x x^{*} y\right) \quad(y \in A) $$  Then  $$ \Phi\left(y y^{*}\right)=F\left(x x^{*} y y^{*}\right)=F\left[(x y)(x y)^{*}\right] \geq 0 $$  and also  $$ (F-\Phi)\left(y y^{*}\right)=F\left[\left(e-x x^{*}\right) y y^{*}\right]=F\left(z^{2} y y^{*}\right)=F\left[(y z)(y z)^{*}\right] \geq 0 $$  Since  $$ 0 \leq \Phi(e)=F\left(x x^{*}\right) \leq F(e)\left\|x x^{*}\right\|<1 $$  (4) and (5) show that both $\Phi$ and $F-\Phi$ are in $K$. If $\Phi(e)=0$, then $\Phi=0$. If $\Phi(e)>0,(6)$ shows that  $$ F=\Phi(e) \cdot \frac{\Phi}{\Phi(e)}+(F-\Phi)(e) \cdot \frac{F-\Phi}{F(e)-\Phi(e)} $$  a convex combination of members of $K$. Since $F$ is extreme, we conclude that  $$ \Phi=\Phi(e) F $$  Now (2) follows from (8) and (3).  Finally, the passage from (2) to $(a)$ is accomplished by any of the following identities, which are satisfied by every involution:  If $n=3,4,5, \ldots$, if $\omega=\exp (2 \pi i / n)$, if $x \in A$, and if $z_{p}=$ $e+\omega^{-p} x$, then  $$ x=\frac{1}{n} \sum_{p=1}^{n} \omega^{p} z_{p} z_{p}^{*} $$  The proof of (9) is a straightforward computation which uses the fact that  $$ \sum_{p=1}^{n} \omega^{p}=\sum_{p=1}^{n} \omega^{2 p}=0 $$","Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F\left(x^{*}\right)=\overline{F(x)}$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $\left|F\left(x y^{*}\right)\right|^{2} \leq F\left(x x^{*}\right) F\left(y y^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)|^{2} \leq F(e) F\left(x x^{*}\right) \leq F(e)^{2} \rho\left(x x^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)| \leq F(e) \rho(x)$ for every normal $x \in A$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F$ is a bounded linear functional on $A$. Moreover, $\|F\|=F(e)$ if $A$ is commutative, and $\|F\| \leq \beta^{1 / 2} F(e)$ if the involution satisfies $\left\|x^{*}\right\| \leq \beta\|x\|$ for every $x \in A$.; Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F\left(x^{*}\right)=\overline{F(x)}$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $\left|F\left(x y^{*}\right)\right|^{2} \leq F\left(x x^{*}\right) F\left(y y^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)|^{2} \leq F(e) F\left(x x^{*}\right) \leq F(e)^{2} \rho\left(x x^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)| \leq F(e) \rho(x)$ for every normal $x \in A$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F$ is a bounded linear functional on $A$. Moreover, $\|F\|=F(e)$ if $A$ is commutative, and $\|F\| \leq \beta^{1 / 2} F(e)$ if the involution satisfies $\left\|x^{*}\right\| \leq \beta\|x\|$ for every $x \in A$.; Suppose $A$ is a commutative Banach algebra with an involution, $x \in A, x=x^{*}$, and $\sigma(x)$ contains no real $\lambda$ with $\lambda \leq 0$. Then there exists $y \in A$ with $y=y^{*}$ and $y^{2}=x$.;  ;  ; "
11.5 (a),"Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: Every maximal ideal of $A$ is the kernel of some $h \in \Delta$.","Let $M$ be a maximal ideal of $A$. Then $M$ is closed (Theorem 11.3) and $A / M$ is therefore a Banach algebra. Choose $x \in A$, $x \notin M$, and put  $$ J=\{a x+y: a \in A, y \in M\} $$  Then $J$ is an ideal in $A$ which is larger than $M$, since $x \in J$. (Take $a=e, y=0$.) Thus $J=A$, and $a x+y=e$ for some $a \in A, y \in M$. If $\pi: A \rightarrow A / M$ is the quotient map, it follows that $\pi(a) \pi(x)=\pi(e)$. Every nonzero element $\pi(x)$ of the Banach algebra $A / M$ is therefore invertible in $A / M$. By the Gelfand-Mazur theorem, there is an isomorphism $j$ of $A / M$ onto $C$. Put $h=j \circ \pi$. Then $h \in \Delta$, and $M$ is the null space of $h$.","If $A$ is a commutative complex algebra with unit, then every proper ideal of $A$ is contained in a maximal ideal of $A$.;If $A$ is a commutative Banach algebra, then every maximal ideal of $A$ is closed.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F\left(x^{*}\right)=\overline{F(x)}$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $\left|F\left(x y^{*}\right)\right|^{2} \leq F\left(x x^{*}\right) F\left(y y^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)|^{2} \leq F(e) F\left(x x^{*}\right) \leq F(e)^{2} \rho\left(x x^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)| \leq F(e) \rho(x)$ for every normal $x \in A$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F$ is a bounded linear functional on $A$. Moreover, $\|F\|=F(e)$ if $A$ is commutative, and $\|F\| \leq \beta^{1 / 2} F(e)$ if the involution satisfies $\left\|x^{*}\right\| \leq \beta\|x\|$ for every $x \in A$.;Let $K$ be the set of all positive functionals $F$ on a commutative Banach algebra $A$ with an involution that satisfy $F(e) \leq 1$. If $F \in K$, then each of the following three properties implies the other two:

(a) $F(x y)=F(x) F(y)$ for all $x$ and $y \in A$.
(b) $F\left(x x^{*}\right)=F(x) F\left(x^{*}\right)$ for every $x \in A$.

(c) $F$ is an extreme point of $K$.;  ;  ; "
11.5 (b),"Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: If $h \in \Delta$, the kernel of $h$ is a maximal ideal of $A$.","If $h \in \Delta$, then $h^{-1}(0)$ is an ideal in $A$ which is maximal because it has codimension 1.",
11.5 (c),"Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $h(x) \neq 0$ for every $h \in \Delta$.","If $x$ is invertible in $A$ and $h \in \Delta$, then  $$ h(x) h\left(x^{-1}\right)=h\left(x x^{-1}\right)=h(e)=1, $$  so that $h(x) \neq 0$. If $x$ is not invertible, then the set $\{a x: a \in A\}$ does not contain $e$, hence is a proper ideal which lies in a maximal one (Theorem 11.3) and which is therefore annihilated by some $h \in \Delta$, because of $(a)$.","If $A$ is a commutative complex algebra with unit, then every proper ideal of $A$ is contained in a maximal ideal of $A$.;If $A$ is a commutative Banach algebra, then every maximal ideal of $A$ is closed.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F\left(x^{*}\right)=\overline{F(x)}$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $\left|F\left(x y^{*}\right)\right|^{2} \leq F\left(x x^{*}\right) F\left(y y^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)|^{2} \leq F(e) F\left(x x^{*}\right) \leq F(e)^{2} \rho\left(x x^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)| \leq F(e) \rho(x)$ for every normal $x \in A$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F$ is a bounded linear functional on $A$. Moreover, $\|F\|=F(e)$ if $A$ is commutative, and $\|F\| \leq \beta^{1 / 2} F(e)$ if the involution satisfies $\left\|x^{*}\right\| \leq \beta\|x\|$ for every $x \in A$.;Let $K$ be the set of all positive functionals $F$ on a commutative Banach algebra $A$ with an involution that satisfy $F(e) \leq 1$. If $F \in K$, then each of the following three properties implies the other two:

(a) $F(x y)=F(x) F(y)$ for all $x$ and $y \in A$.
(b) $F\left(x x^{*}\right)=F(x) F\left(x^{*}\right)$ for every $x \in A$.

(c) $F$ is an extreme point of $K$.;  ;  ; "
11.5 (d),"Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $x$ lies in no proper ideal of $A$.",No invertible element lies in any proper ideal. The converse was proved in the proof of $(c)$.,
11.5 (e),"Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: $\lambda \in \sigma(x)$ if and only if $h(x)=\lambda$ for some $h \in \Delta$.",Apply $(c)$ to $\lambda e-x$ in place of $x$.,
11.7,"Suppose $f_{1}, \ldots, f_{k} \in A\left(U^{n}\right)$, and suppose that to each $z \in \bar{U}^{n}$ there corresponds at least one $i$ such that $f_{i}(z) \neq 0$. Then there exist functions $\phi_{1}, \ldots, \phi_{k} \in A\left(U^{n}\right)$ such that

$$
f_{1}(z) \phi_{1}(z)+\cdots+f_{k}(z) \phi_{k}(z)=1 \quad\left(z \in \bar{U}^{n}\right)
$$","$A=A\left(U^{n}\right)$ is a commutative Banach algebra, with pointwise multiplication and the supremum norm. Let $J$ be the set of all sums $\sum f_{i} \phi_{i}$, with $\phi_{i} \in A$. Then $J$ is an ideal. If the conclusion is false, then $J \neq A$; hence $J$ lies in some maximal ideal of $A$ (Theorem 11.3), and some $h \in \Delta$ annihilates $J$, by $(a)$ of Theorem 11.5.  For $1 \leq r \leq n$, put $g_{r}(z)=z_{r}$. Then $\left\|g_{r}\right\|=1$; hence $h\left(g_{r}\right)=w_{r}$, with $\left|w_{r}\right| \leq 1$. Put $w=\left(w_{1}, \ldots, w_{n}\right)$. Then $w \in \bar{U}^{n}$, and $h\left(g_{r}\right)=g_{r}(w)$. It follows that $h(P)=P(w)$ for every polynomial $P$, since $h$ is a homomorphism. The polynomials are dense in $A\left(U^{n}\right)$ (Exercise 4). Hence $h(f)=f(w)$ for every $f \in A$, by essentially the same argument that was used in the proof of Theorem 11.6.  Since $h$ annihilates $J, f_{i}(w)=0$ for $1 \leq i \leq k$. This contradicts the hypothesis.","If $A$ is a commutative complex algebra with unit, then every proper ideal of $A$ is contained in a maximal ideal of $A$.;If $A$ is a commutative Banach algebra, then every maximal ideal of $A$ is closed.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F\left(x^{*}\right)=\overline{F(x)}$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $\left|F\left(x y^{*}\right)\right|^{2} \leq F\left(x x^{*}\right) F\left(y y^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)|^{2} \leq F(e) F\left(x x^{*}\right) \leq F(e)^{2} \rho\left(x x^{*}\right)$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $|F(x)| \leq F(e) \rho(x)$ for every normal $x \in A$.;Every positive functional $F$ on a Banach algebra $A$ with involution has the following properties: $F$ is a bounded linear functional on $A$. Moreover, $\|F\|=F(e)$ if $A$ is commutative, and $\|F\| \leq \beta^{1 / 2} F(e)$ if the involution satisfies $\left\|x^{*}\right\| \leq \beta\|x\|$ for every $x \in A$.;Let $K$ be the set of all positive functionals $F$ on a commutative Banach algebra $A$ with an involution that satisfy $F(e) \leq 1$. If $F \in K$, then each of the following three properties implies the other two:

(a) $F(x y)=F(x) F(y)$ for all $x$ and $y \in A$.
(b) $F\left(x x^{*}\right)=F(x) F\left(x^{*}\right)$ for every $x \in A$.

(c) $F$ is an extreme point of $K$.; Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: Every maximal ideal of $A$ is the kernel of some $h \in \Delta$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: If $h \in \Delta$, the kernel of $h$ is a maximal ideal of $A$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $h(x) \neq 0$ for every $h \in \Delta$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $x$ lies in no proper ideal of $A$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: $\lambda \in \sigma(x)$ if and only if $h(x)=\lambda$ for some $h \in \Delta$.; ;  ;  ; "
11.9 (b),"Let $\Delta$ be the maximal ideal space of a commutative Banach algebra $A$: The Gelfand transform is a homomorphism of A onto a subalgebra $\hat{A}$ of $C(\Delta)$, whose kernel is $\mathrm{rad} A$. The Gelfand transform is therefore on isomorphism if and only if $A$ is semisimple.","Suppose $x \in A, y \in A, \alpha \in \not \subset, h \in \Delta$. Then  $$ \begin{aligned} (\alpha x)^{\wedge}(h) & =h(\alpha x)=\alpha h(x)=(\alpha \hat{x})(h) \\ (x+y)^{\wedge}(h)=h(x+y) & =h(x)+h(y)=\hat{x}(h)+\hat{y}(h)=(\hat{x}+\hat{y})(h) \end{aligned} $$  and  $$ (x y)^{\wedge}(h)=h(x y)=h(x) h(y)=\hat{x}(h) \hat{y}(h)=(\hat{x} \hat{y})(h) . $$  Thus $x \rightarrow \hat{x}$ is a homomorphism. Its kernel consists of those $x \in A$ which satisfy $h(x)=0$ for every $h \in \Delta$; by Theorem 11.5 , this is the intersection of all maximal ideals of $A$, that is, $\operatorname{rad} A$.","Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: Every maximal ideal of $A$ is the kernel of some $h \in \Delta$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: If $h \in \Delta$, the kernel of $h$ is a maximal ideal of $A$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $h(x) \neq 0$ for every $h \in \Delta$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $x$ lies in no proper ideal of $A$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: $\lambda \in \sigma(x)$ if and only if $h(x)=\lambda$ for some $h \in \Delta$.;  ;  ; "
11.9 (c),"Let $\Delta$ be the maximal ideal space of a commutative Banach algebra $A$, and $x \in A$: the range of $\hat{x}$ is the spectrum $\sigma(x)$. Hence

$$
\|\hat{x}\|_{\infty}=\rho(x) \leq\|x\|,
$$

where $\|\hat{x}\|_{\infty}$ is the maximum of $|\hat{x}(h)|$ on $\Delta$, and $x \in \operatorname{rad} A$ if and only if $\rho(x)=0$.","To say that $\lambda$ is in the range of $\hat{x}$ means that $\lambda=\hat{x}(h)=h(x)$ for some $h \in \Delta$. By $(e)$ of Theorem 11.5, this happens if and only if $\lambda \in \sigma(x)$. This proves $(b)$ and $(c)$.","Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: Every maximal ideal of $A$ is the kernel of some $h \in \Delta$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: If $h \in \Delta$, the kernel of $h$ is a maximal ideal of $A$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $h(x) \neq 0$ for every $h \in \Delta$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: An element $x \in A$ is invertible in $A$ if and only if $x$ lies in no proper ideal of $A$.;Let $A$ be a commutative Banach algebra, and let $\Delta$ be the set of all complex homomorphisms of $A$: $\lambda \in \sigma(x)$ if and only if $h(x)=\lambda$ for some $h \in \Delta$.;  ;  ; "
12.12,"An operator $T \in \mathscr{B}(H)$ is normal if and only if

$$
\|T x\|=\left\|T^{*} x\right\|
$$

for every $x \in H$. Normal operators $T$ have the following properties:","The equalities  $$ \begin{aligned} \|T x\|^{2} & =(T x, T x)=\left(T^{*} T x, x\right) \\ \left\|T^{*} x\right\|^{2} & =\left(T^{*} x, T^{*} x\right)=\left(T T^{*} x, x\right) \end{aligned} $$  combined with the corollary to Theorem 12.7 , prove the first statement, and $(a)$ is an immediate consequence. Since $\mathscr{R}(T)^{\perp}=\mathscr{N}\left(T^{*}\right),(a)$ implies $(b)$. If there is a $\delta>0$ as in $(c)$, then $\mathscr{R}(T)$ is closed, by Theorem 1.26, and is dense, by $(b)$; hence $\mathscr{R}(T)=H$ and $T$ is invertible. The converse follows from the open mapping theorem. To obtain (d), apply $(a)$ to $T-\alpha I$ in place of $T$. Finally, if $T x=\alpha x$ and $T y=\beta y$, then $(d)$ shows that  $$ \alpha(x, y)=(\alpha x, y)=(T x, y)=\left(x, T^{*} y\right)=(x, \bar{\beta} y)=\beta(x, y) $$  Since $\alpha \neq \beta$, we conclude that $x \perp y$.","If $T \in \mathscr{B}(H)$ and if $(T x, x)=0$ for every $x \in H$, then $T=0$.; Suppose that $\left(X, d_{1}\right)$ and $\left(Y, d_{2}\right)$ are metric spaces, and $\left(X, d_{1}\right)$ is complete. If $E$ is a closed set in $X, f: E \rightarrow Y$ is continuous, and

$$
d_{2}\left(f\left(x^{\prime}\right), f\left(x^{\prime \prime}\right)\right) \geq d_{1}\left(x^{\prime}, x^{\prime \prime}\right)
$$

for all $x^{\prime}, x^{\prime \prime} \in E$, then $f(E)$ is closed.;  ;  ; "
12.13 (a),"If $U \in \mathscr{B}(H)$, then $U$ is unitary if and only if $\mathscr{R}(U)=H$ and $(U x, U y)=(x, y)$ for all $x \in H, y \in H$.","If $U$ is unitary, then $\mathscr{R}(U)=H$ because $U U^{*}=I$. Also, $U^{*} U=I$, so that  $$ (U x, U y)=\left(x, U^{*} U y\right)=(x, y) . $$  Thus $(a)$ implies $(b)$. It is obvious that $(b)$ implies $(c)$. If $(c)$ holds, then  $$ \left(U^{*} U x, x\right)=(U x, U x)=\|U x\|^{2}=\|x\|^{2}=(x, x) $$  for every $x \in H$, so that $U^{*} U=I$. But (c) implies also that $U$ is a linear isometry of $H$ onto $H$, so that $U$ is invertible in $\mathscr{B}(H)$. Since $U^{*} U=I, U^{-1}=U^{*}$, and therefore $U$ is unitary.",
12.14,"Each of the following four properties of a projection $P \in \mathscr{B}(H)$ implies the other three:

(a) $P$ is self-adjoint.

(b) $P$ is normal.

(c) $\mathscr{R}(P)=\mathscr{N}(P)^{\perp}$.

(d) $(P x, x)=\|P x\|^{2}$ for every $x \in H$.

Moreover, two self-adjoint projections $P$ and $Q$ have $\mathscr{R}(P) \perp \mathscr{R}(Q)$ if and only if $P Q=0$. projection.

Property $(c)$ is usually expressed by saying that $P$ is an orthogonal","It is trivial that $(a)$ implies $(b)$. Statement $(a)$ of Theorem 12.12 shows that $\mathscr{N}(P)=\mathscr{R}(P)^{\perp}$ if $P$ is normal; since $P$ is a projection, $\mathscr{R}(P)=\mathscr{N}(I-P)$, so that $\mathscr{R}(P)$ is closed. It now follows from the corollary to Theorem 12.4 that $(b)$ implies $(c)$.  If (c) holds, every $x \in H$ has the form $x=y+z$, with $y \perp z$, $P y=0, P z=z$. Hence $P x=z$, and $(P x, x)=(z, z)$. This proves $(d)$.  Finally, assume $(d)$ holds. Then  $$ \|P x\|^{2}=(P x, x)=\left(x, P^{*} x\right)=\left(P^{*} x, x\right) $$  The last equality holds because $\|P x\|^{2}$ is real and $\left(x, P^{*} x\right)=\|P x\|^{2}$. Thus $(P x, x)=\left(P^{*} x, x\right)$, for every $x \in H$, so that $P=P^{*}$, by Theorem 12.7. Hence $(d)$ implies $(a)$.  The identity $(P x, Q y)=(x, P Q y)$ proves the last assertion.","An operator $T \in \mathscr{B}(H)$ is normal if and only if

$$
\|T x\|=\left\|T^{*} x\right\|
$$

for every $x \in H$. Normal operators $T$ have the following properties:; If $A$ is $a B^{*}$-algebra and if $u \in A, u \neq 0$, there exists a Hilbert space $H_{u}$ and there exists a homomorphism $T_{u}$ of $A$ into $\mathscr{B}\left(H_{u}\right)$ that satisfies $T_{u}(e)=I$,

$$
\begin{array}{lc}
T_{u}\left(x^{*}\right)=T_{u}(x)^{*} & (x \in A) \\
\left\|T_{u}(x)\right\| \leq\|x\| & (x \in A)
\end{array}
$$

and $\left\|T_{u}(u)\right\| = \|u\|$;If $A$ is a $B^{*}$-algebra, there exists an isometric *-isomorphism of $A$ onto a closed subalgebra of $\mathscr{B}(H)$, where $H$ is a suitably chosen Hilbert space.;If $U \in \mathscr{B}(H)$ is unitary and $x \in H$, then the averages

$$
A_{n} x=\frac{1}{n}\left(x+U x+\cdots+U^{n-1} x\right)
$$

converge, in the norm topology of $H$, to some $y \in H$.; If $T \in \mathscr{B}(H)$ and if $(T x, x)=0$ for every $x \in H$, then $T=0$.;  ;  ; "
12.15 (a),"If $U$ is unitary and $\lambda \in \sigma(U)$, then $|\lambda|=1$.","Theorem 12.13 shows that $\|U\|=1$, and therefore $|\lambda| \leq 1$ if $\lambda \in \sigma(U)$. On the other hand, if $|\lambda|<1$, then $\left\|\lambda U^{*}\right\|<1$; hence  $$ \lambda I-U=-U\left(I-\lambda U^{*}\right) $$  is invertible in $\mathscr{B}(H)$ (Theorem 10.7), and therefore $\lambda \notin \sigma(U)$.","If $U \in \mathscr{B}(H)$, then $U$ is unitary if and only if $\mathscr{R}(U)=H$ and $(U x, U y)=(x, y)$ for all $x \in H, y \in H$.; Suppose $A$ is a Banach algebra, $x \in A,\|x\|<1$. Then
(a) $e-x$ is invertible,

(b) $\left\|(e-x)^{-1}-e-x\right\| \leq \frac{\|x\|^{2}}{1-\|x\|}$,

(c) $|\phi(x)|<1$ for every complex homomorphism $\phi$ on $A$.;  ;  ; "
12.15 (b),"If $S$ is self-adjoint and $\lambda \in \sigma(S)$, then $\lambda$ is a real number.","Suppose $S=S^{*}, \quad \lambda=\alpha+i \beta \in \sigma(S)$. Put $S_{\lambda}=S-\lambda I$. A simple calculation gives  $$ \left\|S_{\lambda} x\right\|^{2}=\|S x-\alpha x\|^{2}+\beta^{2}\|x\|^{2} $$  so that $\left\|S_{\lambda} x\right\| \geq|\beta|\|x\|$. If $\beta \neq 0$, it follows that $S_{\lambda}$ is invertible [by (c) of Theorem 12.12], and thus $\lambda \notin \sigma(S)$.","An operator $T \in \mathscr{B}(H)$ is normal if and only if

$$
\|T x\|=\left\|T^{*} x\right\|
$$

for every $x \in H$. Normal operators $T$ have the following properties:;  ;  ; "
12.16,"(Fuglede-Putnam-Rosenblum) Assume that $M, N$, $T \in \mathscr{B}(H), M$ and $N$ are normal, and

$$
M T=T N .
$$

Then $M^{*} T=T N^{*$","Suppose first that $S \in \mathscr{B}(H)$. Put $V=S-S^{*}$, and define  $$ Q=\exp (V)=\sum_{n=0}^{\infty}\left(\frac{1}{n !}\right) V^{n} $$  Then $V^{*}=-V$, and therefore  $$ Q^{*}=\exp \left(V^{*}\right)=\exp (-V)=Q^{-1} $$  Hence $Q$ is unitary. The consequence we need is that  $$ \left\|\exp \left(S-S^{*}\right)\right\|=1 \quad \text { for every } S \in \mathscr{B}(H) $$  If (1) holds, then $M^{k} T=T N^{k}$ for $k=1,2,3, \ldots$, by induction. Hence  $$ \exp (M) T=T \exp (N) $$ or $$ T=\exp (-M) T \exp (N) $$ Put $U_{1}=\exp \left(M^{*}-M\right), U_{2}=\exp \left(N-N^{*}\right)$. Since $M$ and $N$ are normal, it follows from (6) that  $$ \exp \left(M^{*}\right) T \exp \left(-N^{*}\right)=U_{1} T U_{2} $$ By (4), $\left\|U_{1}\right\|=\left\|U_{2}\right\|=1$, so that (7) implies  $$ \left\|\exp \left(M^{*}\right) T \exp \left(-N^{*}\right)\right\| \leq\|T\| $$ We now define  $$ f(\lambda)=\exp \left(\lambda M^{*}\right) T \exp \left(-\lambda N^{*}\right) \quad(\lambda \in \mathscr{C}) $$ The hypotheses of the theorem hold with $\bar{\lambda} M$ and $\bar{\lambda} N$ in place of $M$ and $N. Therefore (8) implies that $\|f(\lambda)\| \leq\|T\|$ for every $\lambda \in \not{C}$. Thus $f$ is a bounded entire $\mathscr{B}(H)$-valued function. By Liouville's theorem 3.32, $f(\lambda)=f(0)=T$, for every $\lambda \in \mathscr{C}$. Hence (9) becomes  $$ \exp \left(\lambda M^{*}\right) T=T \exp \left(\lambda N^{*}\right) \quad(\lambda \in \mathscr{C}) $$ If we equate the coefficients of $\lambda$ in (10), we obtain $M^{*} T=T N^{*$",
12.2,"If $x \in H$ and $y \in H$, where $H$ is an inner product space, then

$$
|(x, y)| \leq\|x\|\|y\|
$$

and

$$
\|x+y\| \leq\|x\|+\|y\|
$$

Moreover

$$
\|y\| \leq\|\lambda x+y\| \quad \text { for every } \lambda \in \mathbb{C}
$$

if and only if $x \perp y$.

","Put $\alpha=(x, y)$. A simple computation gives  $$ 0 \leq\|\lambda x+y\|^{2}=|\lambda|^{2}\|x\|^{2}+2 \operatorname{Re}(\alpha \lambda)+\|y\|^{2} . $$  Hence (3) holds if $\alpha=0$. If $x=0,(1)$ and (3) are obvious. If $x \neq 0$, take $\lambda=-\bar{\alpha} /\|x\|^{2}$. With this $\lambda,(4)$ becomes  $$ 0 \leq\|\lambda x+y\|^{2}=\|y\|^{2}-\frac{|\alpha|^{2}}{\|x\|^{2}} $$  This proves (1) and shows that (3) is false when $\alpha \neq 0$. By squaring both sides of (2), one sees that (2) is a consequence of (1).  Note: Unless the contrary is explicitly stated, the letter $H$ will from now on denote a Hilbert space.",
12.22 (a),"If $A$ is a closed normal subalgebra of $\mathscr{B}(H)$ which contains the identity operator $I$ and if $\Delta$ is the maximal ideal space of $A$, then there exists a unique resolution $E$ of the identity on the Borel subsets of $\Delta$ which satisfies

$$
T=\int_{\Delta} \hat{T} d E
$$

for every $T \in A$, where $\hat{T}$ is the Gelfand transform of $T$.","Suppose $E$ satisfies (4). Since $\hat{T}$ ranges over all of $C(\Delta)$, the assumed regularity of the complex Borel measures $E_{x, y}$ shows that each $E_{x, y}$ is uniquely determined by (4); this follows from the uniqueness assertion that is part of the Riesz representation theorem ([23], Th. 6.19). Since, by definition, $(E(\omega) x, y)=E_{x, y}(\omega)$, each projection $E(\omega)$ is also uniquely determined by (4).",
