Type,Formula#,Type#,latex
7.245,4,Theorem,"
\[
\int_{R^{n}}|\hat{F}|^{2} d m_{n}<\infty
\]"
7.245,1,Theorem,"
\[
r>p+\frac{n}{2}
\]"
7.245,3,Theorem," $\quad D_{i}^{r} F=\sum_{s=0}^{r}\left(\begin{array}{l}r \\ s\end{array}\right)\left(D_{i}^{r-s} \psi\right)\left(D_{i}^{s} f\right)=\sum_{s=0}^{r}\left(\begin{array}{l}r \\ s\end{array}\right)\left(D_{i}^{r-s} \psi\right) g_{i s}$."
7.245,2,Theorem," $\quad \int_{\Omega} g_{i k} \phi d m_{n}=(-1)^{k} \int_{\Omega} f D_{i}^{k} \phi d m_{n} \quad[\phi \in \mathscr{D}(\Omega)]$"
7.245,10,Theorem,"
\[
F_{\omega} \in C^{(p)}\left(R^{n}\right)
\]"
7.245,9,Theorem,"$$
\[
F_{\omega}(x)=\int_{R^{n}} \hat{F}(y) e^{i x \cdot y} d m_{n}(y) \quad\left(x \in R^{n}\right)
\]"
7.245,8,Theorem,"
\[
\int_{R^{n}}(1+|y|)^{p}|\hat{F}(y)| d m_{n}(y)<\infty
\]"
7.3,1,Definition,"$$
\[
\sup _{|\alpha| \leq N} \sup _{x \in R^{n}}\left(1+|x|^{2}\right)^{N}\left|\left(D_{\alpha} f\right)(x)\right|<\infty
\]"
7.4,2,Theorem,"
\[
\hat{\mathbf{1}}(\phi)=1(\hat{\phi})=\int_{R^{n}} \hat{\phi} d m_{n}=\phi=\delta(\phi)
\]"
7.4,3,Theorem,"
\[
\hat{\delta}(\phi)=\delta(\hat{\phi})=\hat{\phi}=\int_{R^{n}} \phi d m_{n}=1(\phi)
\]"
7.4,1,Theorem,"$$
\[
1(\phi)=\int_{R^{n}} 1 \phi d m_{n}=\int_{R^{n}} \phi d m_{n}
\]"
7.4,4,Theorem," $\hat{1}=\delta \quad$ and $\quad \hat{\delta}=1$"
7.4,5,Theorem," $\quad(P(D) \delta)^{\wedge}=P \quad$ and $\quad \hat{P}=P(-D) \delta$."
7.4,6,Theorem,"
\[
\check{u}(\phi)=u(\varnothing) \quad\left(\phi \in \mathscr{S}_{n}\right) .
\]"
7.6,5,Lemma,"$$
\[
\hat{\phi}_{n}(t)=\hat{\phi}_{1}\left(t_{1}\right) \cdots \hat{\phi}_{1}\left(t_{n}\right) \quad\left(t \in R^{n}\right)
\]"
7.6,4,Lemma,"$$
\[
\phi_{n}(x)=\phi_{1}\left(x_{1}\right) \cdots \phi_{1}\left(x_{n}\right) \quad\left(x \in R^{n}\right)
\]"
7.6,3,Lemma,"
\[
y^{\prime}+x y=0,
\]"
7.6,2,Lemma,"
\[
\phi_{n}=\int_{R^{n}} \hat{\phi}_{n} d m_{n} .
\]"
7.7,7,Theorem,"$$
\[
\int_{R^{n}} f_{0} \hat{g} d m_{n}=\int_{R^{n}} f \hat{g} d m_{n} \quad\left(g \in \mathscr{S}_{n}\right)
\]"
7.7,6,Theorem,"
\[
\Phi^{2} g=\check{g}
\]"
7.7,3,Theorem,"
\[
\hat{u}(\phi)=u(\hat{\phi}) \quad\left(\phi \in \mathscr{S}_{n}, u \in \mathscr{S}_{n}^{\prime}\right)
\]"
7.7,2,Theorem,"$$
\[
V=\left\{u \in \mathscr{S}_{n}^{\prime}:\left|u\left(\hat{\phi}_{i}\right)\right|<1 \quad \text { for } \quad 1 \leq i \leq k\right\}
\]"
7.7,8,Theorem,"
\[
\int_{R^{n}}\left(f_{0}-f\right) \phi d m_{n}=0
\]"
7.7,1,Theorem," $\quad\left\{u \in \mathscr{S}_{n}^{\prime}:\left|u\left(\phi_{i}\right)\right|<1\right.$ for $\left.1 \leq i \leq k\right\} \subset W$."
8.1,4,Definition,"
\[
P(D)(E * v)=(P(D) E) * v=\delta * v=v
\]"
8.1,1,Definition,"
\[
P(D) u=v
\]"
8.1,3,Definition,"
\[
u=E * v
\]"
8.1,2,Definition,"
\[
P(D) E=\delta \text {. }
\]"
8.3,6,Lemma,"
\[
r^{N}\left|P_{N}(w)\right||f(z)| \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|(f P)\left(z+r e^{i \theta} w\right)\right| d \theta
\]"
8.3,5,Lemma," $\quad F(\lambda)=f(z+r \lambda w), \quad Q(\lambda)=P(z+r \lambda w) \quad(\lambda \in \mathscr{C})$."
8.4,8,Theorem,"
\[
P(D)\left(\tau_{x} u\right)=\tau_{x} v \quad\left(x \in R^{n}\right)
\]"
8.5,9,Theorem,"
\[
\psi=P(D) \phi
\]"
8.5,8,Theorem,"
\[
C^{2}=\int_{R^{n}}\left(1+|t|^{2}\right)^{-2 n} d m_{n}(t)<\infty
\]"
8.5,11,Theorem,"$$
\[
|\hat{\phi}(t)| \leq A r^{-N} \int_{T^{n}}|\hat{\psi}(t+r w)| d \sigma_{n}(w) \quad\left(t \in R^{n}\right)
\]"
8.5,10,Theorem,"
\[
u(P(D) \phi)=\phi \quad\left(\phi \in \mathscr{D}\left(R^{n}\right)\right)
\]"
8.5,12,Theorem,"$$
\[
|\phi| \leq A r^{-N}\|P(D) \phi\| \quad\left(\phi \in \mathscr{D}\left(R^{n}\right)\right) .
\]"
8.5,13,Theorem,"
\[
|u(\psi)| \leq A r^{-N}\|\psi\| \quad\left(\psi \in \mathscr{D}\left(R^{n}\right)\right) .
\]"
8.5,3,Theorem,"
\[
\lim _{j \rightarrow \infty}\left\|\psi_{j}\right\|=0 \quad \text { if } \psi_{j} \rightarrow 0 \text { in } \mathscr{D}\left(R^{n}\right)
\]"
8.5,2,Theorem,"$$
\[
\|\psi\|=\int_{T^{n}} d \sigma_{n}(w) \int_{R^{n}}|\hat{\psi}(t+r w)| d m_{n}(t)
\]"
8.5,1,Theorem,"$$
\[
|E(\psi)| \leq A r^{-N} \int_{T^{n}} d \sigma_{n}(w) \int_{R^{n}}|\hat{\psi}(t+r w)| d m_{n}(t)
\]"
8.5,5,Theorem,"
\[
\left\|D^{\alpha}\left(e_{-r w} \psi_{j}\right)\right\|_{\infty} \leq C(K, \alpha) \max _{\beta \leq \alpha}\left\|D^{\beta} \psi_{j}\right\|_{\infty} .
\]"
8.5,4,Theorem,"
\[
\|\psi\|=\int_{T^{n}} d \sigma_{n}(w) \int_{R^{n}}\left|\left(e_{-r w} \psi\right)^{\wedge}\right| d m_{n}
\]"
8.5,6,Theorem,"
\[
\left\|(I-\Delta)^{n}\left(e_{-r w} \psi_{j}\right)\right\|_{2}<\varepsilon \quad\left(j>j_{0}, w \in T^{n}\right)
\]"
8.5,7,Theorem,"
\[
\int_{R^{n}}\left|\left(1+|t|^{2}\right)^{n} \hat{\psi}_{j}(t+r w)\right|^{2} d m_{n}(t)<\varepsilon^{2}
\]"
8.7,3,Definition,"
\[
\sum_{|\alpha|=N} f_{\alpha} D_{\alpha}
\]"
8.7,2,Definition,"
\[
L u=\sum_{|\alpha| \leq N} f_{\alpha} D_{\alpha} u
\]"
8.7,1,Definition,"
\[
L=\sum_{|\alpha| \leq N} f_{\alpha} D_{\alpha}
\]"
8.7,5,Definition,"$$
\[
\Delta=\frac{\partial^{2}}{\partial x_{1}^{2}}+\cdots+\frac{\partial^{2}}{\partial x_{n}^{2}}
\]"
8.7,4,Definition,"
\[
p(x, y)=\sum_{|\alpha|=N} f_{\alpha}(x) y^{\alpha} \quad\left(x \in \Omega, y \in R^{n}\right)
\]"
8.9,6,Theorem," $\quad|F(x)|^{2} \leq \int_{R^{n}}|\hat{f}(y)|^{2} d \mu_{t}(y) \int_{R^{n}}|\hat{u}(x-y)|^{2} d \mu_{-t}(y)$"
8.9,7,Theorem,"
\[
\int_{R^{n}}|F|^{2} d \mu_{s} \leq 2^{|s|} \gamma\|f\|_{t}^{2}\|u\|_{s}^{2}
\]"
8.9,5,Theorem,"
\[
\left|(f u)^{\wedge}\right|=|\hat{u} * \hat{f}| \leq|\hat{u}| *|\hat{f}|=F .
\]"
8.9,4,Theorem," $\quad \int_{R^{n}}|h(x-y)|^{2} d \mu_{s}(x) \leq 2^{|s|}\left(1+|y|^{2}\right)^{|s|} \int_{R^{n}}|h|^{2} d \mu_{s}$"
8.9,1,Theorem,"
\[
|\hat{u}(y)| \leq C\left(1^{*}+|y|\right)^{N} \quad\left(y \in R^{n}\right)
\]"
8.9,3,Theorem,"
\[
\left(1+|x+y|^{2}\right)^{s} \leq 2^{|s|}\left(1+|x|^{2}\right)^{s}\left(1+|y|^{2}\right)^{|s|},
\]"
8.9,2,Theorem,"
\[
\left\|D_{\alpha} u\right\|_{s-|\alpha|} \leq\|u\|_{s}
\]"
8.9,9,Theorem,"$$
\[
\left(\sum_{|\alpha|=N} f_{\alpha} D_{\alpha} w\right)^{\wedge}=p \hat{w}=(r-q) \hat{w}=(R w-Q w)^{\wedge}
\]"
8.9,8,Theorem,"
\[
\|f u\|_{s} \leq\left(2^{|s|} \gamma\right)^{1 / 2}\|f\|_{t}\|u\|_{s} .
\]"
8.9,12,Theorem,"
\[
R(\phi u) \in H^{t-N+1}
\]"
8.9,10,Theorem,"
\[
(R-Q+S)(\phi u)=L(\phi u) .
\]"
8.9,11,Theorem,"
\[
(Q-S)(\phi u) \in H^{t-N+1}
\]"
9.13,6,Theorem,"
\[
\mu=\mu_{a}+\mu_{s},
\]"
9.13,5,Theorem,"$$
\[
\int_{R^{n}} f(x+y) d \mu(x)=0
\]"
9.13,4,Theorem,"
\[
\|\mu * \lambda\| \leq\|\mu\|\|\lambda\|,
\]"
9.13,1,Theorem,"$$
\[
\phi(x)-(\phi * \mu)(x)=0
\]"
9.13,3,Theorem,"
\[
\phi * \sigma=0 .
\]"
9.13,2,Theorem,"$$
\[
\hat{\mu}(t)=\int_{-\infty}^{\infty} e^{-i x t} d \mu(x)
\]"
9.15,13,Theorem,"
\[
\left|h_{n}(x)\right| \leq\|\phi\| \cdot\left\|\mu_{s}\right\|^{n} \quad(-\infty<x<\infty),
\]"
9.15,12,Theorem,"$$
\[
\left\|\left(\mu^{n}\right)_{s}\right\| \leq\left\|\left(\mu_{s}\right)^{n}\right\| \leq\left\|\mu_{s}\right\|^{n}
\]"
9.15,10,Theorem,"$$
\[
\phi=f+f * \mu+\cdots+f * \mu^{n-1}+\phi * \mu^{n}
\]"
9.15,11,Theorem,"$$
\[
g_{n}=\phi *\left(\mu^{n}\right)_{a}, \quad h_{n}=\phi *\left(\mu^{n}\right)_{s}
\]"
9.15,8,Theorem,"
\[
\int_{-\infty}^{\infty} K(x) e^{-i x t} d x=\left\{\begin{array}{ll}
\hat{\sigma}(t) / i t & \text { if } t \neq 0 \\
M & \text { if } t=0
\end{array}\right.
\]"
9.15,9,Theorem," $\quad \int_{r}^{s} f(x) d x=(K * \phi)(s)-(K * \phi)(r) \quad(-\infty<r<s<\infty)$"
9.15,4,Theorem," $\phi(x)-(\phi * \mu)(x)=f(x) \quad(-\infty<x<\infty)$."
9.15,5,Theorem," $\quad \phi(\infty)=\lim _{x \rightarrow \infty} \phi(x), \quad \phi(-\infty)=\lim _{x \rightarrow-\infty} \phi(x)$"
9.15,7,Theorem," $\quad K(x)=\sigma((-\infty, x))=\left\{\begin{array}{ll}-\mu((-\infty, x)) & \text { if } x \leq 0 \\ \mu([x, \infty)) & \text { if } x>0\end{array}\right.$"
9.15,6,Theorem,"
\[
\phi(\infty)-\phi(-\infty)=\frac{1}{M} \int_{-\infty}^{\infty} f(y) d y
\]"
9.15,2,Theorem,"
\[
\int_{-\infty}^{\infty}|x| d \mu(x)<\infty
\]"
9.15,3,Theorem,"
\[
M=\int_{-\infty}^{\infty} x d \mu(x) \neq 0
\]"
9.15,1,Theorem,"
\[
\mu_{a} \neq 0
\]"
9.2,5,Lemma,"$$
\[
\left|\lambda^{-n} g\left(\lambda^{-1} x\right)-\lambda^{-n} g\left(\lambda^{-1}(x-y)\right)\right| .
\]"
9.2,4,Lemma,"
\[
h_{\lambda}(x)=\int_{R^{n}} f(y)\left[e^{-i t \cdot y} g_{\lambda}(x)-g_{\lambda}(x-y)\right] d m_{n}(y)
\]"
9.2,6,Lemma," $\quad\left\|h_{\lambda}\right\|_{1} \leq \int_{R^{n}}|f(y)| d m_{n}(y) \int_{R^{n}}\left|g(\xi)-g\left(\xi-\lambda^{-1} y\right)\right| d m_{n}(\xi)$"
9.2,3,Lemma,"
\[
h_{\lambda}(x)=\hat{f}(t) g_{\lambda}(x)-\left(f * g_{\lambda}\right)(x)
\]"
9.2,2,Lemma,"
\[
g_{\lambda}(x)=e^{i t \cdot x} \lambda^{-n} g(x / \lambda) \quad\left(x \in R^{n}\right)
\]"
9.2,1,Lemma,"
\[
\hat{h}(s)=\hat{f}(t)-\hat{f}(s)
\]"
9.6,13,Definition,"
\[
\lim _{x \rightarrow \infty}(K * \phi)(x)=(1+\lambda) a=a \int_{-\infty}^{\infty} K(y) d y
\]"
9.6,12,Definition,"
\[
(\phi * k)(x)=e^{-x} \int_{0}^{x} H(y) d y=a x+b-a+\varepsilon_{2}(x),
\]"
9.6,10,Definition,"
\[
|F(x)-J(x)|<2 \log (x+2) .
\]"
9.6,11,Definition," $\quad(h * u)(x)=(h * v * \mu)(x)=(H * v)(x)=\int_{0}^{x} H(y) d y$."
9.6,70,Definition," $\quad \int_{-\infty}^{\infty} K(x) e^{-i t x} d x=\left(2-e^{-i t}-e^{-i \lambda t}\right) \frac{\zeta(1+i t)}{1+i t}$"
9.6,4,Definition,"
\[
\lim _{|x| \rightarrow \infty}(f * \psi)(x)=0
\]"
9.6,5,Definition,"
\[
\left\|f * \psi-f_{i} * \psi\right\|_{\infty} \leq\left\|f-f_{i}\right\|_{1}\|\psi\|_{\infty},
\]"
9.6,7,Definition,"
\[
\lim _{|x| \rightarrow \infty}(f * \phi)(x)=a
\]"
9.6,6,Definition,"
\[
\left(\left(\tau_{y} f\right) * \psi\right)(x)=\left(\tau_{y}(f * \psi)\right)(x)=(f * \psi)(x-y),
\]"
9.6,2,Definition," $\quad|\phi(x)-\phi(y)|<\varepsilon \quad$ if $x>A, y>A,|x-y|<\delta$."
9.6,3,Definition,"
\[
\lim _{|x| \rightarrow \infty} \phi(x)=a
\]"
9.6,1,Definition," $\quad|\phi(x)-\phi(y)|<\varepsilon \quad$ if $|x|>A,|y|>A,|x-y|<\delta$."
9.6,8,Definition," $\quad \phi(x)-(f * \phi)(x)=\int_{|y|<\delta}[\phi(x)-\phi(x-y)] f(y) d m_{n}(y)$."
9.6,9,Definition,"
\[
|\phi(x)-(f * \phi)(x)|<\varepsilon .
\]"
9.7,14,Remark,"
\[
\lim _{x \rightarrow \infty}(f * \phi)(x)=a \int_{-\infty}^{\infty} f(y) d y
\]"
9.7,15,Remark,"
\[
e^{-\varepsilon}\left(f_{1} * \phi\right)(x) \leq \phi(x) \leq e^{\varepsilon}\left(f_{2} * \phi\right)(x) .
\]"
10.1,2,Definition," $\quad(x+y) z=x z+y z, \quad x(y+z)=x y+x z$,"
10.1,3,Definition,"
\[
\alpha(x y)=(\alpha x) y=x(\alpha y)
\]"
10.1,1,Definition,"
\[
x(y z)=(x y) z,
\]"
10.1,4,Definition,"
\[
\|x y\| \leq\|x\|\|y\| \quad(x \in A, y \in A)
\]"
10.1,5,Definition,"
\[
x e=e x=x \quad(x \in A)
\]"
10.1,7,Definition,"
\[
(x, \alpha)(y, \beta)=(x y+\alpha y+\beta x, \alpha \beta),
\]"
10.1,6,Definition,"
\[
\|e\|=1,
\]"
10.1,8,Definition,"
\[
\|(x, \alpha)\|=\|x\|+|\alpha|, \quad e=(0,1)
\]"
10.1,9,Definition,"
\[
x_{n} y_{n}-x y=\left(x_{n}-x\right) y_{n}+x\left(y_{n}-y\right) .
\]"
10.1,10,Definition,"
\[
x_{n} y \rightarrow x y \quad \text { and } \quad x y_{n} \rightarrow x y
\]"
10.12,8,Theorem,"
\[
M(r)=\max _{\theta}\left\|f\left(r e^{i \theta}\right)\right\| \quad(r>\rho(x))
\]"
10.12,12,Theorem,"
\[
\lambda^{n} e-x^{n}=(\lambda e-x)\left(\lambda^{n-1} e+\cdots+x^{n-1}\right)
\]"
10.12,13,Theorem,"
\[
\rho(x) \leq \inf _{n \geq 1}\left\|x^{n}\right\|^{1 / n}
\]"
10.12,9,Theorem,"$$
\[
\left\|x^{n}\right\| \leq r^{n+1} M(r),
\]"
10.12,11,Theorem,"
\[
\underset{n \rightarrow \infty}{\lim \sup }\left\|x^{n}\right\|^{1 / n} \leq \rho(x)
\]"
10.12,10,Theorem,"
\[
\lim _{n \rightarrow \infty} \sup \left\|x^{n}\right\|^{1 / n} \leq r \quad(r>\rho(x))
\]"
10.12,1,Theorem,"
\[
\rho(x)=\lim _{n \rightarrow \infty}\left\|x^{n}\right\|^{1 / n}=\inf _{n \geq 1}\left\|x^{n}\right\|^{1 / n}
\]"
10.12,2,Theorem,"
\[
\rho(x) \leq\|x\|
\]"
10.12,3,Theorem,"
\[
f(\lambda)=(\lambda e-x)^{-1} \quad(\lambda \in \Omega) .
\]"
10.12,7,Theorem,"
\[
x^{n}=\frac{1}{2 \pi i} \int_{\Gamma_{r}} \lambda^{n} f(\lambda) d \lambda \quad(r>\|x\|, n=0,1,2, \ldots)
\]"
10.12,6,Theorem,"
\[
f(\lambda)=\sum_{n=0}^{\infty} \lambda^{-n-1} x^{n}=\lambda^{-1} e+\lambda^{-2} x+\cdots
\]"
10.12,4,Theorem," $\quad\left\|f(\mu)-f(\lambda)+(\mu-\lambda) f^{2}(\lambda)\right\| \leq 2\|f(\lambda)\|^{3} \cdot \mu-\left.\lambda\right|^{2}$,"
10.19,2,Theorem,"$$
\[
\left\|y_{n}\right\|\left\|y_{n}^{-1}\right\| \leq M\|e\| \quad(n=1,2,3, \ldots) .
\]"
10.19,3,Theorem,"
\[
f(\zeta)=\frac{1}{2 \pi i} \int_{\Gamma}(\lambda-\zeta)^{-1} f(\lambda) d \lambda
\]"
10.19,1,Theorem," $\quad\|x\|\|y\| \leq M\|x y\| \quad(x \in A, y \in A)$,"
10.24,1,Lemma," $\quad \frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n}(\lambda e-x)^{-1} d \lambda=(\alpha e-x)^{n} \quad(n=0, \pm 1, \pm 2, \ldots)$."
10.24,3,Lemma,"
\[
(\alpha e-x)^{-1} \cdot \frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n+1}(\lambda e-x)^{-1} d \lambda
\]"
10.24,2,Lemma,"$$
\[
(\alpha e-x)^{-1} \cdot \frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n} d \lambda=0
\]"
10.24,6,Lemma,"
\[
\operatorname{Ind}_{\Gamma_{r}}(\zeta)=1=\operatorname{Ind}_{\Gamma}(\zeta)
\]"
10.24,5,Lemma,"
\[
\frac{1}{2 \pi i} \int_{\Gamma}(\lambda e-x)^{-1} d \lambda=e .
\]"
10.24,4,Lemma," $\quad(\alpha e-x) y_{n}=y_{n+1} \quad(n=0, \pm 1, \pm 2, \ldots)$."
10.25,3,Theorem,"
\[
R(x)=\frac{1}{2 \pi i} \int_{\Gamma} R(\lambda)(\lambda e-x)^{-1} d \lambda
\]"
10.25,2,Theorem,"$$
\[
R(x)=P(x)+\sum_{m, k} c_{m, k}\left(x-\alpha_{m} e\right)^{-k}
\]"
10.26,2,Theorem,"
\[
(x-\alpha e) \tilde{h}(x)=\tilde{f}(x)=\tilde{h}(x)(x-\alpha e),
\]"
10.26,1,Theorem,"
\[
(\lambda-\alpha) h(\lambda)=f(\lambda) \quad(\lambda \in \Omega)
\]"
10.26,1,Definition,"
\[
A_{\boldsymbol{\Omega}}=\{x \in A: \sigma(x) \subset \Omega\}
\]"
10.26,2,Definition,"$$
\[
\tilde{f}(x)=\frac{1}{2 \pi i} \int_{\Gamma} f(\lambda)(\lambda e-x)^{-1} d \lambda
\]"
10.26,3,Definition,"
\[
\tilde{f}(\alpha e)=f(\alpha) e
\]"
10.27,3,Theorem,"
\[
\tilde{h}(x)=\tilde{f}(x) \tilde{g}(x) \quad\left(x \in A_{\Omega}\right)
\]"
10.27,1,Theorem," $\quad \tilde{f}(x)=\lim _{n \rightarrow \infty} \tilde{f}_{n}(x) \quad\left(x \in A_{\Omega}\right)$."
10.31,2,Theorem,"
\[
\tilde{f}(x)=Q(x) .
\]"
10.31,3,Theorem,"
\[
P(\sigma(x))=\sigma(P(x))=\sigma=\{0\} .
\]"
10.31,1,Theorem,"$$
\[
f(\lambda)-Q(\lambda)=P(\lambda) g(\lambda) \quad(\lambda \in \Omega)
\]"
10.31,4,Theorem,"
\[
f^{-1}(\alpha) \cap \sigma(T) \neq \varnothing
\]"
10.31,6,Theorem,"
\[
\tilde{f}(x)=Q(x)+P(x) \tilde{g}(x),
\]"
10.35,6,Theorem,"
\[
\mu=\max \left\{\left\|S_{1}\right\|, \ldots,\left\|S_{n}\right\|\right\} .
\]"
10.35,7,Theorem,"
\[
x_{N}=S_{i_{N}} T \cdots S_{i_{1}} T x_{0}=S_{i_{N}} \cdots S_{i_{1}} T^{N} x_{0}
\]"
10.35,4,Theorem,"
\[
S(\Gamma(y)) \subset \Gamma(y)
\]"
10.35,1,Theorem,"
\[
S(M) \subset M
\]"
10.35,3,Theorem,"
\[
\Gamma(y)=\{S y: S \in \Gamma\} .
\]"
10.35,2,Theorem,"
\[
\Gamma=\{S \in \mathscr{B}(X): S T=T S\}
\]"
10.35,11,Theorem,"$$
\[
T(S x)=S(T x)=S(\lambda x)=\lambda S x,
\]"
10.35,10,Theorem,"
\[
M_{\lambda}=\{x \in X: T x=\lambda x\}
\]"
10.35,9,Theorem,"
\[
\rho(T)=\lim _{N \rightarrow \infty}\left\|T^{N}\right\|^{1 / N} \geq \frac{1}{\mu}>0
\]"
10.35,8,Theorem," $\quad \frac{1}{2}\left\|x_{0}\right\| \leq\left\|x_{N}\right\| \leq \mu^{N}\left\|T^{N}\right\|\left\|x_{0}\right\| \quad(N=1,2,3, \ldots)$,"
10.5,2,Definition,"$$
\[
x^{-1} x=x x^{-1}=e
\]"
10.5,1,Definition,"
\[
\phi(x y)=\phi(x) \phi(y)
\]"
10.8,2,Lemma,"
\[
|g(\lambda)| \leq|2 r-g(\lambda)| \quad(|\lambda| \leq r)
\]"
10.8,3,Lemma,"
\[
h_{r}(\lambda)=\frac{r^{2} g(\lambda)}{\lambda^{2}[2 r-g(\lambda)]}
\]"
10.8,1,Lemma,"
\[
0<|f(\lambda)| \leq e^{|\lambda|} \quad(\lambda \in \mathscr{C})
\]"
10.8,4,Lemma,"
\[
\left|h_{r}(\lambda)\right| \leq 1 \quad(|\lambda| \leq r)
\]"
10.9,6,Theorem,"
\[
\phi\left(x^{2}\right)=[\phi(x)]^{2} \quad(x \in A) .
\]"
10.9,7,Theorem,"
\[
\phi(x y+y x)=2 \phi(x) \phi(y) \quad(x \in A, y \in A) .
\]"
10.9,5,Theorem," $a^{2} \in N \quad$ if $a \in N$."
10.9,4,Theorem," $a b \in N \quad$ if $a \in N$ and $b \in N$."
10.9,1,Theorem," $\phi(x y)=\phi(x) \phi(y) \quad(x \in A, y \in A)$."
10.9,3,Theorem,"
\[
\phi(x y)=\phi(a b)+\phi(x) \phi(y) .
\]"
10.9,2,Theorem,"$$
\[
x=a+\phi(x) e, \quad y+b+\phi(y) e,
\]"
10.9,14,Theorem,"
\[
f(\lambda)=\phi(E(\lambda)) \quad(\lambda \in \mathscr{C}) .
\]"
10.9,15,Theorem,"
\[
E(\lambda) E(-\lambda)=E=e \quad(\lambda \in \mathbb{C})
\]"
10.9,12,Theorem,"
\[
f(\lambda)=\sum_{n=0}^{\infty} \frac{\phi\left(a^{n}\right)}{n !} \lambda^{n} \quad(\lambda \in \mathscr{C})
\]"
10.9,13,Theorem,"
\[
E(\lambda)=\sum_{n=0}^{\infty} \frac{\lambda^{n}}{n !} a^{n}
\]"
10.9,11,Theorem,"$$
\[
\|\lambda e-x\| \geq|\lambda|=|\phi(\lambda e-x)| \quad(x \in N, \lambda \in \mathscr{C}) .
\]"
10.9,10,Theorem," $x y-y z \in N \quad$ if $x \in N, y \in A$."
10.9,9,Theorem,"$$
\[
(x y-y x)^{2}+(x y+y x)^{2}=2[x(y x y)+(y x y) x] .
\]"
10.9,8,Theorem," $x y+y x \in N \quad$ if $x \in N, y \in A$."
11.11,12,Lemma,"$$
\[
\int_{\Delta}\left|\hat{f}_{n}-\hat{f}\right|^{2} d \mu=\int_{0}^{1}\left|f_{n}-f\right|^{2} d m \rightarrow 0
\]"
11.11,11,Lemma,"
\[
\mu\left(E^{0}\right)=\mu(E)=\mu(\bar{E}) .
\]"
11.11,10,Lemma,"
\[
\int_{\Delta} \hat{f} d \mu=\int_{0}^{1} f d m
\]"
11.11,8,Lemma,"
\[
b(x+y)=b(x) b(y) \quad\left(x, y \in R^{n}\right) .
\]"
11.11,9,Lemma,"$$
\[
b(x)=e^{-i x \cdot t} \quad\left(x \in R^{n}\right)
\]"
11.11,4,Lemma,"
\[
\|\hat{x}\|_{\infty}=\rho(x) \geq r\|x\| \quad(x \in A) .
\]"
11.11,5,Lemma,"
\[
|P(w)| \leq\left\|P\left(x_{1}, \ldots, x_{n}\right)\right\|
\]"
11.11,7,Lemma,"
\[
h_{\infty}(f+\alpha \delta)=\alpha
\]"
11.11,6,Lemma,"
\[
h_{t}(f+\alpha \delta)=\hat{f}(t)+\alpha
\]"
11.11,2,Lemma,"
\[
\left\|x^{2}\right\| \geq\left\|\hat{x}^{2}\right\|_{\infty}=\|\hat{x}\|_{\infty}^{2} \geq s^{2}\|x\|^{2}
\]"
11.11,3,Lemma,"
\[
\left\|x^{m}\right\| \geq r^{m-1}\|x\|^{m} \quad\left(m=2^{n}, n=1,2,3, \ldots\right) .
\]"
11.11,1,Lemma," $\quad r=\inf \frac{\left\|x^{2}\right\|}{\|x\|^{2}}, \quad s=\inf \frac{\|\hat{x}\|_{\infty}}{\|x\|} \quad(x \in A, x \neq 0)$,"
11.14,4,Definition,"
\[
x^{* *}=x .
\]"
11.14,1,Definition,"
\[
(x+y)^{*}=x^{*}+y^{*} \text {. }
\]"
11.14,2,Definition,"
\[
(\lambda x)^{*}=\bar{\lambda} x^{*} .
\]"
11.14,3,Definition,"
\[
(x y)^{*}=y^{*} x^{*} .
\]"
11.17,3,Definition,"
\[
\left\|x x^{*}\right\|=\|x\|\left\|x^{*}\right\| .
\]"
11.17,2,Definition,"
\[
\left\|x^{*}\right\|=\|x\|
\]"
11.17,1,Definition,"
\[
\left\|x x^{*}\right\|=\|x\|^{2}
\]"
11.18,1,Theorem,"$$
\[
h\left(x^{*}\right)=\overline{h(x)} \quad(x \in A, h \in \Delta)
\]"
11.18,2,Theorem,"
\[
\left(x^{*}\right)^{\wedge}=\overline{\hat{x}} \quad(x \in A) .
\]"
11.18,3,Theorem,"
\[
\alpha^{2}+\beta^{2}+2 \beta t \leq\|u\|^{2} \quad(-\infty<t<\infty) .
\]"
11.19,1,Theorem,"
\[
(\Psi f)^{\wedge}=f \circ \hat{x}
\]"
11.19,2,Theorem,"
\[
\Psi \bar{f}=(\Psi f)^{*}
\]"
11.2,2,Proposition,"
\[
\pi(x) \pi(y)=\pi(x y) \quad(x \in A, y \in A) .
\]"
11.2,3,Proposition,"
\[
\left\|x_{i}+y_{i}\right\| \leq\left\|\pi\left(x_{i}\right)\right\|+\delta \quad(i=1,2)
\]"
11.2,6,Theorem," $x=u^{2}-v^{2}+2 i u v$."
11.2,4,Theorem,"
\[
y=\lim _{n \rightarrow \infty} y_{n},
\]"
11.2,1,Proposition,"
\[
x^{\prime} y^{\prime}-x y=\left(x^{\prime}-x\right) y^{\prime}+x\left(y^{\prime}-y\right)
\]"
11.2,5,Theorem,"
\[
[\pi(a)]^{*}=\pi\left(a^{*}\right) \quad(a \in A)
\]"
