Theorem,Statement,Proof
1.32,"Suppose $X$ and $Y$ are topological vector spaces and $\Lambda: X \rightarrow Y$ is linear. Among the following four properties of $\Lambda$, the implications

$$
(a) \rightarrow(b) \rightarrow(c)
$$

hold. If $X$ is metrizable, then also

$$
(c) \rightarrow(d) \rightarrow(a)
$$

so that all four properties are equivalent.

(a) $\Lambda$ is continuous.

(b) $\Lambda$ is bounded.

(c) If $x_{n} \rightarrow 0$ then $\left\{\Lambda x_{n}: n=1,2,3, \ldots\right\}$ is bounded.

(d) If $x_{n} \rightarrow 0$ then $\Lambda x_{n} \rightarrow 0$.

","Assume (a), let $E$ be a bounded set in $X$, and let $W$ be a neighborhood of 0 in $Y$. Since $\Lambda$ is continuous (and $\Lambda 0=0$ ) there is a neighborhood $V$ of 0 in $X$ such that $\Lambda(V) \subset W$. Since $E$ is bounded,
$E \subset t V$ for all large $t$, so that

$$
\Lambda(E) \subset \Lambda(t V)=t \Lambda(V) \subset t W
$$

This shows that $\Lambda(E)$ is a bounded set in $Y$.

Thus $(a) \rightarrow(b)$. Since convergent sequences are bounded, $(b) \rightarrow(c)$.

Assume now that $X$ is metrizable, that $\Lambda$ satisfies $(c)$, and that $x_{n} \rightarrow 0$. By Theorem 1.28, there are positive scalars $\gamma_{n} \rightarrow \infty$ such that $\gamma_{n} x_{n} \rightarrow 0$. Hence $\left\{\Lambda\left(\gamma_{n} x_{n}\right)\right\}$ is a bounded set in $Y$, and now Theorem 1.30 implies that

$$
\Lambda x_{n}=\gamma_{n}^{-1} \Lambda\left(\gamma_{n} x_{n}\right) \rightarrow 0 \quad \text { as } \quad n \rightarrow \infty
$$

Finally, assume that $(a)$ fails. Then there is a neighborhood $W$ of 0 in $Y$ such that $\Lambda^{-1}(W)$ contains no neighborhood of 0 in $X$. If $X$ has a countable local base, there is therefore a sequence $\left\{x_{n}\right\}$ in $X$ so that $x_{n} \rightarrow 0$ but $\Lambda x_{n} \notin W$. Thus $(d)$ fails."
5.3,"Let $E$ be an infinite set of integers such that no integer has more than one representation as a sum of two members of $E$. Let $P_{E}$ be the vector space of all finite sums $f$ of the form

$$
f\left(e^{i \theta}\right)=\sum_{n=-\infty}^{\infty} c(n) e^{i n \theta}
$$

in which $c(n)=0$ whenever $n$ is not in $E$. Let $S_{E}$ be the $L^{1}$-closure of $P_{E}$. Then $S_{E}$ is a closed subspace of $L^{4}$.

","If $f$ is as in (1), then

$$
f^{2}\left(e^{i \theta}\right)=\sum_{n} c(n)^{2} e^{2 i n \theta}+\sum_{n \neq m} c(n) c(m) e^{i(n+m) \theta}
$$

Our combinatorial hypothesis about $E$ implies that

$$
\int|f|^{4}=\int\left|f^{2}\right|^{2}=\sum_{n}|c(n)|^{4}+4 \sum_{m<n}|c(m)|^{2}|c(n)|^{2}
$$

so that

$$
\int|f|^{4} \leq 2\left(\sum|c(n)|^{2}\right)^{2}=2\left(\int|f|^{2}\right)^{2}
$$

Hölder's inequality, with 3 and $\frac{3}{2}$ as conjugate exponents, gives

$$
\int|f|^{2} \leq\left(\int|f|^{4}\right)^{1 / 3}\left(\int|f|\right)^{2 / 3}
$$

It follows from (2) and (3) that

$$
\|f\|_{4} \leq 2^{1 / 4}\|f\|_{2} \quad \text { and } \quad\|f\|_{2} \leq 2^{1 / 2}\|f\|_{1}
$$

for every $f \in P_{E}$. Every $L^{1}$-Cauchy sequence in $P_{E}$ is therefore also a Cauchy sequence in $L^{4}$. Hence $S_{E} \subset L^{4}$. The obvious inequality $\|f\|_{1} \leq\|f\|_{4}$ then shows that $S_{E}$ is closed in $L^{4}$."
4.12,"Suppose $X$ and $Y$ are Banach spaces, and $T \in \mathscr{B}(X, Y)$. Then

$$
\mathscr{N}\left(T^{*}\right)=\mathscr{R}(T)^{\perp} \quad \text { and } \quad \mathscr{N}(T)={ }^{\perp} \mathscr{R}\left(T^{*}\right)
$$

","In each of the following two columns, each statement is obviously equivalent to the one that immediately follows and/or precedes it.

$$
\begin{array}{ll}
y^{*} \in \mathscr{N}\left(T^{*}\right) . & x \in \mathscr{N}(T) . \\
T^{*} y^{*}=0 . & T x=0 . \\
\left\langle x, T^{*} y^{*}\right\rangle=0 \text { for all } x . & \left\langle T x, y^{*}\right\rangle=0 \text { for all } y^{*} . \\
\left\langle T x, y^{*}\right\rangle=0 \text { for all } x . & \left\langle x, T^{*} y^{*}\right\rangle=0 \text { for all } y^{*} . \\
y^{*} \in \mathscr{R}(T)^{\perp} . & x \in{ }^{\perp} \mathscr{R}\left(T^{*}\right) .
\end{array}
$$
"
6.27,"Suppose $K$ is compact, $V$ and $\Omega$ are open in $R^{n}$, and $K \subset V \subset \Omega$. Suppose also that $\Lambda \in \mathscr{D}^{\prime}(\Omega)$, that $K$ is the support of $\Lambda$, and that $\Lambda$ has order $N$. Then there exist finitely many continuous functions $f_{\beta}$ in $\Omega$ (one for each multi-index $\beta$ with $\beta_{i} \leq N+2$ for $i=1, \ldots, n$ ) with supports in $V$, such that

$$
\Lambda=\sum_{\beta} D^{\beta} f_{\beta}
$$

These derivatives are, of course, to be understood in the distribution sense: (1) means that

$$
\Lambda \phi=\sum_{\beta}(-1)^{|\beta|} \int_{\Omega} f_{\beta}(x)\left(D^{\beta} \phi\right)(x) d x \quad[\phi \in \mathscr{D}(\Omega)]
$$","Choose an open set $W$ with compact closure $\bar{W}$, such that $K \subset W$ and $\bar{W} \subset V$. Apply Theorem 6.26 with $\bar{W}$ in place of $K$. Put $\alpha=(N+2, \ldots, N+2)$. The proof of Theorem 6.26 shows that there is a continuous function $f$ in $\Omega$ such that

$$
\Lambda \phi=(-1)^{|\alpha|} \int_{\Omega} f(x)\left(D^{\alpha} \phi\right)(x) d x \quad[\phi \in \mathscr{D}(W)]
$$

We may multiply $f$ by a continuous function which is 1 on $\bar{W}$ and whose support lies in $V$, without disturbing (3).

Fix $\psi \in \mathscr{D}(\Omega)$, with support in $W$, such that $\psi=1$ on some open set containing $K$. Then (3) implies, for every $\phi \in \mathscr{D}(\Omega)$, that

$$
\begin{aligned}
\Lambda \phi & =\Lambda(\psi \phi)=(-1)^{|\alpha|} \int_{\Omega} f \cdot D^{\alpha}(\psi \phi) \\
& =(-1)^{|\alpha|} \int_{\Omega} f \sum_{\beta \leq \alpha} c_{\alpha \beta} D^{\alpha-\beta} \psi D^{\beta} \phi .
\end{aligned}
$$

This is (2), with

$$
f_{\beta}=(-1)^{|\alpha-\beta|} c_{\alpha \beta} f \cdot D^{\alpha-\beta} \psi \quad(\beta \leq \alpha)
$$"
1.10,"Suppose $K$ and $C$ are subsets of a topological vector space $X, K$ is compact, $C$ is closed, and $K \cap C=\varnothing$. Then 0 has a neighborhood $V$ such that

$$
(K+V) \cap(C+V)=\varnothing
$$

","We begin with the following proposition, which will be useful in other contexts as well:

If $W$ is a neighborhood of 0 in $X$, then there is a neighborhood $U$ of 0 which is symmetric (in the sense that $U=-U$ ) and which satisfies $U+U \subset W$.

To see this, note that $0+0=0$, that addition is continuous, and that 0 therefore has neighborhoods $V_{1}, V_{2}$ such that $V_{1}+V_{2} \subset W$. If

$$
U=V_{1} \cap V_{2} \cap\left(-V_{1}\right) \cap\left(-V_{2}\right)
$$

then $U$ has the required properties.

The proposition can now be applied to $U$ in place of $W$ and yields a new symmetric neighborhood $U$ of 0 such that

$$
U+U+U+U \subset W .
$$

It is clear how this can be continued.

If $K=\varnothing$, then $K+V=\varnothing$, and the conclusion of the theorem is obvious. We therefore assume that $K \neq \varnothing$, and consider a point $x \in K$. Since $C$ is closed, since $x$ is not in $C$, and since the topology of $X$ is invariant under translations, the preceding proposition shows that 0 has a symmetric neighborhood $V_{x}$ such that $x+V_{x}+V_{x}+V_{x}$ does not intersect $C$; the symmetry of $V_{x}$ shows then that

$$
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
$$

Since $K$ is compact, there are finitely many points $x_{1}, \ldots, x_{n}$ in $K$ such that

$$
K \subset\left(x_{1}+V_{x_{1}}\right) \cup \cdots \cup\left(x_{n}+V_{x_{n}}\right)
$$

Put $V=V_{x_{1}} \cap \cdots \cap V_{x_{n}}$. Then

$$
K+V \subset \bigcup_{i=1}^{n}\left(x_{i}+V_{x_{i}}+V\right) \subset \bigcup_{i=1}^{n}\left(x_{i}+V_{x_{i}}+V_{x_{i}}\right)
$$

and no term in this last union intersects $C+V$, by (1). This completes the proof.

Since $C+V$ is open, it is even true that the closure of $K+V$ does not intersect $C+V$; in particular, the closure of $K+V$ does not intersect $C$. The following special case of this, obtained by taking $K=\{0\}$, is of considerable interest."
6.20,"If $\Gamma$ is a collection of open sets in $R^{n}$ whose union is $\Omega$, then there exists a sequence $\left\{\psi_{i}\right\} \subset \mathscr{D}(\Omega)$, with $\psi_{i} \geq 0$, such that

(a) each $\psi_{i}$ has its support in some member of $\Gamma$,

(b) $\sum_{i=1}^{\infty} \psi_{i}(x)=1$ for every $x \in \Omega$,

(c) to every compact $K \subset \Omega$ correspond an integer $m$ and an open set $W \supset K$ such that

$$
\psi_{1}(x)+\cdots+\psi_{m}(x)=1
$$

for all $x \in W$.","Let $S$ be a countable dense subset of $\Omega$. Let $\left\{B_{1}, B_{2}, B_{3}, \ldots\right\}$ be a sequence that contains every closed ball $B_{i}$ whose center $p_{i}$ lies in $S$, whose radius $r_{i}$ is rational, and which lies in some member of $\Gamma$. Let
$V_{i}$ be the open ball with center $p_{i}$ and radius $r_{i} / 2$. It is easy to see that $\Omega=\bigcup V_{i}$.

The construction described in Section 1.46 shows that there are functions $\phi_{i} \in \mathscr{D}(\Omega)$ such that $0 \leq \phi \leq 1, \phi_{i}=1$ in $V_{i}, \phi_{i}=0$ off $B_{i}$. Define $\psi_{1}=\phi_{1}$, and, inductively,

$$
\psi_{i+1}=\left(1-\phi_{1}\right) \cdots\left(1-\phi_{i}\right) \phi_{i+1} \quad(i \geq 1)
$$

Obviously, $\psi_{i}=0$ outside $B_{i}$. This gives $(a)$. The relation

$$
\psi_{1}+\cdots+\psi_{i}=1-\left(1-\phi_{1}\right) \cdots\left(1-\phi_{i}\right)
$$

is trivial when $i=1$. If (3) holds for some $i$, addition of (2) and (3) yields (3) with $i+1$ in place of $i$. Hence (3) holds for every $i$. Since $\phi_{i}=1$ in $V_{i}$, it follows that

$$
\psi_{1}(x)+\cdots+\psi_{m}(x)=1 \quad \text { if } x \in V_{1} \cup \cdots \cup V_{m} .
$$

This gives $(b)$. Moreover, if $K$ is compact, then $K \subset V_{1} \cup \cdots \cup V_{m}$ for some $m$, and $(c)$ follows."
6.6,"Suppose $\Lambda$ is a linear mapping of $\mathscr{D}(\Omega)$ into a locally convex space $Y$. Then each of the following four properties implies the others:

(a) $\Lambda$ is continuous.

(b) $\Lambda$ is bounded.

(c) If $\phi_{i} \rightarrow 0$ in $\mathscr{D}(\Omega)$ then $\Lambda \phi_{i} \rightarrow 0$ in $Y$.

(d) The restrictions of $\Lambda$ to every $\mathscr{D}_{K} \subset \mathscr{D}(\Omega)$ are continuous.","The implication $(a) \rightarrow(b)$ is contained in Theorem 1.32.

Assume $\Lambda$ is bounded and $\phi_{i} \rightarrow 0$ in $\mathscr{D}(\Omega)$. By Theorem 6.5, $\phi_{i} \rightarrow 0$ in some $\mathscr{D}_{K}$, and the restriction of $\Lambda$ to this $\mathscr{D}_{K}$ is bounded. Theorem 1.32, applied to $\Lambda: \mathscr{D}_{K} \rightarrow Y$, shows that $\Lambda \phi_{i} \rightarrow 0$ in $Y$. Thus (b) implies $(c)$.

Assume (c) holds, $\left\{\phi_{i}\right\} \subset \mathscr{D}_{K}$, and $\phi_{i} \rightarrow 0$ in $\mathscr{D}_{K}$. By $(b)$ of Theorem 6.5, $\phi_{i} \rightarrow 0$ in $\mathscr{D}(\Omega)$. Hence $(c)$ implies that $\Lambda \phi_{i} \rightarrow 0$ in $Y$, as $i \rightarrow \infty$. Since $\mathscr{D}_{K}$ is metrizable, $(d)$ follows.

To prove that $(d)$ implies $(a)$, let $U$ be a convex balanced neighborhood of 0 in $Y$, and put $V=\Lambda^{-1}(U)$. Then $V$ is convex and balanced. By $(a)$ of Theorem 6.5, $V$ is open in $\mathscr{D}(\Omega)$ if and only if $\mathscr{D}_{K} \cap V$ is open in $\mathscr{D}_{K}$, for every $\mathscr{D}_{K} \subset \mathscr{D}(\Omega)$. This proves the equivalence of $(a)$ and $(d)$."
3.10,"Suppose $X$ is a vector space and $X^{\prime}$ is a separating vector space of linear functionals on $X$. Then the $X^{\prime}$-topology $\tau^{\prime}$ makes $X$ into a locally convex space whose dual space is $X^{\prime}$.

The assumptions on $X^{\prime}$ are, more explicitly, that $X^{\prime}$ is closed under addition and scalar multiplication and that $\Lambda x_{1} \neq \Lambda x_{2}$ for some $\Lambda \in X^{\prime}$ whenever $x_{1}$ and $x_{L}$ are distinct points of $X$.","Since $R$ and $\mathscr{C}$ are Hausdorff spaces, (b) of Section 3.8 shows that $\tau^{\prime}$ is a Hausdorff topology. The linearity of the members of $X^{\prime}$ shows that $\tau^{\prime}$ is translation-invariant. If $\Lambda_{1}, \ldots, \Lambda_{n} \in X^{\prime}$, if $r_{i}>0$, and if

$$
V=\left\{x:\left|\Lambda_{i} x\right|<r_{i} \text { for } 1 \leq i \leq n\right\}
$$

then $V$ is convex, balanced, and $V \in \tau^{\prime}$. In fact, the collection of all $V$ of the form (1) is a local base for $\tau^{\prime}$. Thus $\tau^{\prime}$ is a locally convex topology on $X$.

If (1) holds, then $\frac{1}{2} V+\frac{1}{2} V=V$. This proves that addition is continuous. Suppose $x \in X$ and $\alpha$ is a scalar. Then $x \in s V$ for some $s>0$. If $|\beta-\alpha|<r$ and $y-x \in r V$ then

$$
\beta y-\alpha x=(\beta-\alpha) y+\alpha(y-x)
$$

lies in $V$, provided that $r$ is so small that

$$
r(s+r)+|\alpha| r<1
$$

Hence scalar multiplication is continuous.

We have now proved that $\tau^{\prime}$ is a locally convex vector topology. Every $\Lambda \in X^{\prime}$ is $\tau^{\prime}$-continuous. Conversely, suppose $\Lambda$ is a $\tau^{\prime}$-continuous linear functional on $X$. Then $|\Lambda x|<1$ for all $x$ in some set $V$ of the form (1). Condition (b) of Lemma 3.9 therefore holds; hence so does $(a): \Lambda=\sum \alpha_{i} \Lambda_{i}$. Since $\Lambda_{i} \in X^{\prime}$ and $X^{\prime}$ is a vector space, $\Lambda \in X^{\prime}$. This completes the proof."
1.18,"Let $\Lambda$ be a linear functional on a topological vector space $X$. Assume $\Lambda x \neq 0$ for some $x \in X$. Then each of the following four properties implies the other three:

(a) $\Lambda$ is continuous.

(b) The null space $\mathcal{N}(\Lambda)$ is closed.

(c) $\mathcal{N}(\Lambda)$ is not dense in $X$.

(d) $\Lambda$ is bounded in some neighborhood $V$ of 0 .","Since $\mathscr{N}(\Lambda)=\Lambda^{-1}(\{0\})$ and $\{0\}$ is a closed subset of the scalar field $\Phi,(a)$ implies $(b)$. By hypothesis, $\mathcal{N}(\Lambda) \neq X$. Hence $(b)$ implies $(c)$.

Assume (c) holds; i.e., assume that the complement of $\mathcal{N}(\Lambda)$ has nonempty interior. By Theorem 1.14,

$$
(x+V) \cap \mathcal{N}(\Lambda)=\varnothing
$$

for some $x \in X$ and some balanced neighborhood $V$ of 0 . Then $\Lambda V$ is a balanced subset of the field $\Phi$. Thus either $\Lambda V$ is bounded, in which case $(d)$ holds, or $\Lambda V=\Phi$. In the latter case, there exists $y \in V$ such that $\Lambda y=-\Lambda x$, and so $x+y \in \mathcal{N}(\Lambda)$, in contradiction to (1). Thus (c) implies $(d)$.

Finally, if $(d)$ holds then $|\Lambda x|<M$ for all $x$ in $V$ and for some $M<\infty$. If $r>0$ and if $W=(r / M) V$, then $|\Lambda x|<r$ for every $x$ in $W$. Hence $\Lambda$ is continuous at the origin. By Theorem 1.17, this implies $(a)$."
3.18,"In a locally convex space $X$, every weakly bounded set is originally bounded, and vice versa.","Since every weak neighborhood of 0 in $X$ is an original neighborhood of 0 , it is obvious from the definition of ""bounded"" that every originally bounded subset of $X$ is weakly bounded. The converse is the nontrivial part of the theorem.

Suppose $E \subset X$ is weakly bounded and $U$ is an original neighborhood of 0 in $X$.

Since $X$ is locally convex, there is a convex, balanced, original neighborhood $V$ of 0 in $X$ such that $\bar{V} \subset U$. Let $K \subset X^{*}$ be the polar of $V$ :

$$
K=\left\{\Lambda \in X^{*}:|\Lambda x| \leq 1 \text { for all } x \in V\right\}
$$

We claim that

$$
\bar{V}=\{x \in X:|\Lambda x| \leq 1 \quad \text { for all } \quad \Lambda \in K\} .
$$

It is clear that $V$ is a subset of the right side of (2) and hence so is $\bar{V}$, since the right side of (2) is closed. Suppose $x_{0} \in X$ but $x_{0} \notin \bar{V}$. Theorem 3.7 (with $\bar{V}$ in place of $B$ ) then shows that $\Lambda x_{0}>1$ for some $\Lambda \in K$. This proves (2).

Since $E$ is weakly bounded, there corresponds to each $\Lambda \in X^{*}$ a number $\gamma(\Lambda)<\infty$ such that

$$
|\Lambda x| \leq \gamma(\Lambda) \quad(x \in E)
$$

Since $K$ is convex and weak*-compact (Theorem 3.15) and since the functions $\Lambda \rightarrow \Lambda x$ are weak*-continuous, we can apply Theorem 2.9 (with $X^{*}$ in place of $X$ and the scalar field in place of $Y$ ) to conclude from (3) that there is a constant $\gamma<\infty$ such that

$$
|\Lambda x| \leq \gamma \quad(x \in E, \Lambda \in K)
$$

Now (2) and (4) show that $\gamma^{-1} x \in \bar{V} \subset U$ for all $x \in E$. Since $V$ is balanced,

$$
E \subset t \bar{V} \subset t U \quad(t>\gamma)
$$

Thus $E$ is originally bounded."
3.24,"If $K$ is a compact subset of a locally convex space then $K \subset \overline{c o}(E(K))$.

Equivalently, $\overline{c o}(K)=\overline{c o}(E(K))$.

It may happen in this situation that $\overline{c o}(K)$ has extreme points which are not in $K$. (See Exercise 33.) The next theorem shows that this pathology cannot occur if $\overline{c o}(K)$ is compact. Therefore it occurs in no Fr\'echet space, by $(c)$ of Theorem 3.20.",
3.25,"If $K$ is a compact set in a locally convex space $X$, and if $\overline{c o}(K)$ is also compact, then every extreme point of $\overline{c o}(K)$ lies in $K$.","Assume that some extreme point $p$ of $\overline{c o}(K)$ is not in $K$. Then there is a convex balanced neighborhood $V$ of 0 in $X$ such that

$$
(p+\bar{V}) \cap K=\varnothing
$$

Choose $x_{1}, \ldots, x_{n}$ in $K$ so that $K \subset \bigcup_{1}^{n}\left(x_{i}+V\right)$. Each set

$$
A_{i}=\overline{c o}\left(K \cap\left(x_{i}+V\right)\right) \quad(1 \leq i \leq n)
$$

is convex and also compact, since $A_{i} \subset \overline{c o}(K)$. Also, $K \subset A_{1} \cup \cdots \cup$ $A_{n}$. Part (a) of Theorem 3.20 shows therefore that

$$
\overline{c o}(K) \subset \overline{c o}\left(A_{1} \cup \cdots \cup A_{n}\right)=c o\left(A_{1} \cup \cdots \cup A_{n}\right)
$$

But the opposite inclusion holds also, because $A_{i} \subset \overline{c o}(K)$ for each $i$. Thus

$$
\overline{c o}(K)=c o\left(A_{1} \cup \cdots \cup A_{n}\right)
$$

In particular, $p=t_{1} y_{1}+\cdots+t_{N} y_{N}$, where each $y_{j}$ lies in some $A_{i}$, each $t_{j}$ is positive, and $\sum t_{j}=1$. The grouping

$$
p=t_{1} y_{1}+\left(1-t_{1}\right) \frac{t_{2} y_{2}+\cdots+t_{N} y_{N}}{t_{2}+\cdots+t_{N}}
$$

exhibits $p$ as a convex combination of two points of $\overline{c o}(K)$, by (4). Since $p$ is an extreme point of $\overline{c o}(K)$, we conclude from (5) that $y_{1}=p$. Thus, for some $i$,

$$
p \in A_{i} \subset x_{i}+\bar{V} \subset K+\bar{V}
$$

which contradicts (1). [Note that $A_{i} \subset x_{i}+\bar{V}$, by (2), because $V$ is convex.]"
5.2,"Suppose $0<p<\infty$, and

(a) $\mu$ is a probability measure on a measure space $\Omega$.

(b) $S$ is a closed subspace of $L^{p}(\mu)$.

(c) $S \subset L^{\infty}(\mu)$.

Then $S$ is finite-dimensional.","Let $j$ be the identity map that takes $S$ into $L^{\infty}$, where $S$ is given the $L^{p}$-topology, so that $S$ is complete. If $\left\{f_{n}\right\}$ is a sequence in $S$ such that $f_{n} \rightarrow f$ in $S$ and $f_{n} \rightarrow g$ in $L^{\infty}$, it is obvious that $f=g$ a.e. Hence $j$ satisfies the hypotheses of the closed graph theorem, and we conclude that there is a constant $K<\infty$ such that

$$
\|f\|_{\infty} \leq K\|f\|_{p}
$$

for all $f \in S$. As usual, $\|f\|_{p}$ means $\left(\int|f|^{p} d \mu\right)^{1 / p}$, and $\|f\|_{\infty}$ is the essential supremum of $|f|$. If $p \leq 2$ then $\|f\|_{p} \leq\|f\|_{2}$. If $2<p<\infty$, integration of the inequality

$$
|f|^{p} \leq\|f\|_{\infty}^{p-2}|f|^{2}
$$

leads to $\|f\|_{\infty} \leq K^{p / 2}\|f\|_{2}$. In either case, we have a constant $M<\infty$ such that

$$
\|f\|_{\infty} \leq M\|f\|_{2} \quad(f \in S) .
$$

In the rest of the proof we shall deal with individual functions, not with equivalence classes modulo null sets.

Let $\left\{\phi_{1}, \ldots, \phi_{n}\right\}$ be an orthonormal set in $S$, regarded as a subspace of $L^{2}$. Let $Q$ be a countable dense subset of the euclidean unit ball $B$ of $\mathcal{C}^{n}$. If $c=\left(c_{1}, \ldots, c_{n}\right) \in B$, define $f_{c}=\sum c_{i} \phi_{i}$. Then $\left\|f_{c}\right\|_{2} \leq 1$, and so $\left\|f_{c}\right\|_{\infty} \leq M$. Since $Q$ is countable, there is a set $\Omega^{\prime} \subset \Omega$, with $\mu\left(\Omega^{\prime}\right)=1$, such that $\left|f_{c}(x)\right| \leq M$ for every $c \in Q$ and for every $x \in \Omega^{\prime}$. If $x$ is fixed, $c \rightarrow\left|f_{c}(x)\right|$ is a continuous function on $B$. Hence $\left|f_{c}(x)\right| \leq M$ whenever $c \in B$ and $x \in \Omega^{\prime}$. It follows that $\sum\left|\phi_{i}(x)\right|^{2} \leq$ $M^{2}$ for every $x \in \Omega^{\prime}$. Integration of this inequality gives $n \leq M^{2}$. We conclude that $\operatorname{dim} S \leq M^{2}$. This proves the theorem."
6.21,"Suppose $\Gamma$ is an open cover of an open set $\Omega \subset R^{n}$, and suppose that to each $\omega \in \Gamma$ corresponds a distribution $\Lambda_{\omega} \in \mathscr{D}^{\prime}(\omega)$ such that

$$
\Lambda_{\omega^{\prime}}=\Lambda_{\omega^{\prime \prime}} \text { in } \omega^{\prime} \cap \omega^{\prime \prime}
$$

whenever $\omega^{\prime} \cap \omega^{\prime \prime} \neq \varnothing$.

Then there exists a unique $\Lambda \in \mathscr{D}^{\prime}(\Omega)$ such that

$$
\Lambda=\Lambda_{\omega} \text { in } \omega
$$

for every $\omega \in \Gamma$.","Let $\left\{\psi_{i}\right\}$ be a locally finite partition of unity, subordinate to $\Gamma$, as in Theorem 6.20, and associate to each $i$ a set $\omega_{i} \in \Gamma$ such that $\omega_{i}$ contains the support of $\psi_{i}$.

If $\phi \in \mathscr{D}(\Omega)$, then $\phi=\sum \psi_{i} \phi$. Only finitely many terms in this sum are different from 0 , since $\phi$ has compact support. Define

$$
\Lambda \phi=\sum_{i=1}^{\infty} \Lambda_{\omega_{i}}\left(\psi_{i} \phi\right)
$$

It is clear that $\Lambda$ is a linear functional on $\mathscr{D}(\Omega)$.

To show that $\Lambda$ is continuous, suppose $\phi_{j} \rightarrow 0$ in $\mathscr{D}(\Omega)$. There is a compact $K \subset \Omega$ which contains the support of every $\phi_{j}$. If $m$ is chosen as in part $(c)$ of Theorem 6.20 , then

$$
\Lambda \phi_{j}=\sum_{i=1}^{m} \Lambda_{\omega_{i}}\left(\psi_{i} \phi_{j}\right) \quad(j=1,2,3, \ldots)
$$

Since $\psi_{i} \phi_{j} \rightarrow 0$ in $\mathscr{D}\left(\omega_{i}\right)$, as $j \rightarrow \infty$, it follows from (4) that $\Lambda \phi_{j} \rightarrow 0$. By Theorem 6.6, $\Lambda \in \mathscr{D}^{\prime}(\Omega)$.

To prove (2), pick $\phi \in \mathscr{D}(\omega)$. Then

$$
\psi_{i} \phi \in \mathscr{D}\left(\omega_{i} \cap \omega\right) \quad(i=1,2,3, \ldots)
$$

so that (1) implies $\Lambda_{\omega_{i}}\left(\psi_{i} \phi\right)=\Lambda_{\omega}\left(\psi_{i} \phi\right)$. Hence

$$
\Lambda \phi=\sum \Lambda_{\omega}\left(\psi_{i} \phi\right)=\Lambda_{\omega}\left(\sum \psi_{i} \phi\right)=\Lambda_{\omega} \phi
$$

which proves (2).

This gives the existence of $\Lambda$. The uniqueness is trivial since (2) (with $\omega_{i}$ in place of $\omega$ ) implies that $\Lambda$ must satisfy (3)."
1.27,"Suppose $Y$ is a subspace of a topological vector space $X$, and $Y$ is an $F$-space (in the topology inherited from $X$ ). Then $Y$ is a closed subspace of $X$.","Choose an invariant metric $d$ on $Y$, compatible with its topology. Let

$$
B_{1 / n}=\left\{y \in Y: d(y, 0)<\frac{1}{n}\right\}
$$

let $U_{n}$ be a neighborhood of 0 in $X$ such that $Y \cap U_{n}=B_{1 / n}$, and choose symmetric neighborhoods $V_{n}$ of 0 in $X$ such that $V_{n}+V_{n} \subset U_{n}$ and $V_{n+1} \subset V_{n}$.

Suppose $x \in \bar{Y}$, and define

$$
E_{n}=Y \cap\left(x+V_{n}\right) \quad(n=1,2,3, \ldots)
$$

If $y_{1} \in E_{n}$ and $y_{2} \in E_{n}$, then $y_{1}-y_{2}$ lies in $Y$ and also in $V_{n}+V_{n} \subset$ $U_{n}$, hence in $B_{1 / n}$. The diameters of the sets $E_{n}$ therefore tend to 0 . Since each $E_{n}$ is nonempty and since $Y$ is complete, it follows that the $Y$-closures of the sets $E_{n}$ have exactly one point $y_{0}$ in common.

Let $W$ be a neighborhood of 0 in $X$, and define

$$
F_{n}=Y \cap\left(x+W \cap V_{n}\right)
$$

The preceding argument shows that the $Y$-closures of the sets $F_{n}$ have one common point $y_{W}$. But $F_{n} \subset E_{n}$. Hence $y_{W}=y_{0}$. Since $F_{n} \subset$ $x+W$, it follows that $y_{0}$ lies in the $X$-closure of $x+W$, for every $W$. This implies $y_{0}=x$. Thus $x \in Y$. This proves that $\bar{Y}=Y$."
1.28 (a),"If $d$ is a translation-invariant metric on a vector space $X$ then

$$
d(n x, 0) \leq n d(x, 0)
$$

for every $x \in X$ and for $n=1,2,3, \ldots$","Statement $(a)$ follows from

$$
d(n x, 0) \leq \sum_{k=1}^{n} d(k x,(k-1) x)=n d(x, 0)
$$"
1.28 (b),"If $\left\{x_{n}\right\}$ is a sequence in a metrizable topological vector space $X$ and if $x_{n} \rightarrow 0$ as $n \rightarrow \infty$, then there are positive scalars $\gamma_{n}$ such that $\gamma_{n} \rightarrow \infty$ and $\gamma_{n} x_{n} \rightarrow 0$.","To prove $(b)$, let $d$ be a metric as in (a), compatible with the topology of $X$. Since $d\left(x_{n}, 0\right) \rightarrow 0$, there is an increasing sequence of positive integers $n_{k}$ such that $d\left(x_{n}, 0\right)<k^{-2}$ if $n \geq n_{k}$. Put $\gamma_{n}=1$ if $n<n_{1}$; put $\gamma_{n}=k$ if $n_{k} \leq n<n_{k+1}$. For such $n$,

$$
d\left(\gamma_{n} x_{n}, 0\right)=d\left(k x_{n}, 0\right) \leq k d\left(x_{n}, 0\right)<k^{-1}
$$

Hence $\gamma_{n} x_{n} \rightarrow 0$ as $n \rightarrow \infty$."
6.24 (a),"Suppose $\Lambda \in \mathscr{D}^{\prime}(\Omega)$ and $S_{\Lambda}$ is the support of $\Lambda$. If the support of some $\phi \in \mathscr{D}(\Omega)$ does not intersect $S_{\Lambda}$, then $\Lambda \phi=0$.",Parts (a) and $(b)$ are obvious.
