Definition,Statement
13.4,"Let $H=L^{2}=L^{2}([0,1])$, relative to Lebesgue measure. We define operators $T_{1}, T_{2}$, and $T_{3}$ in $L^{2}$. Their domains are as follows:

$\mathscr{D}\left(T_{1}\right)$ consists of all absolutely continuous functions $f$ on $[0,1]$ with derivative $f^{\prime} \in L^{2}$.

$$
\begin{aligned}
& \mathscr{D}\left(T_{2}\right)=\mathscr{D}\left(T_{1}\right) \cap\{f: f(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=f(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>\} \\
& \mathscr{D}\left(T_{3}\right)=\mathscr{D}\left(T_{1}\right) \cap\{f: f(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=f(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=0\}
\end{aligned}
$$

These are dense in $L^{2}$. Define

$$
T_{k} f=i f^{\prime} \quad \text { for } f \in \mathscr{D}\left(T_{k}\right), k=1,2,3 .
$$

We claim that

$$
T_{1}^{*}=T_{3}, \quad T_{2}^{*}=T_{2}, \quad T_{3}^{*}=T_{1}
$$

Since $T_{3} \subset T_{2} \subset T_{1}$, it follows that $T_{2}$ is a self-adjoint extension of the symmetric (but not self-adjoint) operator $T_{3}$ and that the extension $T_{1}$ of $T_{2}$ is not symmetric.

Let us prove (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>. Note that

$$
\left(T_{k} f, g\right)=\int_{0}^{1}\left(i f^{\prime}\right) \bar{g}=\int_{0}^{1} \overline{f\left(i g^{\prime}\right)}=\left(f, T_{m} g\right)
$$

when $f \in \mathscr{D}\left(T_{k}\right), g \in \mathscr{D}\left(T_{m}\right)$, and $m+k=4$, since then $f(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> \bar{g}(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=f(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$> \bar{g}(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>$. It follows that $T_{m} \subset T_{k}^{*}$, or

$$
T_{1} \subset T_{3}^{*}, \quad T_{2} \subset T_{2}^{*}, \quad T_{3} \subset T_{1}^{*}
$$

Suppose now that $g \in \mathscr{D}\left(T_{k}^{*}\right)$ and $\phi=T_{k}^{*} g$. Put $\Phi(x)=\int_{0}^{x} \phi$. Then, for $f \in \mathscr{D}\left(T_{k}\right)$,

$$
\int_{0}^{1} i f^{\prime} \bar{g}=\left(T_{k} f, g\right)=(f, \phi)=f(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> \overline{\Phi(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>}-\int_{0}^{1} f^{\prime} \bar{\Phi}
$$

When $k=1$ or 2 , then $\mathscr{D}\left(T_{k}\right)$ contains nonzero constants, so that (5) <$$
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]$$> implies $\Phi(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=0$. When $k=3$, then $f(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=0$. It follows, in all cases, that

$$
i g-\Phi \in \mathscr{R}\left(T_{k}\right)^{\perp}
$$

Since $\mathscr{R}\left(T_{1}\right)=L^{2}$, ig $=\Phi$ if $k=1$, and since $\Phi(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=0$ in that case, $g \in \mathscr{D}\left(T_{3}\right)$. Thus $T_{1}^{*} \subset T_{3}$.

If $k=2$ or 3 , then $\mathscr{R}\left(T_{k}\right)$ consists of all $u \in L^{2}$ such that $\int_{0}^{1} u=0$. Thus

$$
\mathscr{R}\left(T_{2}\right)=\mathscr{R}\left(T_{3}\right)=Y^{\perp}
$$

where $Y$ is the one-dimensional subspace of $L^{2}$ that contains the constants. Hence (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> implies that $i g-\Phi$ is constant. Thus $g$ is absolutely continuous and $g^{\prime} \in L^{2}$, that is, $g \in \mathscr{D}\left(T_{1}\right)$. Thus $T_{3}^{*} \subset T_{2}$.

If $k=2$, then $\Phi(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=0$, hence $g(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=g(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>$, and $g \in \mathscr{D}\left(T_{2}\right)$. Thus $T_{2}^{*} \subset T_{2}$.

This completes the proof.

Before we turn to a more detailed study of the relations between symmetric operators and self-adjoint ones, we insert another example."
13.5,"Let $H=L^{2}$, as in Example 13.4, define $D f=f^{\prime}$ for $f \in \mathscr{D}\left(T_{2}\right)$, say (the exact domain is now not very important), and define $(M f)(t)=t f(t)$. Then $(D M-M D) f=f$, or

$$
D M-M D=I,
$$

where $I$ denotes the identity operator on the domain of $D$.

The identity operator appears thus as a commutator of two operators, of which only one is bounded. The question whether the identity is the
commutator of two bounded operators on $H$ arose in quantum mechanics. The answer is negative, not just in $\mathscr{B}(H)$, but in every Banach algebra."
10.26,"['Suppose $A$ is a Banach algebra, $\\Omega$ is an open set in $\\mathscr{C}$, and $H(\\Omega)$ is the algebra of all complex holomorphic functions in $\\Omega$. By Theorem 10.20 <> ,\n\n$$\nA_{\\Omega}=\\{x \\in A: \\sigma(x) \\subset \\Omega\\}\n$$\n\nis an open subset of $A$.\n\nWe define $\\tilde{H}\\left(A_{\\Omega}\\right)$ to be the set of all $A$-valued functions $\\tilde{f}$, with domain $A_{\\Omega}$, that arise from an $f \\in H(\\Omega)$ by the formula\n\n$$\n\\tilde{f}(x)=\\frac{1}{2 \\pi i} \\int_{\\Gamma} f(\\lambda)(\\lambda e-x)^{-1} d \\lambda,\n$$\n\nwhere $\\Gamma$ is any contour that surrounds $\\sigma(x)$ in $\\Omega$.', 'Since $\\Gamma$ stays away from $\\sigma(x)$ and since inversion is continuous in $A$, the integrand is continuous in (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>, so that the integral exists and defines $\\tilde{f}(x)$ as an element of $A$.\n\n(b) The integrand is actually a holomorphic $A$-valued function in the complement of $\\sigma(x)$. (This was observed in the proof of Theorem 10.13 <> . See\n\nExercise 3.) The Cauchy theorem 3.31 implies therefore that $\\tilde{f}(x)$ is independent of the choice of $\\Gamma$, provided only that $\\Gamma$ surrounds $\\sigma(x)$ in $\\Omega$.\n\n(c) If $x=\\alpha e$ and $\\alpha \\in \\Omega$, (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> becomes\n\n$$\n\\tilde{f}(\\alpha e)=f(\\alpha) e\n$$\n\nNote that $\\alpha e \\in A_{\\Omega}$ if and only if $\\alpha \\in \\Omega$. If we identity $\\lambda \\in \\mathbb{C}$ with $\\lambda e \\in A$, every $f \\in H(\\Omega)$ may be regarded as mapping a certain subset of $A_{\\Omega}$ (namely, the intersection of $A_{\\Omega}$ with the one-dimensional subspace of $A$ generated by $e$ ) into $A$, and then (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> shows that $\\tilde{f}$ may be regarded as an extension of $f$.\n\nIn most treatments of this topic, $f(x)$ is written in place of our $\\tilde{f}(x)$. The notation $\\tilde{f}$ is used here because it avoids certain ambiguities that might cause misunderstandings.\n\n(d) If $S$ is any set and $A$ is any algebra, the collection of all $A$-valued functions on $S$ is an algebra, if scalar multiplication, addition, and multiplication are defined pointwise. For instance, if $u$ and $v$ map $S$ into $A$, then\n\n$$\n(u v)(s)=u(s) v(s) \\quad(s \\in S)\n$$\n\nThis will be applied to $A$-valued functions defined in $A_{\\Omega}$.']"
1.16,"['When $X$ and $Y$ are vector spaces over the same scalar field. A mapping $\\Lambda: X \\rightarrow Y$ is said to be linear if\n\n$$\n\\Lambda(\\alpha x+\\beta y)=\\alpha \\Lambda x+\\beta \\Lambda y\n$$\n\nfor all $x$ and $y$ in $X$ and all scalars $\\alpha$ and $\\beta$. Note that one often writes $\\Lambda x$, rather than $\\Lambda(x)$, when $\\Lambda$ is linear.\n\nLinear mappings of $X$ into its scalar field are called linear functionals.\n\nFor example, the multiplication operators $M_{\\alpha}$ of Section 1.7 are linear, but the translation operators $T_{a}$ are not, except when $a=0$.\n\nHere are some properties of linear mappings $\\Lambda: X \\rightarrow Y$ whose proofs are so easy that we omit them; it is assumed that $A \\subset X$ and $B \\subset Y$ :\n\n(a) $\\Lambda 0=0$.\n\n(b) If $A$ is a subspace (or a convex set, or a balanced set) the same is true of $\\Lambda(A)$.\n\n(c) If $B$ is a subspace (or a convex set, or a balanced set) the same is true of $\\Lambda^{-1}(B)$.\n(d) In particular, the set\n\n$$\n\\Lambda^{-1}(\\{0\\})=\\{x \\in X: \\Lambda x=0\\}=\\mathcal{N}(\\Lambda)\n$$\n\nis a subspace of $X$, called the null space of $\\Lambda$.']"
4.17 (a),"Suppose $X$ is a Banach space. Then $\mathscr{B}(X)$ [which is an abbreviation for $\mathscr{B}(X, Y)]$ is not merely a Banach space (see Theorem 4.1 <> ) but also an algebra: If $S \in \mathscr{B}(X)$ and $T \in \mathscr{B}(X)$, one defines $S T \in \mathscr{B}(X)$ by

$$
(S T)(x)=S(T(x)) \quad(x \in X)
$$

The inequality

$$
\|S T\| \leq\|S\|\|T\|
$$

is trivial to verify.

In particular, powers of $T \in \mathscr{B}(X)$ can be defined: $T^{0}=I$, the identity mapping on $X$, given by $I x=x$, and $T^{n}=T T^{n-1}$, for $n=1,2,3, \ldots$"
4.17 (b),"An operator $T \in \mathscr{B}(X)$ is said to be invertible if there exists $S \in \mathscr{B}(X)$ such that

$$
S T=I=T S .
$$

In this case, we write $S=T^{-1}$. By the open mapping theorem, this happens if and only if $\mathscr{N}(T)=\{0\}$ and $\mathscr{R}(T)=X$."
4.17 (c),"The spectrum $\sigma(T)$ of an operator $T \in \mathscr{B}(X)$ is the set of all scalars $\lambda$ such that $T-\lambda I$ is not invertible. Thus $\lambda \in \sigma(T)$ if and only if at least one of the following two statements is true:

(i) The range of $T-\lambda I$ is not all of $X$.

(ii) $T-\lambda I$ is not one-to-one.

If (ii) holds, $\lambda$ is said to be an eigenvalue of $T$; the corresponding eigenspace is $\mathscr{N}(T-\lambda I)$; each $x \in $\mathscr{N}(T-\lambda I)$ (except $x=0$ ) is an eigenvector of $T$; it satisfies the equation

$$
T x=\lambda x
$$"
3.22,"Let $K$ be a subset of a vector space $X$. A nonempty set $S \subset K$ is called an extreme set of $K$ if no point of $S$ is an internal point of any line interval whose end points are in $K$, except when both end points are in $S$. Analytically, the condition can be expressed as follows: If $x \in K, y \in K, 0<t<1$, and

$$
(1-t) x+t y \in S
$$

then $x \in S$ and $y \in S$.

The extreme points of $K$ are the extreme sets that consist of just one point.

The set of all extreme points of $K$ will be denoted by $E(K)$."
5.6,"['Let $C(S)$ be the familiar sup-normed Banach space of all continuous complex functions on the compact Hausdorff space $S$. A subspace $A$ of $C(S)$ is an algebra if $f g \\in A$ whenever $f \\in A$ and $g \\in A$. A set $E \\subset S$ is said to be $A$-antisymmetric if every $f \\in A$ which is real on $E$ is constant on $E$; in other words, the algebra $A_{E}$ which consists of the restrictions $\\left.f\\right|_{E}$ of the functions $f \\in A$ to $E$ contains no nonconstant real functions.\n\nFor example, if $S$ is a compact set in $\\mathscr{C}$ and if $A$ consists of all $f \\in C(S)$ that are holomorphic in the interior of $S$, then every component of the interior of $S$ is $A$-antisymmetric.\n\nSuppose $A \\subset C(S), p \\in S, q \\in S$, and write $p \\sim q$ provided that there is an $A$-antisymmetric set $E$ which contains both $p$ and $q$. It is easily verified that this defines an equivalence relation in $S$ and that each equivalence class is a closed set. These equivalence classes are the maximal $\\boldsymbol{A}$-antisymmetric sets.']"
3.1,"The dual space of a topological vector space $X$ is the vector space $X^{*}$ whose elements are the continuous linear functionals on $X$. Note that addition and scalar multiplication are defined in $X^{*}$ by

$$
\left(\Lambda_{1}+\Lambda_{2}\right) x=\Lambda_{1} x+\Lambda_{2} x, \quad(\alpha \Lambda) x=\alpha \cdot \Lambda x
$$

It is clear that these operations do indeed make $X^{*}$ into a vector space.

It will be necessary to use the obvious fact that every complex vector space is also a real vector space, and it will be convenient to use the following (temporary) terminology: An additive functional $\Lambda$ on a complex vector space $X$ is called real-linear (complex-linear) if $\Lambda(\alpha x)=\alpha \Lambda x$ for every $x \in X$ and for every real (complex) scalar $\alpha$. Our standing rule that any statement about vector spaces in which no scalar field is mentioned applies to both cases is unaffected by this temporary terminology and is still in force.

If $u$ is the real part of a complex-linear functional $f$ on $X$, then $u$ is real-linear and

$$
f(x)=u(x)-i u(i x) \quad(x \in X)
$$

because $z=\operatorname{Re} z-i \operatorname{Re}(i z)$ for every $z \in \mathscr{C}$.

Conversely, if $u: X \rightarrow R$ is real-linear on a complex vector space $X$ and if $f$ is defined by (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>, a straightforward computation shows that $f$ is complex-linear.

Suppose now that $X$ is a complex topological vector space. The above facts imply that a complex-linear functional on $X$ is in $X^{*}$ if and only if its real part is continuous, and that every continuous real-linear $u: X \rightarrow R$ is the real part of a unique $f \in X^{*}$."
1.25 (a),"Suppose $d$ is a metric on a set $X$. A sequence $\left\{x_{n}\right\}$ in $X$ is a Cauchy sequence if to every $\varepsilon>0$ there corresponds an integer $N$ such that $d\left(x_{m}, x_{n}\right)<\varepsilon$ whenever $m>N$ and $n>N$. If every Cauchy sequence in $X$ converges to a point of $X$, then $d$ is said to be a complete metric on $X$."
1.25 (b),"Let $\tau$ be the topology of a topological vector space $X$. The notion of Cauchy sequence can be defined in this setting without reference to any metric: Fix a local base $\mathscr{B}$ for $\tau$. A sequence $\left\{x_{n}\right\}$ in $X$ is then said to be a Cauchy sequence if to every $V \in \mathscr{B}$ corresponds an $N$ such that $x_{n}-x_{m} \in V$ if $n>N$ and $m>N$.

It is clear that different local bases for the same $\tau$ give rise to the same class of Cauchy sequences."
1.25 (c),"Suppose now that $X$ is a topological vector space whose topology $\tau$ is compatible with an invariant metric $d$. Let us temporarily use the terms $d$-Cauchy sequence and $\tau$-Cauchy sequence for the concepts defined in $(a)$ and $(b)$, respectively. Since

$$
d\left(x_{n}, x_{m}\right)=d\left(x_{n}-x_{m}, 0\right)
$$

and since the $d$-balls centered at the origin form a local base for $\tau$, we conclude:

A sequence $\left\{x_{n}\right\}$ in $X$ is a d-Cauchy sequence if and only if is a $\tau$-Cauchy sequence.

Consequently, any two invariant metrics on $X$ that are compatible with $\tau$ have the same Cauchy sequences. They clearly also have the same convergent sequences (namely, the $\tau$-convergent ones). These remarks prove the following fact:

If $d_{1}$ and $d_{2}$ are invariant metrics on a vector space $X$ which induce the same topology on $X$, then

(a) $d_{1}$ and $d_{2}$ have the same Cauchy sequences, and

(b) $d_{1}$ is complete if and only if $d_{2}$ is complete.

Invariance is needed in the hypothesis (Exercise 12)."
3.19 (a),"If $X$ is a vector space and $E \subset X$, the convex hull of $E$ will be denoted by $c o(E)$. Recall that $c o(E)$ is the intersection of all convex subsets of $X$ which contain $E$. Equivalently, $c o(E)$ is the set of all finite convex combinations of members of $E$."
3.19 (b),"If $X$ is a topological vector space and $E \subset X$, the closed convex hull of $E$, written $\overline{c o}(E)$, is the closure of $c o(E)$."
3.19 (c),"A subset $E$ of a metric space $X$ is said to be totally bounded if $E$ lies in the union of finitely many open balls of radius $\varepsilon$, for every $\varepsilon>0$."
3.19 (d),A set $E$ in a topological vector space $X$ is said to be totally bounded if to every neighborhood $V$ of 0 in $X$ corresponds a finite set $F$ such that $E \subset F+V$.
12.11 (a),An operator $T \in \mathscr{B}(H)$ is normal if $T T^{*}=T^{*} T$.
12.11 (b),An operator $T \in \mathscr{B}(H)$ is self-adjoint (or hermitian) if $T^{*}=T$.
12.11 (c),"An operator $T \in \mathscr{B}(H)$ is unitary if $T^{*} T=I=T T^{*}$, where $I$ is the identity operator on $H$."
12.11 (d),An operator $T \in \mathscr{B}(H)$ is a projection if $T^{2}=T$.
12.1 (a),"In an inner product space (or unitary space) $H$: To each ordered pair of vectors $x$ and $y$ in $H$ is associated a complex number $(x, y)$, called the inner product or scalar product of $x$ and $y$, such that $(y, x)=\overline{(x, y)}$. (The bar denotes complex conjugation.)"
12.1 (b),"In an inner product space $H$: $(x+y, z)=(x, z)+(y, z)$ for all $x, y, z \in H$."
12.1 (c),"In an inner product space $H$: $(\alpha x, y)=\alpha(x, y)$ if $x \in H, y \in H, \alpha \in \mathbb{C}$."
12.1 (d),"In an inner product space $H$: $(x, x) \geq 0$ for all $x \in H$."
12.1 (e),"In an inner product space $H$: $(x, x)=0$ only if $x=0$."
3.26,"Suppose $\mu$ is a measure on a measure space $Q, X$ is a topological vector space on which $X^{*}$ separates points, and $f$ is a function from $Q$ into $X$ such that the scalar functions $\Lambda f$ are integrable with respect to $\mu$, for every $\Lambda \in X^{*}$; note that $\Lambda f$ is defined by

$$
(\Lambda f)(q)=\Lambda(f(q)) \quad(q \in Q)
$$

If there exists a vector $y \in X$ such that

$$
\Lambda y=\int_{Q}(\Lambda f) d \mu
$$

for every $\Lambda \in X^{*}$, then we define

$$
\int_{Q} f d \mu=y
$$

It is clear that there is at most one such $y$, because $X^{*}$ separates points on $X$. Thus there is no uniqueness problem.

Existence will be proved only in the rather special case (sufficient for many applications) in which $Q$ is compact and $f$ is continuous. In that case, $f(Q)$ is compact, and the only other requirement that will be imposed is that the closed convex hull of $f(Q)$ should be compact. By Theorem 3.20 <> , this additional requirement is automatically satisfied when $X$ is a Fréchet space.

Recall that a Borel measure on a compact (or locally compact) Hausdorff space $Q$ is a measure defined on the $\sigma$-algebra of all Borel sets in $Q$; this is the smallest $\sigma$-algebra that contains all open subsets of $Q$. A probability measure is a positive measure of total mass 1 ."
12.17,"['Let $\\mathfrak{M}$ be a $\\sigma$-algebra in a set $\\Omega$, and let $H$ be a Hilbert space. A resolution of the identity (on $\\mathfrak{M}$) is a mapping\n\n$$\nE: \\mathfrak{M} \\rightarrow \\mathscr{B}(H)\n$$\n\nwith the following properties:\n(a) $E(\\varnothing)=0, E(\\Omega)=I$.\n\n(b) Each $E(\\omega)$ is a self-adjoint projection.\n\n(c) $E\\left(\\omega^{\\prime} \\cap \\omega^{\\prime \\prime}\\right)=E\\left(\\omega^{\\prime}\\right) E\\left(\\omega^{\\prime \\prime}\\right)$.\n\n(d) If $\\omega^{\\prime} \\cap \\omega^{\\prime \\prime}=\\varnothing$, then $E\\left(\\omega^{\\prime} \\cup \\omega^{\\prime \\prime}\\right)=E\\left(\\omega^{\\prime}\\right)+E\\left(\\omega^{\\prime \\prime}\\right)$.\n\n(e) For every $x \\in H$ and $y \\in H$, the set function $E_{x, y}$ defined by\n\n$$\nE_{x, y}(\\omega)=(E(\\omega) x, y)\n$$\n\nis a complex measure on $\\mathfrak{M}$.\n\nWhen $\\mathfrak{M}$ is the $\\sigma$-algebra of all Borel sets on a compact or locally compact Hausdorff space, it is customary to add another requirement to $(e)$: Each $E_{x, y}$ should be a regular Borel measure. (This is automatically satisfied on compact metric spaces, for instance. See [23].)']"
6.36,"If $u \in \mathscr{D}^{\prime}, v \in \mathscr{D}^{\prime}$, and at least one of these two distributions has compact support, define

$$
L \phi=u *(v * \phi) \quad(\phi \in \mathscr{D})
$$

For if $v$ has compact support, then $v * \phi \in \mathscr{D}$, and $L \phi \in C^{\infty}$; if $u$ has compact support, then again $L \phi \in C^{\infty}$, since $v * \phi \in C^{\infty}$. Also, $\tau_{x} L=L \tau_{x}$, for all $x \in R^{n}$. These assertions follow from Theorems 6.30 and 6.35.

The functional $\phi \rightarrow(L \phi)(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>$ is in fact a distribution. To see this, suppose $\phi_{i} \rightarrow 0$ in $\mathscr{D}$. By $(a)$ of Theorem 6.33 <>  <> ,v* $\phi_{i} \rightarrow 0$ in $C^{\infty}$; if, in addition, $v$ has compact support then $v * \mathscr{\phi}_{i} \rightarrow 0$ in $\mathscr{D}$. It follows, in either case, that $\left(L \phi_{i}\right)(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$> \rightarrow 0$.

The proof of $(b)$ of Theorem 6.33 <>  <>  now shows that this distribution, which we shall denote by $u * v$, is related to $L$ by the formula

$$
L \phi=(u * v) * \phi \quad(\phi \in \mathscr{D})
$$

In other words, $u * v \in \mathscr{D}^{\prime}$ is characterized by

$$
(u * v) * \phi=u *(v * \phi) \quad(\phi \in \mathscr{D})
$$"
11.1,"A subset $J$ of a commutative complex algebra $A$ is said to be an ideal if

(a) $J$ is a subspace of $A$ (in the vector space sense), and

(b) $x y \in J$ whenever $x \in A$ and $y \in J$.

If $J \neq A, J$ is a proper ideal. Maximal ideals are proper ideals which are not contained in any larger proper ideal."
7.20,"If $\Omega$ is an open set in $\mathbb{C}^{n}$, and if $f$ is a continuous complex function in $\Omega$, then $f$ is said to be holomorphic in $\Omega$ if it is holomorphic in each variable separately. This means that if $\left(a_{1}, \ldots, a_{n}\right) \in \Omega$ and if

$$
g_{i}(\lambda)=f\left(a_{1}, \ldots, a_{i-1}, a_{i}+\lambda, a_{i+1}, \ldots, a_{n}\right)
$$

each of the functions $g_{1}, \ldots, g_{n}$ is to be holomorphic in some neighborhood of 0 in $\mathscr{C}$. A function that is holomorphic in all of $\mathscr{C}^{n}$ is said to be entire.

Points of $\mathbb{C}^{n}$ will be denoted by $z=\left(z_{1}, \ldots, z_{n}\right)$, where $z_{k} \in \mathscr{C}$. If $z_{k}=$ $x_{k}+i y_{k}, x=\left(x_{1}, \ldots, x_{n}\right), y=\left(y_{1}, \ldots, y_{n}\right)$, then we write $z=x+i y$. The vectors

$$
x=\operatorname{Re} z \quad \text { and } \quad y=\operatorname{Im} z
$$

are the real and imaginary parts of $z$, respectively; $R^{n}$ will be thought of as the set of all $z \in \mathbb{C}^{n}$ with $\operatorname{Im} z=0$. The notations

$$
\begin{aligned}
|z| & =\left(\left|z_{1}\right|^{2}+\cdots+\left|z_{n}\right|^{2}\right)^{1 / 2} \\
|\operatorname{Im} z| & =\left(y_{1}^{2}+\cdots+y_{n}^{2}\right)^{1 / 2} \\
z^{\alpha} & =z_{1}^{\alpha_{1}} \cdots z_{n}^{\alpha_{n}} \\
z \cdot t & =z_{1} t_{1}+\cdots+z_{n} t_{n} \\
e_{z}(t) & =\exp (i z \cdot t)
\end{aligned}
$$

will be used for any multi-index $\alpha$ and any $t \in R^{n}$."
13.34 (a),"Let $X$ be a Banach space, and suppose that to every $t \in[0, \infty)$ is associated an operator $Q(t) \in \mathscr{B}(X)$, in such a way that $Q(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=I$."
13.34 (b),"Let $X$ be a Banach space, and suppose that to every $t \in[0, \infty)$ is associated an operator $Q(t) \in \mathscr{B}(X)$, in such a way that $Q(s+t)=Q(s) Q(t)$ for all $s \geq 0$ and $t \geq 0$."
13.34 (c),"Let $X$ be a Banach space, and suppose that to every $t \in[0, \infty)$ is associated an operator $Q(t) \in \mathscr{B}(X)$, in such a way that $\lim _{t \rightarrow 0}\|Q(t) x-x\|=0$ for every $x \in X$."
13.34,"If $(a)$ and $(b)$ hold, $\{Q(t)\}$ is called a semigroup (or, more precisely, a one-parameter semigroup). Such semigroups have exponential representations, provided that the mapping $t \rightarrow Q(t)$ satisfies some continuity assumption. The one that is chosen here, namely $(c)$, is easy to work with.

Motivated by the fact that every continuous complex function that satisfies $f(s+t)=f(s) f(t)$ has the form $f(t)=\exp (A t)$, and that $f$ is determined by the number $A=f^{\prime}(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>$, we associate with $\{Q(t)\}$ the operators $A_{\varepsilon}$, by

$$
A_{\varepsilon} x=\frac{1}{\varepsilon}[Q(\varepsilon) x-x] \quad(x \in X, \varepsilon>0)
$$

and define

$$
A x=\lim _{\varepsilon \rightarrow 0} A_{\varepsilon} x
$$

for all $x \in \mathscr{D}(A)$, that is, for all $x$ for which the limit (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> exists in the norm topology of $X$.

It is clear that $\mathscr{D}(A)$ is a subspace of $X$ and that $A$ is thus a linear operator in $X$.

This operator, which is essentially $Q^{\prime}(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>$, is called the infinitesimal generator of the semigroup $\{Q(t)\}$."
9.6,"A function $\phi \in L^{\infty}\left(R^{n}\right)$ is said to be slowly oscillating if to every $\varepsilon>0$ correspond an $A<\infty$ and a $\delta>0$ such that

$$
|\phi(x)-\phi(y)|<\varepsilon \quad \text { if }|x|>A,|y|>A,|x-y|<\delta \text {. }
$$

If $n=1$, one can also define what it means for $\phi$ to be slowly oscillating at $+\infty$ : the requirement (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> is replaced by

$$
|\phi(x)-\phi(y)|<\varepsilon \quad \text { if } x>A, y>A,|x-y|<\delta \text {. }
$$

The same definition can of course be made at $-\infty$.

Note that every uniformly continuous bounded function is slowly oscillating but that some slowly oscillating functions are not continuous."
