Definition,Statement
10.6,"A linear operator $B$ on $R^{n}$ that interchanges some pair of members of the standard basis and leaves the others fixed will be called a flip. For example, the flip $B$ on $R^{4}$ that interchanges $\mathbf{e}_{2}$ and $\mathbf{e}_{4}$ has the form

$$
B\left(x_{1} \mathbf{e}_{1}+x_{2} \mathbf{e}_{2}+x_{3} \mathbf{e}_{3}+x_{4} \mathbf{e}_{4}\right)=x_{1} \mathbf{e}_{1}+x_{2} \mathbf{e}_{4}+x_{3} \mathbf{e}_{3}+x_{4} \mathbf{e}_{2}
$$

or, equivalently,

$$
B\left(x_{1} \mathbf{e}_{1}+x_{2} \mathbf{e}_{2}+x_{3} \mathbf{e}_{3}+x_{4} \mathbf{e}_{4}\right)=x_{1} \mathbf{e}_{1}+x_{4} \mathbf{e}_{2}+x_{3} \mathbf{e}_{3}+x_{2} \mathbf{e}_{4}
$$

Hence $B$ can also be thought of as interchanging two of the coordinates, rather than two basis vectors.

In the proof that follows, we shall use the projections $P_{0}, \ldots, P_{n}$ in $R^{n}$, defined by $P_{0} \mathbf{x}=\mathbf{0}$ and

$$
P_{m} \mathbf{x}=x_{1} \mathbf{e}_{1}+\cdots+x_{m} \mathbf{e}_{m}
$$

for $1 \leq m \leq n$. Thus $P_{m}$ is the projection whose range and null space are spanned by $\left\{\mathbf{e}_{1}, \ldots, \mathbf{e}_{m}\right\}$ and $\left\{\mathbf{e}_{m+1}, \ldots, \mathbf{e}_{n}\right\}$, respectively."
11.9,"For any $A \subset R^{p}, B \subset R^{p}$: $S(A, B) =(A-B) \cup(B-A)$ and $d(A, B) =\mu^{*}(S(A, B))$. We write $A_{n} \rightarrow A$ if

$$
\lim _{n \rightarrow \infty} d\left(A, A_{n}\right)=0
$$

If there is a sequence $\left\{A_{n}\right\}$ of elementary sets such that $A_{n} \rightarrow A$, we say that $A$ is finitely $\mu$-measurable and write $A \in \mathfrak{M i}_{F}(\mu)$.

If $A$ is the union of a countable collection of finitely $\mu$-measurable sets, we say that $A$ is $\mu$-measurable and write $A \in \mathfrak{M}(\mu)$.

$S(A, B)$ is the so-called ""symmetric difference"" of $A$ and $B. We shall see that $d(A, B)$ is essentially a distance function."
10.5,"If $\mathbf{G}$ maps an open set $E \subset R^{n}$ into $R^{n}$, and if there is an integer $m$ and a real function $g$ with domain $E$ such that

$$
\mathbf{G}(\mathbf{x})=\sum_{i \neq m} x_{i} \mathbf{e}_{i}+g(\mathbf{x}) \mathbf{e}_{m} \quad(\mathbf{x} \in E)
$$

then we call $\mathbf{G}$ primitive. A primitive mapping is thus one that changes at most one coordinate. Note that (9) <$$\[
\mathbf{G}(\mathbf{x})=\sum_{i \neq m} x_{i} \mathbf{e}_{i}+g(\mathbf{x}) \mathbf{e}_{m} \quad(\mathbf{x} \in E)
\]$$> can also be written in the form

$$
\mathbf{G}(\mathbf{x})=\mathbf{x}+\left[g(\mathbf{x})-x_{m}\right] \mathbf{e}_{m} .
$$

If $g$ is differentiable at some point $\mathbf{a} \in E$, so is $\mathbf{G}$. The matrix $\left[\alpha_{i j}\right]$ of the operator $\mathbf{G}^{\prime}(\mathbf{a})$ has

$$
\left(D_{1} g\right)(\mathbf{a}), \ldots,\left(D_{m} g\right)(\mathbf{a}), \ldots,\left(D_{n} g\right)(\mathbf{a})
$$

as its $m$ th row. For $j \neq m$, we have $\alpha_{j j}=1$ and $\alpha_{i j}=0$ if $i \neq j$. The Jacobian of $\mathbf{G}$ at $\mathbf{a}$ is thus given by

$$
J_{\mathbf{G}}(\mathbf{a})=\operatorname{det}\left[\mathbf{G}^{\prime}(\mathbf{a})\right]=\left(D_{m} g\right)(\mathbf{a}),
$$

and we see (by Theorem 9.36) that $\mathbf{G}^{\prime}(\mathbf{a})$ is invertible if and only if $\left(D_{m} g\right)(\mathbf{a}) \neq 0$."
8.9,"A trigonometric polynomial is a finite sum of the form

$$
f(x)=a_{0}+\sum_{n=1}^{N}\left(a_{n} \cos n x+b_{n} \sin n x\right) \quad(x \text { real })
$$

where $a_{0}, \ldots, a_{N}, b_{1}, \ldots, b_{N}$ are complex numbers. On account of the identities (46), (59) <$$\quad f(x)=a_{0}+\sum_{n=1}^{N}\left(a_{n} \cos n x+b_{n} \sin n x\right) \quad(x real )$$> can also be written in the form

$$
f(x)=\sum_{-N}^{N} c_{n} e^{i n x} \quad(x \text { real })
$$

which is more convenient for most purposes. It is clear that every trigonometric polynomial is periodic, with period $2 \pi$.

If $n$ is a nonzero integer, $e^{i n x}$ is the derivative of $e^{i n x} /$ in, which also has period $2 \pi$. Hence

$$
\frac{1}{2 \pi} \int_{-\pi}^{\pi} e^{i n x} d x= \begin{cases}1 & (\text { if } n=0) \\ 0 & (\text { if } n= \pm 1, \pm 2, \ldots)\end{cases}
$$

Let us multiply (60) by $e^{-i m x}$, where $m$ is an integer; if we integrate the product, (61) <$$
\[
\frac{1}{2 \pi} \int_{-\pi}^{\pi} e^{i n x} d x=\left\{\begin{array}{ll}
1 & (\text { if } n=0) \\
0 & (\text { if } n= \pm 1, \pm 2, \ldots)
\end{array}\right.
\]$$> shows that

$$
c_{m}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(x) e^{-i m x} d x
$$

for $|m| \leq N$. If $|m|>N$, the integral in (62) <$$
\[
c_{m}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(x) e^{-i m x} d x
\]$$> is 0 .

The following observation can be read off from (60) and (62) <$$
\[
c_{m}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(x) e^{-i m x} d x
\]$$>: The trigonometric polynomial $f$, given by (60), is real if and only if $c_{-n}=\overline{c_{n}}$ for $n=0, \ldots, N.

In agreement with (60), we define a trigonometric series to be a series of the form

$$
\sum_{-\infty}^{\infty} c_{n} e^{i n x} \quad(x \text { real })
$$

the $N$ th partial sum of (63) <$$\[
\sum_{-\infty}^{\infty} c_{n} e^{i n x} \quad(x \text { real })
\]$$> is defined to be the right side of (60).

If $f$ is an integrable function on $[-\pi, \pi]$, the numbers $c_{m}$ defined by (62) <$$
\[
c_{m}=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(x) e^{-i m x} d x
\]$$> for all integers $m$ are called the Fourier coefficients of $f$, and the series (63) <$$\[
\sum_{-\infty}^{\infty} c_{n} e^{i n x} \quad(x \text { real })
\]$$> formed with these coefficients is called the Fourier series of $f.

The natural question which now arises is whether the Fourier series of $f$ converges to $f$, or, more generally, whether $f$ is determined by its Fourier series. That is to say, if we know the Fourier coefficients of a function, can we find the function, and if so, how?

The study of such series, and, in particular, the problem of representing a given function by a trigonometric series, originated in physical problems such as the theory of oscillations and the theory of heat conduction (Fourier's ""Th\'eorie analytique de la chaleur"" was published in 1822). The many difficult: and delicate problems which arose during this study caused a thorough revision and reformulation of the whole theory of functions of a real variable. Among many prominent names, those of Riemann, Cantor, and Lebesgue are intimately connected with this field, which nowadays, with all its generalizations and ramifications, may well be said to occupy a central position in the whole of analysis.

We shall be content to derive some basic theorems which are easily accessible by the methods developed in the preceding chapters. For more thorough investigations, the Lebesgue integral is a natural and indispensable tool.

We shall first study more general systems of functions which share a property analogous to (61) <$$
\[
\frac{1}{2 \pi} \int_{-\pi}^{\pi} e^{i n x} d x=\left\{\begin{array}{ll}
1 & (\text { if } n=0) \\
0 & (\text { if } n= \pm 1, \pm 2, \ldots)
\end{array}\right.
\]$$>."
11.4,"Let $R^{p}$ denote $p$-dimensional euclidean space. By an interval in $R^{p}$ we mean the set of points $\mathbf{x}=\left(x_{1}, \ldots, x_{p}\right)$ such that

$$
a_{i} \leq x_{i} \leq b_{i} \quad(i=1, \ldots, p)
$$

or the set of points which is characterized by (10) <$$\[
a_{i} \leq x_{i} \leq b_{i} \quad(i=1, \ldots, p)
\]$$> with any or all of the $\leq$ signs replaced by $<$. The possibility that $a_{i}=b_{i}$ for any value of $i$ is not ruled out; in particular, the empty set is included among the intervals.

If $A$ is the union of a finite number of intervals, $A$ is said to be an elementary set.

If $I$ is an interval, we define

$$
m(I)=\prod_{i=1}^{p}\left(b_{i}-a_{i}\right)
$$

no matter whether equality is included or excluded in any of the inequalities (10) <$$\[
a_{i} \leq x_{i} \leq b_{i} \quad(i=1, \ldots, p)
\]$$>. If $A=I_{1} \cup \cdots \cup I_{n}$, and if these intervals are pairwise disjoint, we set

$$
m(A)=m\left(I_{1}\right)+\cdots+m\left(I_{n}\right)
$$

We let $\mathscr{E}$ denote the family of all elementary subsets of $R^{p}$."
11.5,"A nonnegative additive set function $\phi$ defined on $\mathscr{E}$ is said to be regular if the following is true: To every $A \in \mathscr{E}$ and to every $\varepsilon>0$ there exist sets $F \in \mathscr{E}, G \in \mathscr{E}$ such that $F$ is closed, $G$ is open, $F \subset A \subset G$, and

$$
\phi(G)-\varepsilon \leq \phi(A) \leq \phi(F)+\varepsilon
$$"
11.12,"For a set $X$, not necessarily a subset of a euclidean space, or indeed of any metric space: $X$ is said to be a measure space if there exists a $\sigma$-ring $\mathfrak{M}$ of subsets of $X$ (which are called measurable sets) and a nonnegative countably additive set function $\mu$ (which is called a measure), defined on $\mathfrak{P}$.

If, in addition, $X \in \mathfrak{M}$, then $X$ is said to be a measurable space.

For instance, we can take $X=R^{p}, \mathfrak{M}$ the collection of all Lebesguemeasurable subsets of $R^{p}$, and $\mu$ Lebesgue measure.

Or, let $X$ be the set of all positive integers, $\mathfrak{M}$ the collection of all subsets of $X$, and $\mu(E)$ the number of elements of $E$.

Another example is provided by probability theory, where events may be considered as sets, and the probability of the occurrence of events is an additive (or countably additive) set function.

In the following sections we shall always deal with measurable spaces. It should be emphasized that the integration theory which we shall soon discuss would not become simpler in any respect if we sacrificed the generality we have now attained and restricted ourselves to Lebesgue measure, say, on an interval of the real line. In fact, the essential features of the theory are brought out with much greater clarity in the more general situation, where it is seen that everything depends only on the countable additivity of $\mu$ on a $\sigma$-ring.

It will be convenient to introduce the notation

$$
\{x \mid P\}
$$

for the set of all elements $x$ which have the property $P$."
11.2,"We say that $\phi$ is a set function defined on $\mathscr{R}$ if $\phi$ assigns to every $A \in \mathscr{R}$ a number $\phi(A)$ of the extended real number system. $\phi$ is additive if $A \cap B=0$ implies

$$
\phi(A \cup B)=\phi(A)+\phi(B)
$$

and $\phi$ is countably additive if $A_{i} \cap A_{j}=0(i \neq j)$ implies

$$
\phi\left(\bigcup_{n=1}^{\infty} A_{n}\right)=\sum_{n=1}^{\infty} \phi\left(A_{n}\right)
$$

We shall always assume that the range of $\phi$ does not contain both $+\infty$ and $-\infty$; for if it did, the right side of (3) <$$\[
\phi(A \cup B)=\phi(A)+\phi(B)
\]$$> could become meaningless. Also, we exclude set functions whose only value is $+\infty$ or $-\infty$.

It is interesting to note that the left side of (4) is independent of the order in which the $A_{n}$ 's are arranged. Hence the rearrangement theorem shows that the right side of (4) converges absolutely if it converges at all; if it does not converge, the partial sums tend to $+\infty$, or to $-\infty$.

If $\phi$ is additive, the following properties are easily verified:

$$
\begin{aligned}
\phi(0) & =0 . \\
\phi\left(A_{1} \cup \cdots \cup A_{n}\right) & =\phi\left(A_{1}\right)+\cdots+\phi\left(A_{n}\right)
\end{aligned}
$$

if $A_{i} \cap A_{j}=0$ whenever $i \neq j.

$$
\phi\left(A_{1} \cup A_{2}\right)+\phi\left(A_{1} \cap A_{2}\right)=\phi\left(A_{1}\right)+\phi\left(A_{2\right) .
$$

If $\phi(A) \geq 0$ for all $A$, and $A_{1} \subset A_{2}$, then

$$
\phi\left(A_{1}\right) \leq \phi\left(A_{2}\right)
$$
Because of (8) <$$\[
\phi\left(A_{1}\right) \leq \phi\left(A_{2}\right)
\]$$>, nonnegative additive set functions are often called monotonic.

$$
\phi(A-B)=\phi(A)-\phi(B)
$$
if $B \subset A$, and $|(\phi B)|<+\infty$."
8.17,"For $0<x<\infty$,

$$
\Gamma(x)=\int_{0}^{\infty} t^{x-1} e^{-t} d t
$$

The integral converges for these $x$. (When $x<1$, both 0 and $\infty$ have to be looked at.)"
6.2,"Let $\alpha$ be a monotonically increasing function on $[a, b]$. For any real function $f$ which is bounded on $[a, b]$ and each partition $P$ of $[a, b]$, define

$$
\Delta \alpha_{i}=\alpha\left(x_{i}\right)-\alpha\left(x_{i-1}\right)
$$

with $\Delta \alpha_{i} \geq 0$, and

$$
\begin{aligned}
& U(P, f, \alpha)=\sum_{i=1}^{n} M_{i} \Delta \alpha_{i} \\
& L(P, f, \alpha)=\sum_{i=1}^{n} m_{i} \Delta \alpha_{i}
\end{aligned}
$$

where $M_{i}, m_{i}$ are the supremum and infimum of $f$ on the $i$th subinterval, respectively. Then define

$$
\begin{aligned}
& \int_{a}^{b} f d \alpha=\inf U(P, f, \alpha) \\
& \int_{a}^{b} f d \alpha=\sup L(P, f, \alpha)
\end{aligned}
$$

If the left members of these definitions are equal, denote their common value by

$$
\int_{a}^{b} f d \alpha
$$

or sometimes by

$$
\int_{a}^{b} f(x) d \alpha(x)
$$

This is the Riemann-Stieltjes integral of $f$ with respect to $\alpha$, over $[a, b]$. If this integral exists, i.e., if the definitions are equal, say that $f$ is integrable with respect to $\alpha$, in the Riemann sense, and write $f \in \mathscr{R}(\alpha)$."
10.34,"Let $\omega$ be a $k$-form in an open set $E \subset R^{n}$. If there is a $(k-1)$ form $\lambda$ in $E$ such that $\omega=d \lambda$, then $\omega$ is said to be exact in $E$.

If $\omega$ is of class $\mathscr{C}^{\prime}$ and $d \omega=0$, then $\omega$ is said to be closed.

Theorem $10.20(b)$ shows that every exact form of class $\mathscr{C}^{\prime}$ is closed.

ln certain sets $E$, for example in convex ones, the converse is true; this is the content of Theorem 10.39 (usually known as Poincar\'es lemma) and Theorem 10.40. However, Examples 10.36 and 10.37 will exhibit closed forms that are not exact."
11.39,"We say that a sequence of complex functions $\left\{\phi_{n}\right\}$ is an orthonormal set of functions on a measurable space $X$ if

$$
\int_{X} \phi_{n} \phi_{m} d \mu= \begin{cases}0 & (n \neq m) \\ 1 & (n=m)\end{cases}
$$

In particular, we must have $\phi_{n} \in \mathscr{L}^{2}(\mu)$. If $f \in \mathscr{L}^{2}(\mu)$ and if

$$
c_{n}=\int_{x} f \bar{\phi}_{n} d \mu \quad(n=1,2,3, \ldots)
$$

we write

$$
f \sim \sum_{n=1}^{\infty} c_{n} \phi_{n}
$$
as in Definition 8.10."
10.3,"The support of a (real or complex) function $f$ on $R^{k}$ is the closure of the set of all points $\mathbf{x} \in R^{k}$ at which $f(\mathbf{x}) \neq 0$. If $f$ is a continuous
function with compact support, let $I^{k}$ be any $k$-cell which contains the support of $f$, and define

$$
\int_{R^{k}} f=\int_{I^{k}} f .
$$

The integral so defined is evidently independent of the choice of $I^{k}$, provided only that $I^{k}$ contains the support of $f.
$$"
10.4,"Let $Q^{k}$ be the $k$-simplex which consists of all points $\mathbf{x}=$ $\left(x_{1}, \ldots, x_{k}\right)$ in $R^{k}$ for which $x_{1}+\cdots+x_{k} \leq 1$ and $x_{i} \geq 0$ foi $i=1, \ldots, k$. If $k=3$, for example, $Q^{k}$ is a tetrahedron, with vertices at $\mathbf{0}, \mathbf{e}_{1}, \mathbf{e}_{2}, \mathbf{e}_{3}$. If $f \in \mathscr{C}\left(Q^{k}\right)$, extend $f$ to a function on $I^{k}$ by setting $f(\mathbf{x})=0$ off $Q^{k}$, and define

$$
\int_{Q^{k}} f=\int_{I^{k}} f
$$

Here $I^{k}$ is the ""unit cube"" defined by

$$
0 \leq x_{i} \leq 1 \quad(1 \leq i \leq k)
$$

Since $f$ may be discontinuous on $I^{k}$, the existence of the integral on the right of (4) <$$\[
\int_{Q^{k}} f=\int_{I^{k}} f .
\]$$> needs proof. We also wish to show that this integral is independent of the order in which the $k$ single integrations are carried out.

To do this, suppose $0<\delta<1$, put

$$
\varphi(t)= \begin{cases}1 & (t \leq 1-\delta) \\ \frac{(1-t)}{\delta} & (1-\delta<t \leq 1) \\ 0 & (1<t),\end{cases}
$$

and define

$$
F(\mathbf{x})=\varphi\left(x_{1}+\cdots+x_{k}\right) f(\mathbf{x}) \quad\left(\mathbf{x} \in I^{k}\right)
$$

Then $F \in \mathscr{C}\left(I^{k}\right).

Put $\mathbf{y}=\left(x_{1}, \ldots, x_{k-1}\right), \mathbf{x}=\left(\mathbf{y}, x_{k}\right)$. For each $\mathbf{y} \in I^{k-1}$, the set of all $x_{k}$ such that $F\left(y, x_{k}\right) \neq f\left(y ; x_{k}\right)$ is either empty or is a segment whose length does not exceed $\delta$. Since $0 \leq \varphi \leq 1$, it follows that

$$
\left|F_{k-1}(\mathbf{y})-f_{k-1}(\mathrm{y})\right| \leq \delta\|f\| \quad\left(\mathrm{y} \in I^{k-1}\right)
$$

where $\|f\|$ has the same meaning as in the proof of Theorem 10.2, and $F_{k-1}$, $f_{k-1}$ are as in Definition 10.1.

As $\delta \rightarrow 0$, (7) <$$\quad\left|F_{k-1}(\mathbf{y})-f_{k-1}(\mathbf{y})\right| \leq \delta\|f\| \quad\left(\mathbf{y} \in I^{k-1}\right),$$> exhibits $f_{k-1}$ as a uniform limit of a sequence of continuous functions. Thus $f_{k-1} \in \mathscr{C}\left(I^{k-1}\right)$, and the further integrations present no problem. This proves the existence of the integral (4) <$$\[
\int_{Q^{k}} f=\int_{I^{k}} f .
\]$$>. Moreover, (7) <$$\quad\left|F_{k-1}(\mathbf{y})-f_{k-1}(\mathbf{y})\right| \leq \delta\|f\| \quad\left(\mathbf{y} \in I^{k-1}\right),$$> shows that

$$
\left|\int_{I^{k}} F(\mathbf{x}) d \mathbf{x}-\int_{I^{k}} f(\mathbf{x}) d \mathbf{x}\right| \leq \delta\|f\|
$$

Note that (8) <$$
\[
\left|\int_{I^{k}} F(\mathbf{x}) d \mathbf{x}-\int_{I^{k}} f(\mathbf{x}) d \mathbf{x}\right| \leq \delta\|f\| .
\]$$> is true, regardless of the order in which the $k$ single integrations are carried out. Since $F \in \mathscr{C}\left(I^{k}\right), \int F$ is unaffected by any change in this order. Hence (8) <$$
\[
\left|\int_{I^{k}} F(\mathbf{x}) d \mathbf{x}-\int_{I^{k}} f(\mathbf{x}) d \mathbf{x}\right| \leq \delta\|f\| .
\]$$> shows that the same is true of $\int f.
$$"
6.26,"A continuous mapping $\gamma$ of an interval $[a, b]$ into $R^{k}$ is called a curve in $R^{k}$. To emphasize the parameter interval $[a, b]$, we may also say that $\gamma$ is a curve on $[a, b]$. If $\gamma$ is one-to-one, $\gamma$ is called an arc. If $\gamma(a)=\gamma(b), \gamma$ is said to be a closed curve.

It should be noted that we define a curve to be a mapping, not a point set. Of course, with each curve $\gamma$ in $R^{k}$ there is associated a subset of $R^{k}$, namely the range of $\gamma$, but different curves may have the same range.

We associate to each partition $P=\left\{x_{0}, \ldots, x_{n}\right\}$ of $[a, b]$ and to each curve $\gamma$ on $[a, b]$ the number

$$
\Lambda(P, \gamma)=\sum_{i=1}^{n}\left|\gamma\left(x_{i}\right)-\gamma\left(x_{i-1}\right)\right|
$$

The $i$ th term in this sum is the distance (in $R^{k}$ ) between the points $\gamma\left(x_{i-1}\right)$ and $\gamma\left(x_{i}\right)$. Hence $\Lambda(P, \gamma)$ is the length of a polygonal path with vertices at $\gamma\left(x_{0}\right)$, $\gamma\left(x_{1}\right), \ldots, $\gamma\left(x_{n}\right)$, in this order. As our partition becomes finer and finer, this polygon approaches the range of $\gamma$ more and more closely. This makes it seem reasonable to define the length of $\gamma$ as

$$
\Lambda(\gamma)=\sup \Lambda(P, \gamma)
$$

where the supremum is taken over all partitions of $[a, b]$.

If $\Lambda(\gamma)<\infty$, we say that $\gamma$ is rectifiable.

In certain cases, $\Lambda(\gamma)$ is given by a Riemann integral. We shall prove this for continuously differentiable curves, i.e., for curves $\gamma$ whose derivative $\gamma^{\prime}$ is continuous."
10.26,"['Affine simplexes A mapping $\\mathrm{f}$ that carries a vector space $X$ into a vector space $Y$ is said to be affine if $\\mathbf{f}-\\mathbf{f}(\\mathbf{0})$ is linear. In other words, the requirement is that\n\n$$\\mathbf{f}(\\mathbf{x})=\\mathbf{f}(\\mathbf{0})+A \\mathbf{x}$$\n\nfor some $A \\in L(X, Y)$.\n\nAn affine mapping of $R^{k}$ into $R^{n}$ is thus determined if we know $\\mathbf{f}(\\mathbf{0})$ and $\\mathbf{f}\\left(\\mathbf{e}_{i}\\right)$ for $1 \\leq i \\leq k$; as usual, $\\left\\{\\mathbf{e}_{1}, \\ldots, \\mathbf{e}_{k}\\right\\}$ is the standard basis of $R^{k}$.\n\nWe define the standard simplex $Q^{k}$ to be the set of all $\\mathbf{u} \\in R^{k}$ of the form\n\n$$\\mathbf{u}=\\sum_{i=1}^{k} \\alpha_{i} \\mathbf{e}_{i}$$\n\nsuch that $\\alpha_{i} \\geq 0$ for $i=1, \\ldots, k$ and $\\Sigma \\alpha_{i} \\leq 1$.\n\nAssume now that $\\mathbf{p}_{0}, \\mathbf{p}_{1}, \\ldots, \\mathbf{p}_{k}$ are points of $R^{n}$. The oriented affine $k$-simplex\n\n$$\\sigma=\\left[\\mathbf{p}_{0}, \\mathbf{p}_{1}, \\ldots, \\mathbf{p}_{k}\\right]$$\n\nis defined to be the $k$-surface in $R^{n}$ with parameter domain $Q^{k}$ which is given by the affine mapping\n\n$$\\sigma\\left(\\alpha_{1} \\mathbf{e}_{1}+\\cdots+\\alpha_{k} \\mathbf{e}_{k}\\right)=\\mathbf{p}_{0}+\\sum_{i=1}^{k} \\alpha_{i}\\left(\\mathbf{p}_{i}-\\mathbf{p}_{0}\\right)$$\n\nNote that $\\sigma$ is characterized by\n\n$$\\sigma(\\mathbf{0})=\\mathbf{p}_{0}, \\quad \\sigma\\left(\\mathbf{e}_{i}\\right)=\\mathbf{p}_{i} \\quad(\\text { for } 1 \\leq i \\leq k)$$\n\nand that\n\n$$\\sigma(\\mathbf{u})=\\mathbf{p}_{0}+A \\mathbf{u} \\quad\\left(\\mathbf{u} \\in Q^{k}\\right)$$\n\nwhere $A \\in L\\left(R^{k}, R^{n}\\right)$ and $A \\mathbf{e}_{i}=\\mathbf{p}_{i}-\\mathbf{p}_{0}$ for $1 \\leq i \\leq k.\n\nWe call $\\sigma$ oriented to emphasize that the ordering of the vertices $\\mathbf{p}_{0}, \\ldots, \\mathbf{p}_{k}$ is taken into account. If\n\n$$\\bar{\\sigma}=\\left[p_{i_{0}}, p_{i_{1}}, \\ldots, p_{i_{k}}\\right]$$\n\nwhere $\\left\\{i_{0}, i_{1}, \\ldots, i_{k}\\right\\}$ is a permutation of the ordered set $\\{0,1, \\ldots, k\\}$, we adopt the notation\n\n$$\\bar{\\sigma}=s\\left(i_{0}, i_{1}, \\ldots, i_{k}\\right) \\sigma$$\n\nwhere $s$ is the function defined in Definition 9.33. Thus $\\bar{\\sigma}= \\pm \\sigma$, depending on whether $s=1$ or $s=-1$. Strictly speaking, having adopted (75) <$$\[
\sigma=\left[\mathbf{p}_{0}, \mathbf{p}_{1}, \ldots, \mathbf{p}_{k}\right]
\]$$> and (76) <$$\[
\sigma\left(\alpha_{1} \mathbf{e}_{1}+\cdots+\alpha_{k} \mathbf{e}_{k}\right)=\mathbf{p}_{0}+\sum_{i=1}^{k} \alpha_{i}\left(\mathbf{p}_{i}-\mathbf{p}_{0}\right)
\]$$> as the definition of $\\sigma$, we should not write $\\bar{\\sigma}=\\sigma$ unless $i_{0}=0, \\ldots, i_{k}=k$, even if $s\\left(i_{0}, \\ldots, i_{k}\\right)=1$; what we have here is an equivalence relation, not an equality. However, for our purposes the notation is justified by Theorem 10.27.\n\nIf $\\bar{\\sigma}=\\varepsilon \\sigma$ (using the above convention) and if $\\varepsilon=1$, we say that $\\bar{\\sigma}$ and $\\sigma$ have the same orientation; if $\\varepsilon=-1, \\bar{\\sigma}$ and $\\sigma$ are said to have opposite orientations. Note that we have not defined what we mean by the ""orientation of a simplex."" What we have defined is a relation between pairs of simplexes having the same set of vertices, the relation being that of ""having the same orientation.""\n\nThere is, however, one situation where the orientation of a simplex can be defined in a natural way. This happens when $n=k$ and when the vectors $\\mathbf{p}_{i}-\\mathbf{p}_{0}(1 \\leq i \\leq k)$ are independent. In that case, the linear transformation $A$ that appears in (78) <$$
\[
\sigma(\mathbf{u})=\mathbf{p}_{0}+A \mathbf{u} \quad\left(\mathbf{u} \in Q^{k}\right)
\]$$> is invertible, and its determinant (which is the same as the Jacobian of $\\sigma$ ) is not 0 . Then $\\sigma$ is said to be positively (or negatively) oriented if $\\operatorname{det} A$ is positive (or negative). In particular, the simplex $\\left[\\mathbf{0}, \\mathbf{e}_{1}, \\ldots, \\mathbf{e}_{k}\\right]$ in $R^{k}$, given by the identity mapping, has positive orientation.\n\nSo far we have assumed that $k \\geq 1$. An oriented 0-simplex is defined to be a point with a sign attached. We write $\\sigma=+\\mathbf{p}_{0}$ or $\\sigma=-\\mathbf{p}_{0}$. If $\\sigma=\\varepsilon \\mathbf{p}_{0}$ $(\\varepsilon= \\pm 1)$ and if $f$ is a 0 -form (i.e., a real function), we define\n\n$$\\int_{\\sigma} f=\\varepsilon f\\left(p_{0}\\right)$$']"
5.16,"Definition 5.1 applies without any change to complex functions $f$ defined on $[a, b]$, and Theorems 5.2 and 5.3 , as well as their proofs, remain valid. If $f_{1}$ and $f_{2}$ are the real and imaginary parts of $f$, that is, if

$$
f(t)=f_{1}(t)+i f_{2}(t)
$$

for $a \leq t \leq b$, where $f_{1}(t)$ and $f_{2}(t)$ are real, then we clearly have

$$
f^{\prime}(x)=f_{1}^{\prime}(x)+i f_{2}^{\prime}(x)
$$

also, $f$ is differentiable at $x$ if and only if both $f_{1}$ and $f_{2}$ are differentiable at $x$.

Passing to vector-valued functions in general, i.e., to functions $\mathbf{f}$ which map $[a, b]$ into some $R^{k}$, we may still apply Definition 5.1 to define $f^{\prime}(x)$. The term $\phi(t)$ in (1) <$$\[
\phi(t)=\frac{f(t)-f(x)}{t-x} \quad(a<t<b, t \neq x)
\]$$> is now, for each $t$, a point in $R^{k}$, and the limit in (2) <$$\[
f^{\prime}(x)=\lim _{t \rightarrow x} \phi(t)
\]$$> is taken with respect to the norm of $R^{k}$. In other words, $f^{\prime}(x)$ is that point of $R^{k}$ (if there is one) for which

$$
\lim _{t \rightarrow x}\left|\frac{\mathbf{f}(t)-\mathbf{f}(x)}{t-x}-\mathbf{f}^{\prime}(x)\right|=0,
$$

and $\mathbf{f}^{\prime}$ is again a function with values in $R^{k}$.

If $f_{1}, \ldots, f_{k}$ are the components of $f$, as defined in Theorem 4.10, then

$$
\mathbf{f}^{\prime}=\left(f_{1}^{\prime}, \ldots, f_{k}^{\prime}\right)
$$

and $\mathbf{f}$ is differentiable at a point $x$ if and only if each of the functions $f_{1}, \ldots, f_{k}$ is differentiable at $x$.

Theorem 5.2 is true in this context as well, and so is Theorem 5.3(a) and (b), if $f g$ is replaced by the inner product $\mathbf{f} \cdot \mathbf{g}$ (see Definition 4.3)."
9.30,"Suppose $X$ and $Y$ are vector spaces, and $A \in L(X, Y)$, as in Definition 9.6. The null space of $A, \mathcal{N}(A)$, is the set of all $\mathbf{x} \in X$ at which $A \mathbf{x}=\mathbf{0}$. It is clear that $\mathcal{N}(A)$ is a vector space in $X$.

Likewise, the range of $A, \mathscr{R}(A)$, is a vector space in $Y$.

The rank of $A$ is defined to be the dimension of $\mathscr{R}(A)$.

For example, the invertible elements of $L\left(R^{n}\right)$ are precisely those whose rank is $n$. This follows from Theorem 9.5.

If $A \in L(X, Y)$ and $A$ has rank 0 , then $A \mathbf{x}=\mathbf{0}$ for all $x \in A$, hence. $\mathcal{N}(A)=X$. In this connection, see Exercise 25."
