Definition,Statement
10.1 (b),"For a topological space $X$ and a set $E$: A set $E$ in a topological space $X$ is said to be not connected if $E$ is the union of two nonempty sets $A$ and $B$ such that

$$
\bar{A} \cap B=\varnothing=A \cap \bar{B}
$$

If $A$ and $B$ are as above, and if $V$ and $W$ are the complements of $\bar{A}$ and $\bar{B}$, respectively, it follows that $A \subset W$ and $B \subset V$. Hence

$$
E \subset V \cup W, \quad E \cap V \neq \varnothing, \quad E \cap W \neq \varnothing, \quad E \cap V \cap W=\varnothing
$$

Conversely, if open sets $V$ and $W$ exist such that (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> holds, it is easy to see that $E$ is not connected, by taking $A=E \cap W, B=E \cap V$.

If $E$ is closed and not connected, then (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> shows that $E$ is the union of two disjoint nonempty closed sets; for if $\bar{A} \subset A \cup B$ and $\bar{A} \cap B=\varnothing$, then $\bar{A}=A$.

If $E$ is open and not connected, then (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> shows that $E$ is the union of two disjoint nonempty open sets, namely $E \cap V$ and $E \cap W$.

Each set consisting of a single point is obviously connected. If $x \in E$, the family $\Phi_{x}$ of all connected subsets of $E$ that contain $x$ is therefore not empty. The union of all members of $\Phi_{x}$ is easily seen to be connected, and to be a maximal connected subset of $E$. These sets are called the components of $E$. Any two components of $E$ are thus disjoint, and $E$ is the union of its components.

By a region we shall mean a nonempty connected open subset of the complex plane. Since each open set $\Omega$ in the plane is a union of discs, and since all discs are connected, each component of $\Omega$ is open. Every plane open set is thus a union of disjoint regions. The letter $\Omega$ will from now on denote a plane open set."
11.27,"Let $\mathscr{F}$ be a collection of complex functions on a metric space $X$ with metric $\rho$:

We say that $\mathscr{F}$ is equicontinuous if to every $\epsilon>0$ corresponds a $\delta>0$ such that $|f(x)-f(y)|<\epsilon$ for every $f \in \mathscr{F}$ and for all pairs of points $x, y$ with $\rho(x, y)<\delta$. (In particular, every $f \in \mathscr{F}$ is then uniformly continuous.)

We say that $\mathscr{F}$ is pointwise bounded if to every $x \in X$ corresponds an $M(x)<\infty$ such that $|f(x)| \leq M(x)$ for every $f \in \mathscr{F}$."
18.8,"For any $x \in A$, the spectral radius $\rho(x)$ of $x$ is the radius of the smallest closed disc with center at the origin which contains $\sigma(x)$ (sometimes this is also called the spectral norm of $x$; see Exercise 14):

$$
\rho(x)=\sup \{|\lambda|: \lambda \in \sigma(x)\} .
$$"
14.5,"For a region $\Omega$ and $\mathscr{F} \subset H(\Omega)$: We call $\mathscr{F}$ a normal family if every sequence of members of $\mathscr{F}$ contains a subsequence which converges uniformly on compact subsets of $\Omega$. The limit function is not required to belong to $\mathscr{F}$.

(Sometimes a wider definition is adopted, by merely requiring that every sequence in $\mathscr{F}$ either converges or tends to $\infty$, uniformly on compact subsets of $\Omega$. This is well adapted for dealing with meromorphic functions.)"
2.3 (a),"For a topological space $X$: A set $E \subset X$ is closed if its complement $E^{c}$ is open. (Hence $\varnothing$ and $X$ are closed, finite unions of closed sets are closed, and arbitrary intersections of closed sets are closed.)"
2.3 (b),"For a topological space $X$ and a set $E \subset X$: The closure $\bar{E}$ of a set $E$ is the smallest closed set in $X$ which contains $E$. (The following argument proves the existence of $\bar{E}$ : The collection $\Omega$ of all closed subsets of $X$ which contain $E$ is not empty, since $X \in \Omega$; let $\bar{E}$ be the intersection of all members of $\Omega$.)"
2.3 (c),"For a topological space $X$ and a set $K \subset X$: A set $K$ is compact if every open cover of $K$ contains a finite subcover. More explicitly, the requirement is that if $\{V_{\alpha}\}$ is a collection of open sets whose union contains $K$, then the union of some finite subcollection of $\{V_{\alpha}\}$ also contains $K$. In particular, if $X$ is itself compact, then $X$ is called a compact space."
2.3 (d),"For a topological space $X$ and a point $p \in X$: A neighborhood of a point $p$ is any open subset of $X$ which contains $p$. (The use of this term is not quite standardized; some use ""neighborhood of $p$ "" for any set which contains an open set containing p.)"
2.3 (e),"For a topological space $X$: $X$ is a Hausdorff space if the following is true: If $p \in X, q \in X$, and $p \neq q$, then $p$ has a neighborhood $U$ and $q$ has a neighborhood $V$ such that $U \cap V=\varnothing$."
2.3 (f),"For a topological space $X$: $X$ is locally compact if every point of $X$ has a neighborhood whose closure is compact. Obviously, every compact space is locally compact. We recall the Heine-Borel theorem: The compact subsets of a euclidean space $R^{n}$ are precisely those that are closed and bounded ([26], $\dagger$ Theorem 2.41 <> ). From this it follows easily that $R^{n}$ is a locally compact Hausdorff space. Also, every metric space is a Hausdorff space."
14.10,"$
\mathscr{S}$ is the class of all $f \in H(U)$ which are one-to-one in $U$ and which satisfy

$$
f(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=0, \quad f^{\prime}(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=1
$$

Thus every $f \in \mathscr{S}$ has a power series expansion

$$
f(z)=z+\sum_{n=2}^{\infty} a_{n} z^{n} \quad(z \in U)
$$

The class $\mathscr{S}$ is not closed under addition or multiplication, but has many other interesting properties. We shall develop only a few of these in this section. Theorem 14.15 <>  will be used in the proof of Mergelyan's theorem, in Chap. 20."
15.14,"The ideal $\left[g_{1}, \ldots, g_{n}\right]$ generated by the functions $g_{1}, \ldots, g_{n} \in H(\Omega)$ is the set of all functions of the form $\Sigma f_{i} g_{i}$, where $f_{i} \in H(\Omega)$ for $i=1, \ldots, n$ A principal ideal is one that is generated by a single function. Note that $[1]=H(\Omega)$. If $f \in H(\Omega), \alpha \in \Omega$, and $f$ is not identically 0 in a neighborhood of $\alpha$, the multiplicity of the zero of $f$ at $\alpha$ will be denoted by $m(f ; \alpha)$. If $f(\alpha) \neq 0$, then $m(f ; \alpha)=0$, as in Theorem 15.6 <> ."
14.1,"Each complex number $z \neq 0$ determines a direction from the origin, defined by the point

$$
A[z]=\frac{z}{|z|}
$$
on the unit circle.

Suppose $f$ is a mapping of a region $\Omega$ into the plane, $z_{0} \in \Omega$, and $z_{0}$ has a deleted neighborhood $D^{\prime}\left(z_{0} ; r\right) \subset \Omega$ in which $f(z) \neq f\left(z_{0}\right)$. We say that $f$ preserves angles at $z_{0}$ if

$$
\lim _{r \rightarrow 0} e^{-i \theta} A\left[f\left(z_{0}+r e^{i \theta}\right)-f\left(z_{0}\right)\right] \quad(r>0)
$$

exists and is independent of $\theta$.

In less precise language, the requirement is that for any two rays $L^{\prime}$ and $L^{\prime \prime}$, starting at $z_{0}$, the angle which their images $f\left(L^{\prime}\right)$ and $f\left(L^{\prime \prime}\right)$ make at $f\left(z_{0}\right)$ is the same as that made by $L^{\prime}$ and $L^{\prime \prime}$, in size as well as in orientation.

The property of preserving angles at each point of a region is characteristic of holomorphic functions whose derivative has no zero in that region. This is a corollary of Theorem 14.2 <>  and is the reason for calling holomorphic functions with nonvanishing derivative conformal mappings."
15.2,"Suppose $\left\{u_{n}\right\}$ is a sequence of complex numbers,

$$
p_{n}=(1+u_{1})(1+u_{2}) \cdots(1+u_{n})
$$

and $p=\lim _{n \rightarrow \infty} p_{n}$ exists. Then we write

$$
p=\prod_{n=1}^{\infty}(1+u_{n})
$$

The $p_{n}$ are the partial products of the infinite product (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>. We shall say that the infinite product (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> converges if the sequence $\left\{p_{n}\right\}$ converges."
15.3,"If $u_{1}, \ldots, u_{N}$ are complex numbers, and if

$$
p_{N}=\prod_{n=1}^{N}(1+u_{n}), \quad p_{N}^{*}=\prod_{n=1}^{N}(1+\left|u_{n}\right|)
$$

then

$$
p_{N}^{*} \leq \exp \left(\left|u_{1}\right|+\cdots+\left|u_{N}\right|\right)
$$

and

$$
\left|p_{N}-1\right| \leq p_{N}^{*}-1
$$"
14.16,"A boundary point $\beta$ of a simply connected plane region $\Omega$ will be called a simple boundary point of $\Omega$ if $\beta$ has the following property: To every sequence $\left\{\alpha_{n}\right\}$ in $\Omega$ such that $\alpha_{n} \rightarrow \beta$ as $n \rightarrow \infty$ there corresponds a curve $\gamma$, with parameter interval $[0,1]$, and a sequence $\left\{t_{n}\right\}, 0<t_{1}<t_{2}<$ $\cdots, t_{n} \rightarrow 1$, such that $\gamma\left(t_{n}\right)=\alpha_{n}(n=1,2,3, \ldots)$ and $\gamma(t) \in \Omega$ for $0 \leq t<1$."
15.7,"For $p=0,1,2, \ldots$:

$$
E_{p}(z)=(1-z) \exp \left\{z+\frac{z^{2}}{2}+\cdots+\frac{z^{p}}{p}\right\}
$$

These functions, introduced by Weierstrass, are sometimes called elementary factors. Their only zero is at $z=1$. Their utility depends on the fact that they are close to 1 if $|z|<1$ and $p$ is large, although $E_{p}(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>=0$."
16.1,"For an open circular disc $D$, a function $f \in H(D)$, and a boundary point $\beta$ of $D$: We call $\beta$ a regular point of $f$ if there exists a disc $D_{1}$ with center at $\beta$ and a function $g \in H\left(D_{1}\right)$ such that $g(z)=f(z)$ for all $z \in D \cap D_{1}$. Any boundary point of $D$ which is not a regular point of $f$ is called a singular point of $f$.

It is clear from the definition that the set of all regular points of $f$ is an open (possibly empty) subset of the boundary of $D."
16.12,"For a topological space $X$, points $\alpha$ and $\beta$ in $X$, and a continuous mapping $\varphi$ of the unit square $I^{2}=I \times I$ (where $I=[0,1]$ ) into $X$ such that $\varphi(0, t)=\alpha$ and $\varphi(1, t)=\beta$ for all $t \in I$: The curves $\gamma_{t}$ defined by

$$
\gamma_{t}(s)=\varphi(s, t) \quad(s \in I, t \in I)
$$

are then said to form a one-parameter family $\left\{\gamma_{t}\right\}$ of curves from $\alpha$ to $\beta$ in $X$."
1.18 (a),"A positive measure is a function $\mu$, defined on a $\sigma$-algebra $\mathfrak{M}$, whose range is in $[0, \infty]$ and which is countably additive. This means that if $\left\{A_{i}\right\}$ is a disjoint countable collection of members of $\mathfrak{M}$, then

$$
\mu\left(\bigcup_{i=1}^{\infty} A_{i}\right)=\sum_{i=1}^{\infty} \mu\left(A_{i}\right)
$$

To avoid trivialities, we shall also assume that $\mu(A)<\infty$ for at least one $A \in \mathfrak{M}$."
1.18 (b),A measure space is a measurable space which has a positive measure defined on the $\sigma$-algebra of its measurable sets.
1.18 (c),A complex measure is a complex-valued countably additive function defined on a $\sigma$-algebra.
17.14,"An inner function is a function $M \in H^{\infty}$ for which $\left|M^{*}\right|=1$ a.e. on $T$. (As usual, $M^{*}$ denotes the radial limits of $M$.)"
17.14 (outer function),"If $\varphi$ is a positive measurable function on $T$ such that $\log \varphi \in L^{1}(T)$, and if

$$
Q(z)=c \exp \left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi} \frac{e^{i t}+z}{e^{i t}-z} \log \varphi\left(e^{i t}\right) d t\right\}
$$

for $z \in U$, then $Q$ is called an outer function. Here $c$ is a constant, $|c|=1$."
16.3,"If $f \in H(U)$ and if every point of $T$ is a singular point of $f$, then $T$ is said to be the natural boundary of $f$. In this case, $f$ has no holomorphic extension to any region which properly contains $U$."
1.15,"The above functions $f^{+}$and $f^{-}$are called the positive and negative parts of $f$. We have $|f|=f^{+}+f^{-}$and $f=f^{+}-f^{-}$, a standard representation of $f$ as a difference of two nonnegative functions, with a certain minimality property:"
19.8,"A class $C\left\{M_{n}\right\}$ is said to be quasi-analytic if the conditions

$$
f \in C\left\{M_{n}\right\}, \quad\left(D^{n} f\right)(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>=0 \quad(\text { for } n=0,1,2, \ldots)
$$

imply that $f(x)=0$ for all $x \in R^{1}$.

The content of the definition is of course unchanged if $\left(D^{n} f\right)(0) <$$nded entire \mathscr{B}(H)-valued function. By Liouville's theorem 3.32, =T, for every \lambda \in \mathscr{C}. Hence  becomes$$>$ is replaced by $\left(D^{n} f\right)\left(x_{0}\right)$, where $x_{0}$ is any given point.

The quasi-analytic classes are thus the ones which have the uniqueness property we mentioned in Sec. 19.6. One of these classes is very intimately related to holomorphic functions:"
16.9 (a),"A function element is an ordered pair $(f, D)$, where $D$ is an open circular disc and $f \in H(D)$."
16.9 (b),"Two function elements $\left(f_{0}, D_{0}\right)$ and $\left(f_{1}, D_{1}\right)$ are direct continuations of each other if two conditions hold: $D_{0} \cap D_{1} \neq \varnothing$, and $f_{0}(z)=f_{1}(z)$ for all $z \in D_{0} \cap D_{1}$. In this case we write

$$
\left(f_{0}, D_{0}\right) \sim\left(f_{1}, D_{1}\right)
$$"
16.9 (c),"A chain is a finite sequence $\mathscr{C}$ of discs, say $\mathscr{C}=\left\{D_{0}, D_{1}, \ldots, D_{n}\right\}$, such that $D_{i-1} \cap D_{i} \neq \varnothing$ for $i=1, \ldots, n$. If $\left(f_{0}, D_{0}\right)$ is given and if there exist elements $\left(f_{i}, D_{i}\right)$ such that $\left(f_{i-1}, D_{i-1}\right) \sim\left(f_{i}, D_{i}\right)$ for $i=1, \ldots, n$, then $\left(f_{n}, D_{n}\right)$ is said to be the analytic continuation of $\left(f_{0}, D_{0}\right)$ along $\mathscr{C$.}"
16.9 (d),"If $\left(f_{n}, D_{n}\right)$ is the continuation of $\left(f_{0}, D_{0}\right)$ along $\mathscr{C}$, and if $D_{n} \cap D_{0} \neq \varnothing$, it need not be true that $\left(f_{0}, D_{0}\right) \sim\left(f_{n}, D_{n}\right)$; in other words, the relation $\sim$ is not transitive. The simplest example of this is furnished by the square-root function: Let $D_{0}, D_{1}$, and $D_{2}$ be discs of radius 1 , with centers $1, \omega$, and $\omega^{2}$, where $\omega^{3}=1$, choose $f_{j} \in H\left(D_{j}\right)$ so that $f_{j}^{2}(z)=z$ and so that $\left(f_{0}, D_{0}\right) \sim$ $\left(f_{1}, D_{1}\right),\left(f_{1}, D_{1}\right) \sim\left(f_{2}, D_{2}\right)$. In $D_{0} \cap D_{2}$ we have $f_{2}=-f_{0} \neq f_{0}$."
1.23,"If $s: X \rightarrow[0, \infty)$ is a measurable simple function, of the form

$$
s=\sum_{i=1}^{n} \alpha_{i} \chi_{A_{i}}
$$

where $\alpha_{1}, \ldots, \alpha_{n}$ are the distinct values of $s$ (compare Definition 1.16 <> ), and if $E \in \mathfrak{M}$, we define

$$
\int_{E} s d \mu=\sum_{i=1}^{n} \alpha_{i} \mu\left(A_{i} \cap E\right)
$$

The convention $0 \cdot \infty=0$ is used here; it may happen that $\alpha_{i}=0$ for some $i$ and that $\mu\left(A_{i} \cap E\right)=\infty$.

If $f: X \rightarrow[0, \infty]$ is measurable, and $E \in \mathfrak{M}$, we define

$$
\int_{E} f d \mu=\sup \int_{E} s d \mu
$$

the supremum being taken over all simple measurable functions $s$ such that $0 \leq s \leq f$.

The left member of (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> is called the Lebesgue integral of $f$ over $E$, with respect to the measure $\mu$. It is a number in $[0, \infty]$.

Observe that we apparently have two definitions for $\int_{E} f d \mu$ if $f$ is simple, namely, (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> and (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$>. However, these assign the same value to the integral, since $f$ is, in this case, the largest of the functions $s$ which occur on the right of (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$>."
4.1,"['A complex vector space $H$ is called an inner product space (or unitary space) if to each ordered pair of vectors $x$ and $y \\in H$ there is associated a complex number $(x, y)$, the so-called ""inner product"" (or ""scalar product"") of $x$ and $y$, such that the following rules hold:\n\n(a) $(y, x)=(\\overline{x, y)}$. (The bar denotes complex conjugation.)\n\n(b) $(x+y, z)=(x, z)+(y, z)$ if $x, y$, and $z \\in H$.\n\n(c) $(\\alpha x, y)=\\alpha(x, y)$ if $x$ and $y \\in H$ and $\\alpha$ is a scalar.\n\n(d) $(x, x) \\geq 0$ for all $x \\in H$.\n\n(e) $(x, x)=0$ only if $x=0$.\n\nLet us list some immediate consequences of these axioms:\n\n(c) implies that $(0, y)=0$ for all $y \\in H$.\n\n(b) and (c) may be combined into the statement: For every $y \\in H$, the mapping $x \\rightarrow(x, y)$ is a linear functional on $H$.\n\n$(a)$ and $(c)$ show that $(x, \\alpha y)=\\bar{\\alpha}(x, y)$.\n\n$(a)$ and $(b)$ imply the second distributive law:\n\n$$\n(z, x+y)=(z, x)+(z, y)\n$$\n\nBy $(d)$, we may define $\\|x\\|$, the norm of the vector $x \\in H$, to be the nonnegative square root of $(x, x)$. Thus\n\n$$\n\\|x\\|^{2}=(x, x) .\n$$']"
17.1,"['A function $u$ defined in an open set $\\Omega$ in the plane is said to be subharmonic if it has the following four properties.\n\n(a) $-\\infty \\leq u(z)<\\infty$ for all $z \\in \\Omega$.\n\n(b) $u$ is upper semicontinuous in $\\Omega$.\n\n(c) Whenever $\\bar{D}(a ; r) \\subset \\Omega$, then\n\n$$\nu(a) \\leq \\frac{1}{2 \\pi} \\int_{-\\pi}^{\\pi} u\\left(a+r e^{i \\theta}\\right) d \\theta\n$$\n\n(d) None of the integrals in (c) is $-\\infty$.\n\nNote that the integrals in $(c)$ always exist and are not $+\\infty$, since $(a)$ and $(b)$ imply that $u$ is bounded above on every compact $K \\subset \\Omega$. [Proof: If $K_{n}$ is the set of all $z \\in K$ at which $u(z) \\geq n$, then $K \\supset K_{1} \\supset K_{2} \\cdots$, so either $K_{n}=\\varnothing$ for some $n$, or $\\cap K_{n} \\neq \\varnothing$, in which case $u(z)=\\infty$ for some $z \\in K$.] Hence $(d)$ says that the integrands in $(c)$ belong to $L^{1}(T)$.']"
18.1,"A complex algebra is a vector space $A$ over the complex field in which an associative and distributive multiplication is defined, i.e.,

$$
x(y z)=(x y) z, \quad(x+y) z=x z+y z, \quad x(y+z)=x y+x z
$$

for $x, y$, and $z \in A$, and which is related to scalar multiplication so that

$$
\alpha(x y)=x(\alpha y)=(\alpha x) y
$$

for $x$ and $y \in A, \alpha$ a scalar.

If there is a norm defined in $A$ which makes $A$ into a normed linear space and which satisfies the multiplicative inequality

$$
\|x y\| \leq\|x\|\|y\| \quad(x \text { and } y \in A)
$$

then $\boldsymbol{A}$ is a normed complex algebra. If, in addition, $\boldsymbol{A}$ is a complete metric space relative to this norm, i.e., if $\boldsymbol{A}$ is a Banach space, then we call $\boldsymbol{A}$ a Banach algebra.

The inequality (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> makes multiplication a continuous operation. This means that if $x_{n} \rightarrow x$ and $y_{n} \rightarrow y$, then $x_{n} y_{n} \rightarrow x y$, which follows from (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$> and the identity

$$
x_{n} y_{n}-x y=\left(x_{n}-x\right) y_{n}+x\left(y_{n}-y\right) .
$$

Note that we have not required that $A$ be commutative, i.e., that $x y=y x$ for all $x$ and $y \in A$, and we shall not do so except when explicitly stated.

However, we shall assume that $A$ has a unit. This is an element $e$ such that

$$
x e=e x=x \quad(x \in A) .
$$

It is easily seen that there is at most one such $e\left(e^{\prime}=e^{\prime} e=e\right)$ and that $\|e\| \geq 1$, by (3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$>. We shall make the additional assumption that

$$
\|e\|=1
$$

An element $x \in A$ will be called invertible if $x$ has an inverse in $A$, i.e., if there exists an element $x^{-1} \in A$ such that

$$
x^{-1} x=x x^{-1}=e
$$

Again, it is easily seen that no $x \in A$ has more than one inverse.

If $x$ and $y$ are invertible in $A$, so are $x^{-1}$ and $x y$, since $(x y)^{-1}=y^{-1} x^{-1}$. The invertible elements therefore form a group with respect to multiplication.

The spectrum of an element $x \in A$ is the set of all complex numbers $\lambda$ such that $x-\lambda e$ is not invertible. We shall denote the spectrum of $x$ by $\sigma(x)$."
18.2,"The theory of Banach algebras contains a great deal of interplay between algebraic properties on the one hand and topological ones on the other. We already saw an example of this in Theorem 9.21 <> , and shall see others. There are also close relations between Banach algebras and holomorphic functions: The easiest proof of the fundamental fact that $\sigma(x)$ is never empty depends on Liouville's theorem concerning entire functions, and the spectral radius formula follows naturally from theorems about power series. This is one reason for restricting our attention to complex Banach algebras. The theory of real Banach algebras (we omit the definition, which should be obvious) is not so satisfactory.

## The Invertible Elements

In this section, $A$ will be a complex Banach algebra with unit $e$, and $G$ will be the set of all invertible elements of $A$."
7.22,"Suppose $V$ is an open set in $R^{k}, T$ maps $V$ into $R^{k}$, and $x \in V$. If there exists a linear operator $A$ on $R^{k}$ (i.e., a linear mapping of $R^{k}$ into $R^{k}$, as in Definition 2.1 <> ) such that

$$
\lim _{h \rightarrow 0} \frac{|T(x+h)-T(x)-A h|}{|h|}=0
$$

(where, of course, $h \in R^{k}$ ), then we say that $T$ is differentiable at $x$, and define

$$
T^{\prime}(x)=A \text {. }
$$

The linear operator $T^{\prime}(x)$ is called the derivative of $T$ at $x$. (One shows easily that there is at most one linear $\boldsymbol{A}$ that satisfies the preceding requirements; thus it is legitimate to talk about the derivative of $T$.) The term differential is also often used for $T^{\prime}(x)$.

The point of (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> is of course that the difference $T(x+h)-T(x)$ is approximated by $T^{\prime}(x) h$, a linear function of $h$.

Since every real number $\alpha$ gives rise to a linear operator on $R^{1}$ (mapping $h$ to $\alpha h$ ), our definition of $T^{\prime}(x)$ coincides with the usual one when $k=1$.

When $A: R^{k} \rightarrow R^{k}$ is linear, Theorem $2.20(e)$ shows that there is a number $\Delta(A)$ such that

$$
m(A(E))=\Delta(A) m(E)
$$

for all measurable sets $E \subset R^{k}$. Since

$$
A^{\prime}(x)=A \quad\left(x \in R^{k}\right)
$$

and since every differentiable transformation $T$ can be locally approximated by a constant plus a linear transformation, one may conjecture that

$$
\frac{m(T(E))}{m(E)} \sim \Delta\left(T^{\prime}(x)\right)
$$

for suitable sets $E$ that are close to $x$. This will be proved in Theorem 7.24 <> , and furnishes the motivation for Theorem 7.26 <> .

Recall that $\Delta(A)=|\operatorname{det} A|$ was proved in Sec. 2.23. When $T$ is differentiable at $x$, the determinant of $T^{\prime}(x)$ is called the Jacobian of $T$ at $x$, and is denoted by $J_{T}(x)$. Thus

$$
\Delta\left(T^{\prime}(x)\right)=\left|J_{T}(x)\right|
$$"
10.41,"A function $f$ is said to be meromorphic in an open set $\Omega$ if there is a set $A \subset \Omega$ such that

(a) $A$ has no limit point in $\Omega$,

(b) $f \in H(\Omega-A)$,

(c) $f$ has a pole at each point of $A$.

Note that the possibility $A=\varnothing$ is not excluded. Thus every $f \in H(\Omega)$ is meromorphic in $\Omega$.

Note also that $(a)$ implies that no compact subset of $\Omega$ contains infinitely many points of $A$, and that $A$ is therefore at most countable.

If $f$ and $A$ are as above, if $a \in A$, and if

$$
Q(z)=\sum_{k=1}^{m} c_{k}(z-a)^{-k}
$$

is the principal part of $f$ at $a$, as defined in Theorem 10.21 <>  (i.e., if $f-Q$ has a removable singularity at $a$ ), then the number $c_{1}$ is called the residue of $f$ at $a$ :

$$
c_{1}=\operatorname{Res}(f ; a) .
$$

If $\Gamma$ is a cycle and $a \notin \Gamma^{*},(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$>$ implies

$$
\frac{1}{2 \pi i} \int_{\Gamma} Q(z) d z=c_{1} \operatorname{Ind}_{\Gamma}(a)=\operatorname{Res}(Q ; a) \operatorname{Ind}_{\Gamma}(a)
$$"
4.7,"A subset $M$ of a vector space $V$ is called a subspace of $V$ if $M$ is itself a vector space, relative to the addition and scalar multiplication which are defined in $V$. A necessary and sufficient condition for a set $M \subset V$ to be a subspace is that $x+y \in M$ and $\alpha x \in M$ whenever $x$ and $y \in M$ and $\alpha$ is a scalar.

In the vector space context, the word ""subspace"" will always have this meaning. Sometimes, for emphasis, we may use the term ""linear subspace"" in place of subspace.

A closed subspace of $H$ is a subspace that is a closed set relative to the topology induced by the metric of $H$.

Note that if $M$ is a subspace of $H$, so is its closure $\bar{M}$. To see this, pick $x$ and $y$ in $\bar{M}$ and let $\alpha$ be a scalar. There are sequences $\left\{x_{n}\right\}$ and $\left\{y_{n}\right\}$ in $M$ that converge to $x$ and $y$, respectively. It is then easy to verify that $x_{n}+y_{n}$ and $\alpha x_{n}$ converge to $x+y$ and $\alpha x$, respectively. Thus $x+y \in \bar{M}$ and $\alpha x \in \bar{M}$."
4.8,"A set $E$ in a vector space $V$ is said to be convex if it has the following geometric property: Whenever $x \in E, y \in E$, and $0<t<1$, the point

$$
z_{t}=(1-t) x+t y
$$

also lies in $E$. As $t$ runs from 0 to 1 , one may visualize $z_{t}$ as describing a straight line segment in $V$, from $x$ to $y$. Convexity requires that $E$ contain the segments between any two of its points.

It is clear that every subspace of $V$ is convex.

Also, if $E$ is convex, so is each of its translates

$$
E+x=\{y+x: y \in E\} .
$$"
4.9,"If $(x, y)=0$ for some $x$ and $y \in H$, we say that $x$ is orthogonal to $y$, and sometimes write $x \perp y$. Since $(x, y)=0$ implies $(y, x)=0$, the relation $\perp$ is symmetric.

Let $x^{\perp}$ denote the set of all $y \in H$ which are orthogonal to $x$; and if $M$ is a subspace of $H$, let $M^{\perp}$ be the set of all $y \in H$ which are orthogonal to every $x \in M$.

Note that $x^{\perp}$ is a subspace of $H$, since $x \perp y$ and $x \perp y^{\prime}$ implies $x \perp\left(y+y^{\prime}\right)$ and $x \perp \alpha y$. Also, $x^{\perp}$ is precisely the set of points where the continuous function $y \rightarrow(x, y)$ is 0 . Hence $x^{\perp}$ is a closed subspace of $H$. Since

$$
M^{\perp}=\bigcap_{x \in M} x^{\perp}
$$

$M^{\perp}$ is an intersection of closed subspaces, and it follows that $M^{\perp}$ is a closed subspace of $H$."
