Type,Formula#,Type#,latex
6.1,1,Theorem,"$\lambda=\lambda_{a}+\lambda_{s}, \quad \lambda_{a} \ll \mu, \quad \lambda_{s} \perp \mu$."
6.1,3,Theorem,"$\lambda_{a}^{\prime}-\lambda_{a}=\lambda_{s}-\lambda_{s}^{\prime}$,"
6.1,2,Theorem,$\lambda_{a}(E)=\int_{E} h d \mu$
6.1,9,Theorem,"$A=\{x: 0 \leq g(x)<1\}, \quad B=\{x: g(x)=1\}$"
6.1,8,Theorem,$\int_{X}(1-g) f d \lambda=\int_{X} f g w d \mu$.
6.11,1,Theorem,"$A_{n}=\bigcup_{i=n}^{\infty} E_{i}, \quad A=\bigcap_{n=1}^{\infty} A_{n}$."
6.12,1,Theorem,$d \mu=h d|\mu|$.
6.13,1,Theorem,$\lambda(E)=\int_{E} g d \mu \quad(E \in \mathfrak{M})$.
6.13,3,Theorem,"$\frac{1}{2}(1+h)=\left\{\begin{array}{ll}h & \text { on } A, \\ 0 & \text { on } B,\end{array}\right.$"
6.13,2,Theorem,$|\lambda|(E)=\int_{E}|g| d \mu \quad(E \in \mathfrak{M})$
6.16,5,Theorem,$\Phi\left(\chi_{E}\right)=\int_{E} g d \mu=\int_{X} \chi_{E} g d \mu$
6.16,10,Theorem,$\Psi(F)=\int_{X} F G d \tilde{\mu} \quad\left(F \in L^{P}(\tilde{\mu})\right)$
6.16,11,Theorem,$\int_{X}|g|^{q} d \mu=\int_{X}|G|^{q} d \tilde{\mu}=\|\Psi\|^{q}=\|\Phi\|^{q}$
6.16,4,Theorem,$\left\|\chi_{E}-\chi_{A_{k}}\right\|_{p}=\left[\mu\left(E-A_{k}\right)\right]^{1 / p} \rightarrow 0 \quad(k \rightarrow \infty)$
6.16,6,Theorem,$\Phi(f)=\int_{X} f g d \mu$
6.16,12,Theorem,$\Phi(f)=\Psi\left(w^{-1 / p} f\right)=\int_{X} w^{-1 / p} f G d \tilde{\mu}=\int_{X} f g d \mu$
6.16,7,Theorem,"$\int_{X} \chi_{E_{n}}|g|^{q} d \mu \leq\|\Phi\|^{q} \quad(n=1,2,3, \ldots)$"
6.16,3,Theorem,$\|\Phi\| \leq\|g\|_{q}$.
6.16,2,Theorem,$\|\Phi\|=\|g\|_{q}$.
6.16,1,Theorem,$\Phi(f)=\int_{X} f g d \mu \quad\left(f \in L^{p}(\mu)\right)$
6.16,9,Theorem,$\Psi(F)=\Phi\left(w^{1 / p} F\right)$
6.16,8,Theorem,$F \rightarrow w^{1 / p} F$
6.17,4,Remark,$f \rightarrow \int_{X} f d \mu$
6.17,1,Remark,$\int f d \mu=\int f h d|\mu|$
6.17,3,Remark,"$\int_{X} f d(\mu+\lambda)=\int_{X} f d \mu+\int_{X} f d \lambda$,"
6.17,2,Remark,$\int_{X} \chi_{E} d(\mu+\lambda)=(\mu+\lambda)(E)=\mu(E)+\lambda(E)=\int_{X} \chi_{E} d \mu+\int_{X} \chi_{E} d \lambda$
6.19,7,Theorem,"$\int_{X}|g| d \lambda \geq \sup \left\{|\Phi(f)|: f \in C_{0}(X),\|f\| \leq 1\right\}=1$."
6.19,6,Theorem,$\Phi(f)=\int_{X} f g d \lambda \quad\left(f \in C_{c}(X)\right)$
6.19,4,Theorem,$|\Phi(f)| \leq \Lambda(|f|) \leq\|f\| \quad\left(f \in C_{c}(X)\right)$
6.19,14,Theorem,$\Lambda(u+i v)=\Lambda u+i \Lambda v$
6.19,5,Theorem,$|\Phi(f)| \leq \Lambda(|f|)=\int_{X}|f| d \lambda=\|f\|_{1} \quad\left(f \in C_{c}(X)\right)$.
6.19,1,Theorem,$\Phi f=\int_{X} f d \mu$
6.19,11,Theorem,"$\Lambda f \leq\left|\Phi\left(h_{1}\right)\right|+\epsilon, \quad \Lambda g \leq\left|\Phi\left(h_{2}\right)\right|+\epsilon$"
6.19,10,Theorem,$\Lambda(f+g)=\Lambda f+\Lambda g \quad\left(f\right.$ and $\left.g \in C_{c}^{+}(X)\right)$
6.19,2,Theorem,$\|\Phi\|=|\mu|(X)$.
6.19,12,Theorem,"$h_{1}(x)=\frac{f(x)+g(x)}{f(x)}, \quad h_{2}(x)=\frac{}{f(x)+g(x)} \quad(x \in V)$"
6.19,13,Theorem,"$\Lambda f=\Lambda f^{+}-\Lambda f^{-} \quad\left(f \in C_{c}(X), f\right.$ real $)$"
6.19,3,Theorem,$|\mu|(X)=\int_{X}\left(\bar{h}-f_{n}\right) h d|\mu| \leq \int_{X}\left|\bar{h}-f_{n}\right| d|\mu|$
6.19,8,Theorem,"$|\mu|(X)=\lambda(X)=1=\|\Phi\|$,"
6.19,9,Theorem,"$\Lambda f=\sup \left\{|\Phi(h)|: h \in C_{c}(X),|h| \leq f\right\}$"
6.2,4,Theorem,$=\sum_{i} \sum_{j}\left|\mu\left(A_{j} \cap E_{i}\right)\right| \leq \sum_{i}|\mu|\left(E_{i}\right)$.
6.2,5,Theorem,$|\mu|(E) \leq \sum_{i}|\mu|\left(E_{i}\right)$.
6.2,1,Theorem,"$\sum_{j}\left|\mu\left(A_{i j}\right)\right|>t_{i} \quad(i=1,2,3, \ldots)$"
6.2,2,Theorem,"$\sum_{i} t_{i} \leq \sum_{i, j}\left|\mu\left(A_{i j}\right)\right| \leq|\mu|(E)$."
6.2,3,Theorem,$\sum_{i}|\mu|\left(E_{i}\right) \leq|\mu|(E)$.
6.7,2,Definition,$\lambda_{1} \perp \lambda_{2}$.
6.7,1,Definition,$\lambda \ll \mu$
7.1,2,Theorem,$\left|\frac{\mu(I)}{m(I)}-A\right|<\epsilon$
7.1,1,Theorem,"$f(x)=\mu((-\infty, x)) \quad\left(x \in R^{1}\right)$."
7.1,1,Theorem,$f(x)=\lim _{i \rightarrow \infty} \frac{1}{m\left(E_{i}(x)\right)} \int_{E_{i}(x)} f d m$
7.13,4,Theorem,$(\bar{D} \mu)(x)=\left(\bar{D} \mu_{2}\right)(x) \leq\left(M \mu_{2}\right)(x)$
7.13,5,Theorem,$\{\bar{D} \mu>\lambda\} \subset K \cup\left\{M \mu_{2}>\lambda\right\}$
7.13,6,Theorem,$m\{\bar{D} \mu>\lambda\} \leq 3^{k} \lambda^{-1}\left\|\mu_{2}\right\|<3^{k} \lambda^{-1} \epsilon$.
7.13,2,Theorem,"$(D \mu)(x)=0 \quad$ a.e. $[m]$,"
7.13,3,Theorem,$(\bar{D} \mu)(x)=\lim _{n \rightarrow \infty}\left[\sup _{0<r<1 / n}\left(Q_{r} \mu\right)(x)\right] \quad\left(x \in R^{k}\right)$
7.13,1,Theorem,$\lim _{i \rightarrow \infty} \frac{\mu\left(E_{i}(x)\right)}{m\left(E_{i}(x)\right)}=0 \quad$ a.e. $[m]$.
7.15,6,Theorem,$f_{n+1}(x)=f_{n}(x) \quad\left(x \notin E_{n}\right)$
7.15,7,Theorem,$\left|f_{n}(x)-f_{n+1}(x)\right| \leq \int_{I}\left|g_{n}-g_{n+1}\right|<2^{-n+1} \quad\left(x \in E_{n}\right)$
7.15,5,Theorem,$\int_{I} g_{n}(t) d t=\int_{I} g_{n+1}(t) d t=2^{-n}$
7.15,4,Theorem,"$g_{n}=\delta_{n}^{-1} \chi_{E_{n}} \quad$ and $\quad f_{n}(x)=\int_{0}^{x} g_{n}(t) d t \quad(n=0,1,2, \ldots)$"
7.15,0,Theorem,"(a) Put $f(x)=x^{2} \sin \left(x^{-2}\right)$ if $x \neq 0, f=0$. Then $f$ is differentiable at every"
7.15,1,Theorem,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(a \leq x \leq b)$.
7.15,3,Theorem,"$\mu\left(W_{j, N}\right)<3^{k} N / j$"
7.15,2,Theorem,"$\mu\left(B\left(x, r_{i}\right)\right)<N m\left(B\left(x, r_{i}\right)\right)$."
7.17,2,Definition,$\sum_{i=1}^{n}\left(\beta_{i}-\alpha_{i}\right)<\delta$
7.17,1,Definition,$\sum_{i=1}^{n}\left|f\left(\beta_{i}\right)-f\left(\alpha_{i}\right)\right|<\epsilon$
7.18,4,Theorem,"$\mu(E)=m(g(E)) \quad(E \subset I, E \in \mathfrak{M})$"
7.18,6,Theorem,$f(x)-f(a)=\int_{a}^{x}[h(t)-1] d t \quad(\alpha \leq x \leq b)$.
7.18,3,Theorem,$g(x)=x+f(x) \quad(a \leq x \leq b)$.
7.18,2,Theorem,$\sum_{i}\left(f\left(\beta_{i}\right)-f\left(\alpha_{i}\right)\right) \leq \epsilon$
7.18,1,Theorem,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(\alpha \leq x \leq b)$
7.19,3,Theorem,$F(y) \geq|f(y)-f(x)|+\sum_{i=1}^{N}\left|f\left(t_{i}\right)-f\left(t_{i-1}\right)\right|$
7.19,2,Theorem,$a=t_{0}<t_{1}<\cdots<t_{N}=x$
7.19,5,Theorem,$F(\beta)-F(\alpha)=\sup \sum_{1}^{n}\left|f\left(t_{i}\right)-f\left(t_{i-1}\right)\right|$
7.19,4,Theorem,$F(y) \geq f(y)-f(x)+F(x) \quad$ and $\quad F(y) \geq f(x)-f(y)+F(x)$
7.19,6,Theorem,$\sum_{j}\left(F\left(\beta_{j}\right)-F\left(\alpha_{j}\right)\right) \leq \epsilon$
7.2,1,Theorem,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(a \leq x \leq b)$
7.2,3,Theorem,$f=f_{1}-f_{2}$
7.2,2,Theorem,"$f_{1}=\frac{1}{2}(F+f), \quad f_{2}=\frac{1}{2}(F-f)$,"
7.2,5,Definition,"$\mu(B(x, r))=\operatorname{tm}(B(x, r))$"
7.2,4,Definition,$(M \mu)(x)=\sup _{0<r<\infty}\left(Q_{r} \mu\right)(x)$
7.2,6,Definition,$(r+\delta)^{k}<r^{k} t / \lambda$
7.2,3,Definition,$(D \mu)(x)=\lim _{r \rightarrow 0}\left(Q_{r} \mu\right)(x)$
7.2,1,Definition,"$B(x, r)=\left\{y \in R^{k}:|y-x|<r\right\}$"
7.21,6,Theorem,$f(b)-f(a) \leq \int_{a}^{b} f^{\prime}(t) d t$
7.21,5,Theorem,$f(b)-f(a) \leq \int_{a}^{b} g(t) d t<\int_{a}^{b} f^{\prime}(t) d t+\epsilon$
7.21,4,Theorem,$g(t)>f^{\prime}(x)$ and $\frac{f(t)-f(x)}{t-x}<f^{\prime}(x)+\eta$
7.21,1,Theorem,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(a \leq x \leq b)$.
7.21,3,Theorem,$F_{\eta}(x)=\int_{a}^{x} g(t) d t-f(x)+f(a)+\eta(x-a) \quad(a \leq x \leq b)$.
7.21,2,Theorem,$\int_{a}^{b} g(t) d t<\int_{a}^{b} f^{\prime}(t) d t+\epsilon$.
7.22,2,Definition,$T^{\prime}(x)=A$.
7.22,3,Definition,$m(A(E))=\Delta(A) m(E)$
7.22,6,Definition,$\Delta\left(T^{\prime}(x)\right)=\left|J_{T}(x)\right|$.
7.22,4,Definition,$A^{\prime}(x)=A \quad\left(x \in R^{k}\right)$
7.22,5,Definition,$\frac{m(T(E))}{m(E)} \sim \Delta\left(T^{\prime}(x)\right)$
7.23,1,Lemma,$|F(x)-x|<\epsilon$
7.23,3,Lemma,$x \cdot(a-F(x))=x \cdot a+x \cdot(x-F(x))-1<|a|+\epsilon-1<0$.
7.24,9,Theorem,"$m(T(B(0, r)))<\epsilon r^{k} \quad(0<r<\delta)$."
7.24,15,Theorem,$\int_{\alpha}^{\beta} f(t) d t=\int_{a}^{b} f(\varphi(x)) \varphi^{\prime}(x) d x$
7.24,8,Theorem,$|T(x)-A x| \leq \eta|x|$.
7.24,10,Theorem,$\int_{Y} \chi_{A} d m=m(T(E \cap X))=\int_{X}\left(\chi_{A} \circ T\right)\left|J_{T}\right| d m$.
7.24,3,Theorem,"$\lim _{r \rightarrow 0} \frac{m(F(B(0, r)))}{m(B(0, r))}=1$"
7.24,2,Theorem,$F(x)=A^{-1} T(x) \quad(x \in V)$.
7.24,1,Theorem,"$\lim _{r \rightarrow 0} \frac{m(T(B(x, r)))}{m(B(x, r))}=\Delta\left(T^{\prime}(x)\right)$"
7.24,5,Theorem,$|F(x)-x|<\epsilon|x|$.
7.24,4,Theorem,$m(T(B))=m(A(F(B)))=\Delta(A) m(F(B))$
7.24,6,Theorem,"$B(0,(1-\epsilon) r) \subset F(B(0, r)) \subset B(0,(1+\epsilon) r)$"
7.24,7,Theorem,"$(1-\epsilon)^{k} \leq \frac{m(F(B(0, r)))}{m(B(0, r))} \leq(1+\epsilon)^{k}$"
7.4,8,Theorem,"$\{T f>2 y\} \subset \bigcap_{n=1}^{\infty} E(y, n)$."
7.4,1,Theorem,"then
\[
m\{M \mu>\lambda\} \leq 3^{k} \lambda^{-1}\|\mu\| .
\]"
7.4,3,Theorem,$\lambda \cdot m\{|f|>\lambda\}$
7.4,2,Theorem,$m\left(\left\{x \in R^{k}:(M \mu)(x)>\lambda\right\}\right)$.
7.4,6,Theorem,$\{T f>2 y\} \subset\{M h>y\} \cup\{|h|>y\}$.
7.4,7,Theorem,"$m(E(y, n)) \leq\left(3^{k}+1\right) /(y n)$."
7.4,5,Theorem,$m\{M f>\lambda\} \leq 3^{k} \lambda^{-1}\|f\|_{1}$.
7.4,4,Theorem,"$(M f)(x)=\sup _{0<r<\infty} \frac{1}{m\left(B_{r}\right)} \int_{B(x, r)}|f| d m$."
7.8,2,Theorem,$\epsilon<\frac{m(E \cap I)}{m(I)}<1-\epsilon$
7.8,2,Theorem,"$f(x)=\lim _{r \rightarrow 0} \frac{1}{m\left(B_{r}\right)} \int_{B(x, r)} f d m=\lim _{r \rightarrow 0} \frac{\mu(B(x, r))}{m(B(x, r))}$."
7.8,1,Theorem,$\mu(E)=\int_{E}(D \mu) d m$
8.1,1,Definition,"$A=\bigcup_{i=1}^{\infty} A_{i}, \quad B=\bigcap_{i=1}^{\infty} B_{i}$,"
8.1,2,Definition,"$E_{x}=\{y:(x, y) \in E\}, \quad E^{y}=\{x:(x, y) \in E\}$"
8.11,1,Theorem,$\mathscr{B}_{k} \subset \mathfrak{M}_{\boldsymbol{r}} \times \mathfrak{M}_{s} \subset \mathfrak{M}_{\boldsymbol{k}}$
8.14,6,Theorem,"$\varphi(x, y)=x-y, \quad \psi(x, y)=y$"
8.14,5,Theorem,"$F(x, y)=f(x-y) g(y)$"
8.14,4,Theorem,$\|f\|_{1}=\int_{-\infty}^{\infty}|f(x)| d x$.
8.14,0,Theorem,$\|f\|_{1}=\int_{-\infty}^{\infty}|f(x)| d x$
8.14,1,Theorem,$\int_{-\infty}^{\infty}|f(x-y) g(y)| d y<\infty$
8.14,3,Theorem,$\|h\|_{1} \leq\|f\|_{1}\|g\|_{1}$
8.14,2,Theorem,$h(x)=\int_{-\infty}^{\infty} f(x-y) g(y) d y$.
8.14,8,Theorem,"since
\[
\int_{-\infty}^{\infty}|f(x-y)| d x=\|f\|_{1}
\]"
8.15,1,Definition,$\mu\{f>t\}=\mu(\{x \in X: f(x)>t\})$
8.15,2,Definition,$\int_{X} f d \mu=\int_{0}^{\infty} \mu\{f>t\} d t$
8.16,4,Theorem,"$\int_{0}^{\infty} \mu\left(E^{t}\right) \varphi^{\prime}(t) d t=\int_{X} d \mu(x) \int_{0}^{\infty} \chi_{E}(x, t) \varphi^{\prime}(t) d t$"
8.16,5,Theorem,$\int_{0}^{f(x)} \varphi^{\prime}(t) d t=\varphi(f(x))$
8.16,1,Theorem,$\int_{X}(\varphi \circ f) d \mu=\int_{0}^{\infty} \mu\{f>t\} \varphi^{\prime}(t) d t$.
8.16,2,Theorem,"$E^{t}=\{x \in X:(x, t) \in E\} \quad(0 \leq t<\infty)$"
8.16,3,Theorem,"$\mu\left(E^{t}\right)=\int_{X} \chi_{E}(x, t) d \mu(x)$"
8.18,3,Theorem,$g_{t}(x)=\left\{\begin{array}{ll}f(x) & \text { if } f(x)>c t \\ 0 & \text { if } f(x) \leq c t\end{array}\right.$
8.18,2,Theorem,$f=g_{t}+h_{t}$
8.18,5,Theorem,$\left(M g_{t}\right)(x)>(1-c) t$
8.18,4,Theorem,$M f \leq M g_{t}+M h_{t} \leq M g_{t}+c t$
8.18,6,Theorem,$\|M f\|_{p} \leq C_{p}\|f\|_{p}$
8.6,4,Theorem,"$\int_{X} d \mu(x) \int_{Y} \chi_{Q}(x, y) d \lambda(y)=\int_{Y} d \lambda(y) \int_{X} \chi_{Q}(x, y) d \mu(x)$."
8.6,5,Theorem,$\lambda\left(Q_{x}\right)=\lambda(B) \chi_{A}(x)$ and $\mu\left(Q^{y}\right)=\mu(A) \chi_{B}(y)$
8.6,7,Theorem,"$Q_{m n}=Q \cap\left(X_{n} \times Y_{m}\right) \quad(m, n=1,2,3, \ldots)$"
8.6,6,Theorem,"$\varphi_{i}(x) \rightarrow \varphi(x), \quad \psi_{i}(y) \rightarrow \psi(y) \quad(i \rightarrow \infty)$"
8.6,2,Theorem,"$\int_{X} \varphi d \mu=\int_{Y} \psi d \lambda$,"
8.6,3,Theorem,"$\lambda\left(Q_{x}\right)=\int_{Y} \chi_{Q}(x, y) d \lambda(y) \quad(x \in X)$"
8.6,1,Theorem,"$\varphi(x)=\lambda\left(Q_{x}\right), \quad \psi(y)=\mu\left(Q^{y}\right)$"
8.7,1,Definition,$(\mu \times \lambda)(Q)=\int_{X} \lambda\left(Q_{x}\right) d \mu(x)=\int_{Y} \mu\left(Q^{y}\right) d \lambda(y)$.
8.8,1,Theorem,"$\varphi(x)=\int_{Y} f_{x} d \lambda, \quad \psi(y)=\int_{X} f^{y} d \mu \quad(x \in X, y \in Y)$"
8.8,3,Theorem,$\varphi^{*}(x)=\int_{Y}|f|_{x} d \lambda$ and $\int_{X} \varphi^{*} d \mu<\infty$
8.8,2,Theorem,$\int_{X} \varphi d \mu=\int_{X \times Y} f d(\mu \times \lambda)=\int_{Y} \psi d \lambda$.
8.8,6,Theorem,"$\int_{X} \varphi_{n} d \mu=\int_{X \times Y} s_{n} d(\mu \times \lambda) \quad(n=1,2,3, \ldots)$."
8.8,7,Theorem,$f_{x}=\left(f^{+}\right)_{x}-\left(f^{-}\right)_{x}$
8.8,5,Theorem,"$\int_{X} d \mu(x) \int_{Y}|f(x, y)| d \lambda(y)<\infty$"
8.8,4,Theorem,"$\int_{X} d \mu(x) \int_{Y} f(x, y) d \lambda(y)=\int_{Y} d \lambda(y) \int_{X} f(x, y) d \mu(x)$."
8.8,1,Lemma,$\int_{X} \lambda\left(Q_{x}\right) d \mu(x)=0$
9.1,2,Theorem,$\left(f * h_{\lambda}\right)(x)-f(x)=\int_{-\infty}^{\infty}[f(x-y)-f(x)] h_{\lambda}(y) d m(y)$
9.1,3,Theorem,$\left|\left(f * h_{\lambda}\right)(x)-f(x)\right|^{p} \leq \int_{-\infty}^{\infty}|f(x-y)-f(x)|^{p} h_{\lambda}(y) d m(y)$.
9.1,4,Theorem,$\left\|f * h_{\lambda}-f\right\|_{p}^{p} \leq \int_{-\infty}^{\infty}\left\|f_{y}-f\right\|_{p}^{p} h_{\lambda}(y) d m(y)$
9.1,5,Definition,$\varphi(s+t)=\varphi(s) \varphi(t)$
9.1,4,Definition,$\hat{f}(t)=\int_{-\infty}^{\infty} f(x) e^{-i x t} d m(x) \quad\left(t \in R^{1}\right)$
9.1,1,Definition,$\int_{-\infty}^{\infty} f(x) d m(x)=\frac{1}{\sqrt{2 \pi}} \int_{-\infty}^{\infty} f(x) d x$
9.1,3,Definition,$(f * g)(x)=\int_{-\infty}^{\infty} f(x-y) g(y) d m(y) \quad\left(x \in R^{1}\right)$
9.1,2,Definition,$\|f\|_{p}=\left\{\int_{-\infty}^{\infty}|f(x)|^{p} d m(x)\right\}^{1 / p} \quad(1 \leq p<\infty)$
9.11,2,Theorem,$\left(f * h_{\lambda}\right)(x)=\int_{-\infty}^{\infty} H(\lambda t) \hat{f}(t) e^{i x t} d m(t)$.
9.11,3,Theorem,$\lim _{n \rightarrow \infty}\left(f * h_{\lambda_{n}}\right)(x)=f(x)$ a.e.
9.13,9,Theorem,$\left(h_{\lambda} * \bar{w}\right)(\alpha)=\int_{-\infty}^{\infty} h_{\lambda}(\alpha-t) \bar{w}(t) d m(t)=0$
9.13,8,Theorem,$h_{\lambda}(\alpha-t)=\int_{-\infty}^{\infty} e^{i \alpha x} H(\lambda x) e^{-i x t} d m(x)$
9.13,6,Theorem,$\lim _{\lambda \rightarrow 0}\left(g * h_{\lambda}\right)=g=\|f\|_{2}^{2}$
9.13,7,Theorem,$\lim _{\lambda \rightarrow 0} \int_{-\infty}^{\infty} H(\lambda t) \hat{g}(t) d m(t)=\int_{-\infty}^{\infty}|\hat{f}(t)|^{2} d m(t)$
9.13,5,Theorem,$\left(g * h_{\lambda}\right)=\int_{-\infty}^{\infty} H(\lambda t) \hat{g}(t) d m(t)$
9.13,4,Theorem,$|g(x)| \leq\left\|f_{-x}\right\|_{2}\|f\|_{2}=\|f\|_{2}^{2}$
9.13,1,Theorem,$\|\hat{f}\|_{2}=\|f\|_{2} \quad\left(f \in L^{1} \cap L^{2}\right)$
9.13,12,Theorem,$\left\|\hat{f}-\varphi_{A}\right\|_{2}=\left\|\left(f-k_{A} f\right)^{\hat{}}\right\|_{2} \rightarrow 0$
9.13,10,Theorem,$\int_{-\infty}^{\infty} f(x) \overline{g(x)} d m(x)=\int_{-\infty}^{\infty} \hat{f}(t) \overline{\hat{g}(t)} d m(t)$
9.13,3,Theorem,"$g(x)=\left(f_{-x}, f\right)$,"
9.13,11,Theorem,$\varphi_{A}=\left(k_{A} f\right)^{\hat{\rho}}$
9.15,9,Remark,$\varphi^{2} \cdot g=\varphi \cdot P g=P^{2} g=P g=\varphi \cdot g$
9.15,8,Remark,$P f=\varphi \cdot f \quad\left(f \in L^{2}\right)$.
9.15,6,Remark,$f \cdot P g=g \cdot P f \quad\left(f\right.$ and $\left.g \in L^{2}\right)$
9.15,5,Remark,$f \cdot P g=(P f) \cdot(P g) \quad\left(f\right.$ and $\left.g \in L^{2}\right)$
9.15,4,Remark,$(f-P f) \cdot \overline{P g}$
9.15,1,Remark,$f-P f \perp P g \quad\left(f\right.$ and $\left.g \in L^{2}\right)$
9.15,3,Remark,"$\int_{-\infty}^{\infty}(f-P f) \cdot \overline{P g} \cdot e_{-\alpha} d m=0 \quad\left(f\right.$ and $\left.g \in L^{2}, \alpha \in R^{1}\right)$"
9.15,2,Remark,"$f-P f \perp(P g) e_{\alpha} \quad\left(f\right.$ and $\left.g \in L^{2}, \alpha \in R^{1}\right)$."
9.18,1,Definition,$\|x y\| \leq\|x\|\|y\| \quad(x$ and $y \in A)$
9.18,3,Definition,$(\alpha x) y=x(\alpha y)=\alpha(x y)$
9.18,2,Definition,"$x(y+z)=x y+x z, \quad(y+z) x=y x+z x \quad(x, y$, and $z \in A)$,"
9.2,2,Theorem,$\hat{f}^{\prime}(t)=-i \int_{-\infty}^{\infty} x f(x) e^{-i x t} d m(x)$
9.2,1,Theorem,"$\frac{\hat{f}(s)-\hat{f}(t)}{s-t}=\int_{-\infty}^{\infty} f(x) e^{-i x t} \varphi(x, s-t) d m(x) \quad(s \neq t)$"
9.21,11,Theorem,$\beta(x)=e^{-i t x}$.
9.21,10,Theorem,$\beta(x)=e^{A x}$.
9.21,8,Theorem,$c \beta(x)=\int_{0}^{\delta} \beta(y) \beta(x) d y=\int_{0}^{\delta} \beta(y+x) d y=\int_{x}^{x+\delta} \beta(y) d y$.
9.21,9,Theorem,"$\beta^{\prime}(x)=A \beta(x), \quad A=\beta^{\prime}$."
9.21,4,Theorem,$\varphi(f) \varphi(g)=\varphi(f) \int_{-\infty}^{\infty} g(y) \beta(y) d m(y)$
9.21,5,Theorem,$\varphi(f) \beta(y)=\varphi\left(f_{y}\right)$
9.21,7,Theorem,$\int_{0}^{\delta} \beta(y) d y=c \neq 0$.
9.21,6,Theorem,$\beta(x+y)=\beta(x) \beta(y) \quad\left(x\right.$ and $\left.y \in R^{1}\right)$.
9.21,2,Theorem,$x+y=x y$.
9.21,3,Theorem,$=\int_{-\infty}^{\infty} g(y) \varphi\left(f_{y}\right) d m(y)$.
9.21,1,Theorem,$s_{n}=-x-x^{2}-\cdots-x^{n}$
9.3,2,Remark,$f(x)=\sum_{-\infty}^{\infty} c_{n} e^{i n x}$
9.3,4,Remark,$g(x)=\sum_{-\infty}^{\infty} c_{n} e^{i n x}$
9.3,6,Remark,$f(x)=\int_{-\infty}^{\infty} \hat{f}(t) e^{i t x} d m(t)$
9.3,7,Remark,$\int_{-\infty}^{\infty} e^{i(t-s) x} d x$
9.5,1,Theorem,$f_{y}(x)=f(x-y) \quad\left(x \in R^{1}\right)$.
9.5,2,Theorem,$y \rightarrow f_{y}$
9.6,2,Theorem,$\left|\hat{f}\left(t_{n}\right)-\hat{f}(t)\right| \leq \int_{-\infty}^{\infty}|f(x)|\left|e^{-i t_{n} x}-e^{-i t x}\right| d m(x)$
9.6,3,Theorem,$h_{\lambda}(x)=\sqrt{\frac{2}{\pi}} \frac{\lambda}{\lambda^{2}+x^{2}}$
9.6,4,Theorem,$2 \hat{f}(t)=\int_{-\infty}^{\infty}\left\{f(x)-f\left(x-\frac{\pi}{t}\right)\right\} e^{-i t x} d m(x)$
9.6,5,Theorem,"$2|\hat{f}(t)| \leq\left\|f-f_{\pi / t}\right\|_{1}$,"
9.6,1,,$\|\hat{f}\|_{\infty} \leq\|f\|_{1}$.
9.9,1,Theorem,$\lim _{\lambda \rightarrow 0}\left(g * h_{\lambda}\right)(x)=g(x)$
10.1,2,Definition,$D^{\prime}(a ; r)=\{z: 0<|z-a|<r\}$
10.1,3,Theorem,$\varphi(t)=\exp \left\{\int_{\alpha}^{t} \frac{\gamma^{\prime}(s)}{\gamma(s)-z} d s\right\} \quad(\alpha \leq t \leq \beta)$.
10.1,2,Theorem,$\operatorname{Ind}_{\gamma}(z)=\frac{1}{2 \pi i} \int_{\alpha}^{\beta} \frac{\gamma^{\prime}(s)}{\gamma(s)-z} d s$.
10.1,3,Definition,$\bar{A} \cap B=\varnothing=A \cap \bar{B}$.
10.1,1,Definition,$D(a ; r)=\{z:|z-a|<r\}$
10.1,1,Theorem,$\operatorname{Ind}_{\nu}(z)=\frac{1}{2 \pi i} \int_{\gamma} \frac{d \zeta}{\zeta-z} \quad(z \in \Omega)$
10.1,4,Definition,"$E \subset V \cup W, \quad E \cap V \neq \varnothing, \quad E \cap W \neq \varnothing, \quad E \cap V \cap W=\varnothing$"
10.1,5,Theorem,$\varphi(t)=\frac{\gamma(t)-z}{\gamma(\alpha)-z} \quad(\alpha \leq t \leq \beta)$.
10.1,4,Theorem,$\frac{\varphi^{\prime}(t)}{\varphi(t)}=\frac{\gamma^{\prime}(t)}{\gamma(t)-z}$
10.11,2,Theorem,$\operatorname{Ind}_{\gamma}(z)=\left\{\begin{array}{ll}1 & \text { if }|z-a|<r \\ 0 & \text { if }|z-a|>r\end{array}\right.$
10.13,1,Theorem,$\int_{\partial \Delta} f(z) d z=0$.
10.13,3,Theorem,$J=\sum_{j=1}^{4} \int_{\partial \Delta^{\prime}} f(z) d z$
10.13,2,Theorem,"$\left\{a, c^{\prime}, b^{\prime}\right\}, \quad\left\{b, a^{\prime}, c^{\prime}\right\}, \quad\left\{c, b^{\prime}, a^{\prime}\right\}, \quad\left\{a^{\prime}, b^{\prime}, c^{\prime}\right\}$"
10.13,6,Theorem,$\int_{\partial \Delta_{n}} f(z) d z=\int_{\partial \Delta_{n}}\left[f(z)-f\left(z_{0}\right)-f^{\prime}\left(z_{0}\right)\left(z-z_{0}\right)\right] d z$
10.13,7,Theorem,$\left|\int_{\partial \Delta_{n}} f(z) d z\right| \leq \epsilon\left(2^{-n} L\right)^{2}$
